SpriteName	Ko
HairBang5_Middle_Gradient	앞머리 >< 10
HairBang1_Middle_Color	앞머리 >< 1
QuestionMark	물음표 스티커
Horn3_Color	뿔 3
SignSquareText1	사각형 팻말 텍스트
Antenna1_Color	안테나 1
FrameHair_A2_Gradient	옆머리 4
HairHighlight1_Outline	머리 브릿지 외곽선 1 << + 1 >>
TailD1_Color	꼬리 11
HairBang6_Middle_Outline	앞머리 >< 외곽선 11 + 12
HairBang7_Middle_Gradient	앞머리 >< 14
HairBang6_Middle_Color	앞머리 >< 11
HairBang6_Middle_Gradient	앞머리 >< 12
CapeFront4_Outline	케이프 프론트 | 케이프 아웃라인 4
FrameHair_A2_Color	옆머리 3
FacialHair_A1_Outline	얼굴 털 A 윤곽선 1
HairBang1_Middle_Gradient	앞머리 >< 2
HornM1_Color	뿔 (앞) >< 1
TailB4_Color	꼬리 6
TailB2_Color	꼬리 4
Pigtail_B2_Color	양갈래 머리 19
Fin1_Color	지느러미 1
TailB3_Outline	꼬리 외곽선 5
Halo1_Color	헤일로 1
TailB2_Outline	꼬리 외곽선 4
FrameHair_A3_Outline	옆머리 외곽선 5 + 6
FrameHair_B1_Color	옆머리 23
HairClip7_Color	머리핀 7
FacialHair_A6_Color	얼굴 털 A 6
FacialHair_A3_Outline	얼굴 털 A 3
Halo1_Outline	헤일로 외곽선 1
Hairband7_Color	머리띠 C 1
Keyboard	타이핑(일반) 3
FrameHair_A6_Outline	옆머리 외곽선 11 + 12
VolumeOff	음량 스티커 2
PalmarGlove1_Color	손 2 .2
FacialHair_A6_Outline	얼굴 털 A 윤곽선 6
TailB1_Outline	꼬리 외곽선 3
Pigtail_A1_Gradient	양갈래 머리 2
FrameHair_A4_Gradient	옆머리 8
KitchenKnife	식칼
Halo2_Color	헤일로 2
FrameHair_A6_Gradient	옆머리 12
HairShine5_Color	머리 하이라이트 9 + 10
FrameHair_B2_Color	옆머리 25
FacialHair_B1_Outline	얼굴 털 B 윤곽선 1
Main3_Outline	의상 외곽선 3
Main4_Outline	의상 외곽선 4
Main7_Outline	의상 외곽선 7
HatA2_Color	모자 2
Pigtail_C2_Outline	양갈래 머리 외곽선 23 + 24
Main1_Color	의상 1
Eyepatch2_Outline	안대 개요 3 + 4
SideHair_Branch_C2_Color	옆머리 가닥 C 2
HairHighlight6_Outline	머리 브릿지 >< 외곽선 5 + 6
SideHair_Branch_C1_Color	옆머리 가닥 C 1
Eyepatch1_Outline	안대 개요 1 + 2
AlertCoin_Outline	경고 스티커 외곽선 3
Eye_Dum_Outline	바보 눈동자 외곽선 1 + 2
FrameHair_Branch_A2_Outline	머리 가닥 외곽선 2
Main5_Color	의상 5
Pompom	폼폼
HairClip10_Outline	머리핀 외곽선 10
WaveHand	웨이브 핸드
HeartItem	하트
FrameHair_Branch_A2_Color	머리 가닥 2
FrameHair_Branch_A1_Outline	머리 가닥 외곽선 1
Eye_Dum_Color	눈 흰자
AlertCoin_Color	경고 스티커 3
Button	단추
SideHair_Branch_B2_Outline	옆머리 가닥 B 외곽선 2
Face_Shadow	얼굴 음영
AlertStar_Outline	경고 스티커 외곽선 5
Pigtail_C1_Outline	양갈래 머리 외곽선 21 + 22
AlertHeart_Outline	경고 스티커 외곽선 1
AlertLike_Color	경고 스티커 4
AlertStar_Color	경고 스티커 5
Sleep	수면 스티커
Square	문/벽 | 감옥 창살 | 이불 겉감
SideHair_Branch_A2_Color	옆머리 가닥 A 2
Beverage	음료 컵 3
HairClip8_Outline	머리핀 외곽선 8
HairClip9_Outline	머리핀 외곽선 9
GiftBox	선물 1
Mecha5_Outline	메카 외곽선 5
WingC1_Lower_Color	날개 5 .2
Gill3_Color	아가미 1 .3
FacialHair_B6_Outline	얼굴 털 B 윤곽선 6
HairClip10_Color	머리핀 10
SideHair_Branch_B2_Color	옆머리 가닥 B 2
SideHair_Branch_B1_Color	옆머리 가닥 B 1
Bowl	그릇
Pigtail_C1_Color	양갈래 머리 21
Pigtail_C1_Gradient	양갈래 머리 22
HairClip7_Outline	머리핀 외곽선 7
HairHighlight5_Color	머리 브릿지 >< 3 + 4
HairClip6_Outline	머리핀 외곽선 6
Bill1	지폐 1
LubricantSpray	스프레이
Ahoge_A1_Outline	바보털 외곽선 1
Gill1_Outline	아가미 외곽선 1 .1
FacialHair_B6_Color	얼굴 털 B 6 
Heart	하트 스티커
Popper	파티 폭죽
Pencil	연필
Ahoge_A3_Color	바보털 3
BeverageCup	음료 컵
Mouth_Popcat2	팝캣 | 입 2
HairClip9_Color	머리핀 9
AlertBits_Color	경고 스티커 6
Seven	넘버 세븐
PhoneFront	핸드폰 1
Gill2_Outline	아가미 외곽선 1 .2
FrameHair_B2_Outline	옆머리 외곽선 25 + 26
NeckwearB7_Outline	목장식 B 외곽선 7
Angry1	화남 스티커 1
Cup	컵
Phone	핸드폰 2
Palmar_Outline	손 1 .14
FrameHair_B1_Outline	옆머리 외곽선 23 + 24
WingD2_Lower_Color	날개 7 .2
HairClip11_Outline	머리핀 외곽선 11
RedPacket	용돈 봉투 1
HairClip12_Outline	머리핀 외곽선 12
Gill1_Color	아가미 1 .1
Eye1_Dark	눈동자 음영 1 + 2
NeckwearB3_Outline	목장식 B 외곽선 3
LightBulb	스티커 전구
Mecha3_Color	메카 3
Mecha6_Outline	메카 외곽선 6
Ahoge_A1_Color	바보털 1
WingA1_Outline	날개 외곽선 1
RedPacketCoin1	용돈 봉투 5
SweatBlue	땀방울 스티커 대
HornF1_Color	뿔 (앞) 1
Sparkle	번득임
Ahoge_A2_Outline	바보털 외곽선 
FaceFeatureC2	얼굴 특징 C 2
Glove1_Outline	장갑 개요
PalmGlove1_Color	손 2 .3
PalmGlove1_Outline	손 2 .4
FacialHair_B2_Outline	얼굴 털 B 2
Mecha6_Color	메카 6
CapeFront1_Color	케이프 프론트 1
HairClip4_Color	머리핀 4
NeckwearB1_Color	목장식 B 2
Cheek1	볼 1
Lubricant	윤활유
Ahoge_A4_Outline	바보털 외곽선 4
Angry3	화남 스티커 3
Microphone	마이크
NeckwearB4_Outline	목장식 B 외곽선 4
WingE1_Middle_Outline	날개 외곽선 8 .2
FacialHair_B2_Color	얼굴 털 B 2
Collar4_Outline	의상 옷깃 외곽선 4
TailF3_Outline	꼬리 외곽선 17
Donut4	도넛 4
Laugh3	웃음 스티커 3
Tear1	눈물 1
NeckwearA6_Outline	목장식 A 외곽선 6
Confetti1	컨페티 4
Eye_Dum_Pupil	 바보 눈동자
NeckwearB2_Outline	목장식 B 외곽선 1 + 2
FrameHair_B4_Color	옆머리 29
FrameHair_B4_Gradient	옆머리 30
NeckwearB6_Outline	목장식 B 외곽선 6
Eye_Popcat_Dark	바보 3 | 눈 | 팝캣 (프레임) 2
HairClip2_Outline	머리핀 외곽선 2
FrameHair_B2_Gradient	옆머리 26
Hand_Outline	손 1 .15
Glove1_Color	장갑
NeckwearA1_Outline	목장식 A 외곽선 1
WingE1_Lower_Outline	날개 외곽선 8 .3
Mouse	마우스
Collar5_Color	의상 옷깃 안쪽 5
Tie1_Outline	목장식 C 외곽선 1
Eyebag	다크서클
WingG1_Outter_Outline	날개 외곽선 10 .1
Laugh1	웃음 스티커 1
Popcorn	먹다 (팝콘) 2
NeckwearA5_Outline	목장식 A 외곽선 5
BeverageLiquid	음료수
Eye3_HighlightCry	눈 3 | 울음
Eye3_Sparkling	눈 반짝임 3
Confetti2	컨페티 5
Eye3_Spiral	눈 나선형 3
FacialHair_B1_Color	얼굴 털 B 1
PhoneScreenPattern2	핸드폰 화면 2
VolumeOn	음량 스티커 3
FacialHair_B4_Outline	얼굴 털 B 윤곽선 4
Collar5_Outline	의상 옷깃 외곽선 5
WingEL_Lower_WeightTransfer	날개 >> 15 .3
NeckwearB1_WeightTransfer	목장식 B 8
FloatingL_WeightTransfer	메카 >> 7
HairBang_SideL_WeightTransfer	앞머리 >> 13
FloatingR_WeightTransfer	메카 << 7
Glasses_WeightTransfer	안경 4
AhogeA_WeightTransfer	바보털 7
BackHair_WeightTransfer	뒷머리 7
AnimalEarBL_WeightTransfer	 동물 귀 >> 11
EyepatchA_WeightTransfer	안대 7
TailD_WeightTransfer	꼬리 22
HairBang_Middle_WeightTransfer	앞머리 >< 15
Face_WeightTransfer	얼굴 특징 C 3
NeckwearB2_WeightTransfer	목장식 B 9
EarringBR_WeightTransfer	귀걸이 << 12
EarringBL_WeightTransfer	귀걸이 >> 12
NeckwearC_WeightTransfer	목장식 C 4
HatC_WeightTransfer	모자 11
TailFSoft_WeightTransfer	꼬리 25
TailFHard_WeightTransfer	꼬리 24
EarringAR_WeightTransfer	귀걸이 << 11
EarringAL_WeightTransfer	귀걸이 >> 11
HatA_WeightTransfer	모자 9
LegR_WeightTransfer	다리 << 2
LegL_WeightTransfer	다리 >> 2
HatD_WeightTransfer	모자 12
FrameHair_WeightTransfer	옆머리 >< 
TailE_WeightTransfer	꼬리 23
TailA_WeightTransfer	꼬리 19
SideHairB_WeightTransfer	옆머리(전체) 34
SideHairA_WeightTransfer	옆머리(전체) 33
PonytailA_WeightTransfer	헤어 포니테일 15
WingER_Upper_WeightTransfer	날개 << 15 .1
WingER_Middle_WeightTransfer	날개 << 15 .2
OutfitOuter_WeightTransfer	겉옷 8
WingAL_WeightTransfer	날개 >> 11
PalmarL_WeightTransfer	손 >> 3 .5
HeadWingAL_WeightTransfer	날개 귀 >> 4
BrowL_WeightTransfer	눈썹 >> 10
BrowR_WeightTransfer	눈썹 << 10
MustacheA_WeightTransfer	얼굴 털 B 7
TailC_WeightTransfer	꼬리 21
FrameHair_BranchL_WeightTransfer	머리 가닥 >> 4
HandL_Middle_WeightTransfer	손 >> 3 .1
HandL_Thumb_WeightTransfer	손 >> 3 .2
NeckwearA_WeightTransfer	목장식 A 7
WingER_Lower_WeightTransfer	날개 << 15 .3
WingEL_Upper_WeightTransfer	날개 >> 15 .1
WingGL_Outter_WeightTransfer	날개 >> 17 .1
WingCL_Upper_WeightTransfer	날개 >> 13 .1
WingGR_Inner_WeightTransfer	날개 << 17 .2
WingCR_Upper_WeightTransfer	날개 << 13 .1
EarL_WeightTransfer	귀 2 >>
EarR_WeightTransfer	귀 2 <<
CapeBack_WeightTransfer	케이프 백 4
CapeFront_WeightTransfer	케이프 프론트 7
WingEL_Middle_WeightTransfer	날개 >> 15 .2
WingFR_Upper_WeightTransfer	날개 << 16 .1
AntennaR_WeightTransfer	안테나 << 3
AnimalEarAR_WeightTransfer	 동물 귀 << 10
WingDL_WeightTransfer	날개 >> 14
AnimalEarCL_WeightTransfer	 동물 귀 >> 12
WingGL_Inner_WeightTransfer	날개 >> 17 .2
Halo_WeightTransfer	헤일로 7
FinR_WeightTransfer	지느러미 << 2
HatB_WeightTransfer	모자 10
AnimalEarAL_WeightTransfer	 동물 귀 >> 10
TailB_WeightTransfer	꼬리 20
HandL_Little_WeightTransfer	손 >> 3 .3
HandL_Index_WeightTransfer	손 >> 3 .4
FinL_WeightTransfer	지느러미 >> 2
AntennaL_WeightTransfer	안테나 >> 3
PonytailAR_WeightTransfer	양갈래 머리 << 25
OutfitInner_WeightTransfer	의상 9
MustacheB_WeightTransfer	얼굴 털 B 8
PonytailB_WeightTransfer	헤어 포니테일 16
HairBandA_WeightTransfer	머리띠 A 3
HairBang_SideR_WeightTransfer	앞머리 << 13
EyepatchB_WeightTransfer	안대 8
WingFL_Lower_WeightTransfer	날개 >> 16 .2
WingBL_WeightTransfer	날개 >> 12
PonytailCL_WeightTransfer	양갈래 머리 >> 26
HairbandB_WeightTransfer	머리띠 B 5
BeardA_WeightTransfer	얼굴 털 A 9
PonytailAL_WeightTransfer	양갈래 머리 >> 25
AnimalEarBR_WeightTransfer	 동물 귀 << 11
EyelashR_WeightTransfer	눈 4 | 속눈썹 <<
GillR_WeightTransfer	아가미 << 2
PiercingAL_WeightTransfer	피어싱 A >> 6
PiercingAR_WeightTransfer	피어싱 A << 6
WingFR_Lower_WeightTransfer	날개 << 16 .2
WingFL_Upper_WeightTransfer	날개 >> 16 .1
HairBandC_WeightTransfer	머리띠 D 3
HornL_WeightTransfer	뿔 >> 8
HornR_WeightTransfer	뿔 << 8
EyelashL_WeightTransfer	눈 4 | 속눈썹 >>
GillL_WeightTransfer	아가미 >> 2
HornFrontL_WeightTransfer	뿔 (앞) >> 3
HornFrontR_WeightTransfer	뿔 (앞) << 3
WingDR_WeightTransfer	날개 << 14
FrameHair_BranchR_WeightTransfer	머리 가닥 << 4
HeadWingAR_WeightTransfer	날개 귀 << 4
HornFrontM_WeightTransfer	뿔 (앞) >< 2
WingGR_Outter_WeightTransfer	날개 << 17 .1
EyeDollarR_WeightTransfer	달러($) 눈 << 4 + 5
EyeHeartL_WeightTransfer	하트 눈 >> 4 + 5
EyeHeartR_WeightTransfer	하트 눈 << 4 + 5
EyeHighlightCryL_WeightTransfer	눈 4 + 5 >> | 울음
EyeHighlightCryR_WeightTransfer	눈 4 + 5 << | 울음
EyeL_WeightTransfer	눈 >> 4 + 5
EyeR_WeightTransfer	눈 << 4 + 5
EyeSparklingL_WeightTransfer	눈 반짝임 >> 4 + 5
EyeSparklingR_WeightTransfer	눈 반짝임 << 4 + 5
EyeSpiralL_WeightTransfer	눈 나선형 >> 4 + 5
EyeSpiralR_WeightTransfer	눈 나선형 << 4 + 5
AnimalEarCR_WeightTransfer	 동물 귀 << 12
WingAR_WeightTransfer	날개 << 11
PonytailCR_WeightTransfer	양갈래 머리 << 26
PiercingBL_WeightTransfer	피어싱 B >> 6
PiercingBR_WeightTransfer	피어싱 B << 6
HandL_WeightTransfer	손 >> 3
HandR_Index_WeightTransfer	손 << 3 .4
HandR_Little_WeightTransfer	손 << 3 .3
HandR_Middle_WeightTransfer	손 << 3 .1
HandR_Thumb_WeightTransfer	손 << 3 .2
HandR_WeightTransfer	손 << 3
PalmarR_WeightTransfer	손 << 3 .5
WingCL_Lower_WeightTransfer	날개 >> 13
WingCR_Lower_WeightTransfer	날개 << 13
WingBR_WeightTransfer	날개 << 12
EyeDollarL_WeightTransfer	달러($) 눈 >> 4 + 5
ClownWig	광대 1
FireA1	화재
ElectricFan	선풍기
Cheese	치즈
ElectricFanBlades	선풍기 블레이드
Guitar_Outline	기타 개요
Guitar_Color1	기타 색상 1
PaperFanSticks	부채 2
PaperFanLeaf	부채 1
Stool	발판
Slipper	덧신
Guitar_Color2	기타 색상 2
WinkStar	윙크스타
ClownNose	광대 2
Guitar_Color3	기타 색상 3
SideHairA7_Color	옆머리(전체) 13
PonytailA3_Gradient	헤어 포니테일 6
SideHairA2_Gradient	옆머리(전체) 4
SideHairB5_Color	옆머리(전체) 25
SideHairB3_Gradient	옆머리(전체) 22
PonytailA2_Outline	헤어 포니테일 외곽선 3 + 4
PonytailB2_Outline	헤어 포니테일 외곽선 13 + 14
PonytailB2_Color	헤어 포니테일 13
Outer7_Outline	겉옷 외곽선 7
Outer1_Outline	겉옷 외곽선 1
Hand_Color	손 1
LaptopLight3	노트북 불빛 3
Finger	문지름 1
Scissor	컷(가위)
BoopHand	부프
Trophy	트로피 1
ProgressBar	진행률 표시줄 컨테이너
Progress	진행률 표시줄 채우기
