SpriteName	Ru
TailB5_Outline	Хвост Контур 7
HairBang5_Middle_Gradient	Челка >< 10
HairBang1_Middle_Color	Челка >< 1
QuestionMark	Стикер Вопросительный знак
Horn3_Color	Рог 3
SignSquareText1	Квадратный знак Текст
Antenna1_Color	Антенна 1
FrameHair_A2_Gradient	Прядь волос 4
HairHighlight1_Outline	Торчащий волос Контур 1 << + 1 >>
TailD1_Color	Хвост 11
HairBang6_Middle_Outline	Челка >< Контур 11 + 12
HairBang7_Middle_Gradient	Челка >< 14
HairBang6_Middle_Color	Челка >< 11
HairBang6_Middle_Gradient	Челка >< 12
CapeFront4_Outline	Мыс Фронт | Контур мыса 4
FrameHair_A2_Color	Прядь волос 3
FacialHair_A1_Outline	Волосы на лице A Контур 1
HairBang1_Middle_Gradient	Челка >< 2
HornM1_Color	Рога спереди >< 1
TailB4_Color	Хвост 6
TailB2_Color	Хвост 4
Pigtail_B2_Color	Волосы Хвостик 19
Fin1_Color	Плавник 1
TailB3_Outline	Хвост Контур 5
Halo1_Color	Нимб 1
TailB2_Outline	Хвост Контур 4
FrameHair_A3_Outline	Прядь волос Контур 5 + 6
FrameHair_B1_Color	Прядь волос 23
HairClip7_Color	Заколка 7
FacialHair_A6_Color	Волосы на лице A 6
FacialHair_A3_Outline	Волосы на лице A 3
Halo1_Outline	Нимб Контур 1
Hairband7_Color	Ободок С 1
Keyboard	Печатание нормальное 3
FrameHair_A6_Outline	Прядь волос Контур 11 + 12
VolumeOff	Стикер Громкость 2
PalmarGlove1_Color	Рука 2 .2
FacialHair_A6_Outline	Волосы на лице A Контур 6
TailB1_Outline	Хвост Контур 3
Pigtail_A1_Gradient	Волосы Хвостик 2
FrameHair_A4_Gradient	Прядь волос 8
KitchenKnife	Кухонный нож
Halo2_Color	Нимб 2
FrameHair_A6_Gradient	Прядь волос 12
HairShine5_Color	Волосы Сияние 9 + 10
FrameHair_B2_Color	Прядь волос 25
FacialHair_B1_Outline	Волосы на лице B Контур 1
Main3_Outline	Плечевая одежда Контур 3
Main4_Outline	Плечевая одежда Контур 4
Main7_Outline	Плечевая одежда Контур 7
HatA2_Color	Шляпа 2
Pigtail_C2_Outline	Волосы Хвостик Контур 23 + 24
Main1_Color	Плечевая одежда 1
Eyepatch2_Outline	Контур повязки на глазу 3 + 4
SideHair_Branch_C2_Color	Боковая прядь волос C 2
HairHighlight6_Outline	Торчащий волос >< Контур 5 + 6
SideHair_Branch_C1_Color	Боковая прядь волос C 1
Eyepatch1_Outline	Контур повязки на глазу 1 + 2
AlertCoin_Outline	Стикер Уведомление Контур 3
Eye_Dum_Outline	Контур глаза (Глупик) 1 + 2
FrameHair_Branch_A2_Outline	Прядь волос Контур 2
Main5_Color	Плечевая одежда 5
Pompom	Помпон
HairClip10_Outline	Заколка Контур 10
WaveHand	Волновая рука
HeartItem	Сердце
FrameHair_Branch_A2_Color	Прядь волос 2
FrameHair_Branch_A1_Outline	Прядь волос Контур 1
Eye_Dum_Color	Глаз Белок
AlertCoin_Color	Стикер Оповещение 3
Button	Кнопка
SideHair_Branch_B2_Outline	Боковая прядь волос B Контур 2
Face_Shadow	Тень на лице
AlertStar_Outline	Стикер Уведомление Контур 5
Pigtail_C1_Outline	Волосы Хвостик Контур 21 + 22
AlertHeart_Outline	Стикер Уведомление Контур 1
AlertLike_Color	Стикер Оповещение 4
AlertStar_Color	Стикер Оповещение 5
Sleep	Стикер Сон
Square	Дверь/Стена | Тюремный решетка | Плед поверх одеяла
SideHair_Branch_A2_Color	Боковая прядь волос A 2
Beverage	Стаканчик 3
HairClip8_Outline	Заколка Контур 8
HairClip9_Outline	Заколка Контур 9
GiftBox	Подарок 1
Mecha5_Outline	Меха Контур 5
WingC1_Lower_Color	Крылья 5 .2
Gill3_Color	Жабры 1 .3
FacialHair_B6_Outline	Волосы на лице B Контур 6
HairClip10_Color	Заколка 10
SideHair_Branch_B2_Color	Боковая прядь волос B 2
SideHair_Branch_B1_Color	Боковая прядь волос B 1
Bowl	Чаша
Pigtail_C1_Color	Волосы Хвостик 21
Pigtail_C1_Gradient	Волосы Хвостик 22
HairClip7_Outline	Заколка Контур 7
HairHighlight5_Color	Торчащий волос >< 3 + 4
HairClip6_Outline	Заколка Контур 6
Bill1	Деньги 1
LubricantSpray	Спрей
Ahoge_A1_Outline	Волосы Ахоге Контур 1
Gill1_Outline	Жабры Контур 1 .1
FacialHair_B6_Color	Волосы на лице B 6 
Heart	Стикер Сердце
Popper	Поппер
Pencil	Карандаш
Ahoge_A3_Color	Волосы Ахоге 3
BeverageCup	Стаканчик
Mouth_Popcat2	Попкэт | Рот 2
HairClip9_Color	Заколка 9
AlertBits_Color	Стикер Оповещение 6
Seven	Номер семь
PhoneFront	Телефон 1
Gill2_Outline	Жабры Контур 1 .2
FrameHair_B2_Outline	Прядь волос Контур 25 + 26
NeckwearB7_Outline	Галстук B Контур 7
Angry1	Стикер Злой 1
Cup	Чашка
Phone	Телефон 2
Palmar_Outline	Рука 1 .14
FrameHair_B1_Outline	Прядь волос Контур 23 + 24
WingD2_Lower_Color	Крылья 7 .2
HairClip11_Outline	Заколка Контур 11
RedPacket	Конверт 1
HairClip12_Outline	Заколка Контур 12
Gill1_Color	Жабры 1 .1
Eye1_Dark	Глаза Радужка Темная 1 + 2
NeckwearB3_Outline	Галстук B Контур 3
LightBulb	Наклейка Лампочка
Mecha3_Color	Меха 3
Mecha6_Outline	Меха Контур 6
Ahoge_A1_Color	Волосы Ахоге 1
WingA1_Outline	Крылья Контур 1
RedPacketCoin1	Конверт 5
SweatBlue	Стикер Пот Большой
HornF1_Color	Рога спереди 1
Sparkle	Отблеск
Ahoge_A2_Outline	Волосы Ахоге Контур 
FaceFeatureC2	Черта лица C 2
Glove1_Outline	Перчатка Контур
PalmGlove1_Color	Рука 2 .3
PalmGlove1_Outline	Рука 2 .4
FacialHair_B2_Outline	Волосы на лице B 2
Mecha6_Color	Меха 6
CapeFront1_Color	Мыс Фронт 1
HairClip4_Color	Заколка 4
NeckwearB1_Color	Галстук B 2
Cheek1	Щека 1
Lubricant	Смазка
Ahoge_A4_Outline	Волосы Ахоге Контур 4
Angry3	Стикер Злой 3
Microphone	Микрофон
NeckwearB4_Outline	Галстук B Контур 4
WingE1_Middle_Outline	Крылья Контур 8 .2
FacialHair_B2_Color	Волосы на лице B 2
Collar4_Outline	Воротник Контур 4
TailF3_Outline	Хвост Контур 17
Donut4	Пончик 4
Laugh3	Стикер Смех 3
Tear1	Глаз слеза 1
NeckwearA6_Outline	Галстук A Контур 6
Confetti1	Конфетти 4
Eye_Dum_Pupil	Глаз(Глупик) Зрачок
NeckwearB2_Outline	Галстук B Контур 1 + 2
FrameHair_B4_Color	Прядь волос 29
FrameHair_B4_Gradient	Прядь волос 30
NeckwearB6_Outline	Галстук B Контур 6
Eye_Popcat_Dark	Глупик 3 | Глаз | Попкэт по кадрам 2
HairClip2_Outline	Заколка Контур 2
FrameHair_B2_Gradient	Прядь волос 26
Hand_Outline	Рука 1 .15
Glove1_Color	Перчатка
NeckwearA1_Outline	Галстук A Контур 1
WingE1_Lower_Outline	Крылья Контур 8 .3
Mouse	Мышь
Collar5_Color	Воротник одежды 5
Tie1_Outline	Галстук C Контур 1
Eyebag	Мешки под глазами
WingG1_Outter_Outline	Крылья Контур 10 .1
Laugh1	Стикер Смех 1
Popcorn	Ешьте (попкорн) 2
NeckwearA5_Outline	Галстук A Контур 5
BeverageLiquid	Жидкость в стаканчике
Eye3_HighlightCry	Глаз 3 | Плач
Eye3_Sparkling	Сверкающие глаза 3
Confetti2	Конфетти 5
Eye3_Spiral	Глаз Спираль 3
FacialHair_B1_Color	Волосы на лице B 1
PhoneScreenPattern2	Экран телефона 2
VolumeOn	Стикер Громкость 3
FacialHair_B4_Outline	Волосы на лице B Контур 4
Collar5_Outline	Воротник Контур 5
WingEL_Lower_WeightTransfer	Крылья >> 15 .3
NeckwearB1_WeightTransfer	Галстук B 8
FloatingL_WeightTransfer	Меха >> 7
HairBang_SideL_WeightTransfer	Челка >> 13
FloatingR_WeightTransfer	Меха << 7
Glasses_WeightTransfer	Очки 4
AhogeA_WeightTransfer	Волосы Ахоге 7
BackHair_WeightTransfer	Задние волосы 7
AnimalEarBL_WeightTransfer	Звериные уши >> 11
EyepatchA_WeightTransfer	Повязка на глазу 7
TailD_WeightTransfer	Хвост 22
HairBang_Middle_WeightTransfer	Челка >< 15
Face_WeightTransfer	Черта лица C 3
NeckwearB2_WeightTransfer	Галстук B 9
EarringBR_WeightTransfer	Серьга << 12
EarringBL_WeightTransfer	Серьга >> 12
NeckwearC_WeightTransfer	Галстук C 4
HatC_WeightTransfer	Шляпа 11
TailFSoft_WeightTransfer	Хвост 25
TailFHard_WeightTransfer	Хвост 24
EarringAR_WeightTransfer	Серьга << 11
EarringAL_WeightTransfer	Серьга >> 11
HatA_WeightTransfer	Шляпа 9
LegR_WeightTransfer	Нога << 2
LegL_WeightTransfer	Нога >> 2
HatD_WeightTransfer	Шляпа 12
FrameHair_WeightTransfer	Прядь волос >< 
TailE_WeightTransfer	Хвост 23
TailA_WeightTransfer	Хвост 19
SideHairB_WeightTransfer	Боковые волосы 34
SideHairA_WeightTransfer	Боковые волосы 33
PonytailA_WeightTransfer	Волосы 15
WingER_Upper_WeightTransfer	Крылья << 15 .1
WingER_Middle_WeightTransfer	Крылья << 15 .2
OutfitOuter_WeightTransfer	Верхняя одежда 8
WingAL_WeightTransfer	Крылья >> 11
PalmarL_WeightTransfer	Рука >> 3 .5
HeadWingAL_WeightTransfer	Крыло-ухо >> 4
BrowL_WeightTransfer	Бровь >> 10
BrowR_WeightTransfer	Бровь << 10
MustacheA_WeightTransfer	Волосы на лице B 7
TailC_WeightTransfer	Хвост 21
FrameHair_BranchL_WeightTransfer	Прядь волос >> 4
HandL_Middle_WeightTransfer	Рука >> 3 .1
HandL_Thumb_WeightTransfer	Рука >> 3 .2
NeckwearA_WeightTransfer	Галстук A 7
WingER_Lower_WeightTransfer	Крылья << 15 .3
WingEL_Upper_WeightTransfer	Крылья >> 15 .1
WingGL_Outter_WeightTransfer	Крылья >> 17 .1
WingCL_Upper_WeightTransfer	Крылья >> 13 .1
WingGR_Inner_WeightTransfer	Крылья << 17 .2
WingCR_Upper_WeightTransfer	Крылья << 13 .1
EarL_WeightTransfer	Ухо 2 >>
EarR_WeightTransfer	Ухо 2 <<
CapeBack_WeightTransfer	Мыс Назад 4
CapeFront_WeightTransfer	Мыс Фронт 7
WingEL_Middle_WeightTransfer	Крылья >> 15 .2
WingFR_Upper_WeightTransfer	Крылья << 16 .1
AntennaR_WeightTransfer	Антенна << 3
AnimalEarAR_WeightTransfer	Звериные уши << 10
WingDL_WeightTransfer	Крылья >> 14
AnimalEarCL_WeightTransfer	Звериные уши >> 12
WingGL_Inner_WeightTransfer	Крылья >> 17 .2
Halo_WeightTransfer	Нимб 7
FinR_WeightTransfer	Плавник << 2
HatB_WeightTransfer	Шляпа 10
AnimalEarAL_WeightTransfer	Звериные уши >> 10
TailB_WeightTransfer	Хвост 20
HandL_Little_WeightTransfer	Рука >> 3 .3
HandL_Index_WeightTransfer	Рука >> 3 .4
FinL_WeightTransfer	Плавник >> 2
AntennaL_WeightTransfer	Антенна >> 3
PonytailAR_WeightTransfer	Волосы Хвостик << 25
OutfitInner_WeightTransfer	Плечевая одежда 9
MustacheB_WeightTransfer	Волосы на лице B 8
PonytailB_WeightTransfer	Волосы 16
HairBandA_WeightTransfer	Банты А 3
HairBang_SideR_WeightTransfer	Челка << 13
EyepatchB_WeightTransfer	Повязка на глазу 8
WingFL_Lower_WeightTransfer	Крылья >> 16 .2
WingBL_WeightTransfer	Крылья >> 12
PonytailCL_WeightTransfer	Волосы Хвостик >> 26
HairbandB_WeightTransfer	Повязки на голову Б 5
BeardA_WeightTransfer	Волосы на лице A 9
PonytailAL_WeightTransfer	Волосы Хвостик >> 25
AnimalEarBR_WeightTransfer	Звериные уши << 11
EyelashR_WeightTransfer	Глаз 4 | Ресницы <<
GillR_WeightTransfer	Жабры << 2
PiercingAL_WeightTransfer	Пирсинг A >> 6
PiercingAR_WeightTransfer	Пирсинг A << 6
WingFR_Lower_WeightTransfer	Крылья << 16 .2
WingFL_Upper_WeightTransfer	Крылья >> 16 .1
HairBandC_WeightTransfer	Бант сзади D 3
HornL_WeightTransfer	Рог >> 8
HornR_WeightTransfer	Рог << 8
EyelashL_WeightTransfer	Глаз 4 | Ресницы >>
GillL_WeightTransfer	Жабры >> 2
HornFrontL_WeightTransfer	Рога спереди >> 3
HornFrontR_WeightTransfer	Рога спереди << 3
WingDR_WeightTransfer	Крылья << 14
FrameHair_BranchR_WeightTransfer	Прядь волос << 4
HeadWingAR_WeightTransfer	Крыло-ухо << 4
HornFrontM_WeightTransfer	Рога спереди >< 2
WingGR_Outter_WeightTransfer	Крылья << 17 .1
EyeDollarR_WeightTransfer	Глаз Доллар << 4 + 5
EyeHeartL_WeightTransfer	Глаз Сердце >> 4 + 5
EyeHeartR_WeightTransfer	Глаз Сердце << 4 + 5
EyeHighlightCryL_WeightTransfer	Глаз 4 + 5 >> | Плач
EyeHighlightCryR_WeightTransfer	Глаз 4 + 5 << | Плач
EyeL_WeightTransfer	Глаз >> 4 + 5
EyeR_WeightTransfer	Глаз << 4 + 5
EyeSparklingL_WeightTransfer	Сверкающие глаза >> 4 + 5
EyeSparklingR_WeightTransfer	Сверкающие глаза << 4 + 5
EyeSpiralL_WeightTransfer	Глаз Спираль >> 4 + 5
EyeSpiralR_WeightTransfer	Глаз Спираль << 4 + 5
AnimalEarCR_WeightTransfer	Звериные уши << 12
WingAR_WeightTransfer	Крылья << 11
PonytailCR_WeightTransfer	Волосы Хвостик << 26
PiercingBL_WeightTransfer	Пирсинг B >> 6
PiercingBR_WeightTransfer	Пирсинг B << 6
HandL_WeightTransfer	Рука >> 3
HandR_Index_WeightTransfer	Рука << 3 .4
HandR_Little_WeightTransfer	Рука << 3 .3
HandR_Middle_WeightTransfer	Рука << 3 .1
HandR_Thumb_WeightTransfer	Рука << 3 .2
HandR_WeightTransfer	Рука << 3
PalmarR_WeightTransfer	Рука << 3 .5
WingCL_Lower_WeightTransfer	Крылья >> 13
WingCR_Lower_WeightTransfer	Крылья << 13
WingBR_WeightTransfer	Крылья << 12
EyeDollarL_WeightTransfer	Глаз Доллар >> 4 + 5
ClownWig	Клоун 1
FireA1	Огонь
ElectricFan	Электрический вентилятор
Cheese	Сыр
ElectricFanBlades	Лопасти электрического вентилятора
Guitar_Outline	Схема гитары
Guitar_Color1	Цвет гитары 1
PaperFanSticks	Складной веер 2
PaperFanLeaf	Складной веер 1
Stool	Табурет
Slipper	Тапочки
Guitar_Color2	Цвет гитары 2
WinkStar	Подмигивающая звезда
ClownNose	Клоун 2
Guitar_Color3	Цвет гитары 3
SideHairA7_Color	Боковые волосы 13
PonytailA3_Gradient	Волосы 6
SideHairA2_Gradient	Боковые волосы 4
SideHairB5_Color	Боковые волосы 25
SideHairB3_Gradient	Боковые волосы 22
PonytailA2_Outline	Контур волос 3 + 4
PonytailB2_Outline	Контур волос 13 + 14
PonytailB2_Color	Волосы 13
Outer7_Outline	Верхняя одежда Контур 7
Outer1_Outline	Верхняя одежда Контур 1
Hand_Color	Рука 1
LaptopLight3	Ноутбук Свечение 3
Finger	руб 1
Scissor	Вырезать (ножницами)
BoopHand	Буп
Trophy	Трофей 1
ProgressBar	Контейнер индикатора выполнения
Progress	Заполнение индикатора выполнения
