SpriteName	Sk
Main8_Color	Vnútorný oblečenia 8
Tear2_Color	Slza oka 2
Eye3_Dark	Očná dúhovka tmavá 3
Outer4_Outline	Mimo outfitu Obrys 4
Glasses_Lens1	Okuliare Lens 1
WingA3_Outline	Krídlo Obrys 3
Ahoge_B2_Color	Vlasy Ahoge 6
CapeFront1_Outline	Predná časť mysu | Obrys mysu 1
Cake	Koláč
WingD1_Color	Krídlo 6
Pigtail_B1_Gradient	Vlasový vrkoč 18
Outer7_Color	Mimo outfitu 7
Ahoge_B1_Outline	Obrys vlasov Ahoge 5
HornM1_Outline	Predný roh >< Obrys 1
HornF2_Color	Predný roh 2
CapeFront4_Color	Predná časť mysu 4
FrameHair_Branch_A3_Color	Vlasová vetva 3
Main2_Outline	Vnútorný obrys oblečenia 2
Wing1_Outline	Krídlo do ucha Obrys 1
WingD2_Upper_Outline	Krídlo Obrys 7 .1
Mecha4_Color	Mecha 4
Horn1_Outline	Klaksón Obrys 1
WingA2_Color	Krídlo 2
EasterEggBasket	Veľká noc 4
Mecha4_Outline	Mecha Obrys 4
Antenna2_Color	Anténa 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Obrys vlasov Ahoge 3
Main1_Outline	Vnútorný obrys oblečenia 1
Horn2_Color	Klaksón 2
HairBang4_Middle_Gradient	Účesová ofina >< 8
CapeFront3_Color	Predná časť mysu 3
Notepad	Poznámkový blok
Outer5_Color	Mimo outfitu 5
WingA3_Color	Krídlo 3
WingB1_Color	Krídlo 4
Pistol	Pištoľ
Horn7_Color	Klaksón 7
Bottle	Coke Shake
Outer6_Color	Mimo outfitu 6
Laugh2	Nálepka Smej sa 2
FrameHair_B1_Gradient	Rámovanie vlasov 24
Outer5_Outline	Mimo outfitu Obrys 5
FrameHair_Top_Outline	Rámovanie vlasov top Obrys
WingG1_Inner_Color	Krídlo 10 .2
HairBang5_Middle_Outline	Účesová ofina >< Obrys 9 + 10
Beer	Na zdravie
HairBang4_Middle_Color	Účesová ofina >< 7
TailE1_Outline	Obrys chvosta 12
TailC2_Color	Chvost 9
HornF2_Outline	Klaksón Obrys 9
HairBang2_Middle_Outline	Účesová ofina >< Obrys 3 + 4
Ahoge_B2_Outline	Obrys vlasov Ahoge 6
Bell	Zvonček 2
FrameHair_Branch_A3_Outline	Vlasová vetva Obrys 3
FrameHair_A3_Color	Rámovanie vlasov 5
FrameHair_A3_Gradient	Rámovanie vlasov 6
Horn2_Outline	Klaksón Obrys 2
Outer6_Outline	Mimo outfitu Obrys 6
WingD2_Upper_Color	Krídlo 7 .1
Antenna2_Outline	Anténa Obrys 2
TailB5_Outline	Obrys chvosta 7
HairBang5_Middle_Gradient	Účesová ofina >< 10
HairBang1_Middle_Color	Účesová ofina >< 1
QuestionMark	Nálepka s otáznikom
Horn3_Color	Klaksón 3
SignSquareText1	Text štvorcového znaku
Antenna1_Color	Anténa 1
FrameHair_A2_Gradient	Rámovanie vlasov 4
HairHighlight1_Outline	Zvýraznenie vlasov Obrys 1 << + 1 >>
TailD1_Color	Chvost 11
HairBang6_Middle_Outline	Účesová ofina >< Obrys 11 + 12
HairBang7_Middle_Gradient	Účesová ofina >< 14
HairBang6_Middle_Color	Účesová ofina >< 11
HairBang6_Middle_Gradient	Účesová ofina >< 12
CapeFront4_Outline	Predná časť mysu | Obrys mysu 4
FrameHair_A2_Color	Rámovanie vlasov 3
FacialHair_A1_Outline	Vlasy na tvári A Obrys 1
HairBang1_Middle_Gradient	Účesová ofina >< 2
HornM1_Color	Predný roh >< 1
TailB4_Color	Chvost 6
TailB2_Color	Chvost 4
Pigtail_B2_Color	Vlasový vrkoč 19
Fin1_Color	Plutva 1
TailB3_Outline	Obrys chvosta 5
Halo1_Color	Svätožiara 1
TailB2_Outline	Obrys chvosta 4
FrameHair_A3_Outline	Rámovanie vlasov Obrys 5 + 6
FrameHair_B1_Color	Rámovanie vlasov 23
HairClip7_Color	Spona do vlasov 7
FacialHair_A6_Color	Vlasy na tvári A 6
FacialHair_A3_Outline	Vlasy na tvári A 3
Halo1_Outline	Svätožiara obrys 1
Hairband7_Color	Čelenka do vlasov C 1
Keyboard	Typ Normálny 3
FrameHair_A6_Outline	Rámovanie vlasov Obrys 11 + 12
VolumeOff	Hlasitosť nálepky 2
PalmarGlove1_Color	Ruka 2 .2
FacialHair_A6_Outline	Vlasy na tvári A Obrys 6
TailB1_Outline	Obrys chvosta 3
Pigtail_A1_Gradient	Vlasový vrkoč 2
FrameHair_A4_Gradient	Rámovanie vlasov 8
KitchenKnife	Kuchynský nôž
Halo2_Color	Svätožiara 2
FrameHair_A6_Gradient	Rámovanie vlasov 12
HairShine5_Color	Lesk vlasov 9 + 10
FrameHair_B2_Color	Rámovanie vlasov 25
FacialHair_B1_Outline	Vlasy na tvári B Obrys 1
Main3_Outline	Vnútorný obrys oblečenia 3
Main4_Outline	Vnútorný obrys oblečenia 4
Main7_Outline	Vnútorný obrys oblečenia 7
HatA2_Color	Klobúk 2
Pigtail_C2_Outline	Vlasový vrkoč Obrys 23 + 24
Main1_Color	Vnútorný oblečenia 1
Eyepatch2_Outline	Obrys pásky na oči 3 + 4
SideHair_Branch_C2_Color	Bočná vetva vlasov C 2
HairHighlight6_Outline	Zvýraznenie vlasov >< Obrys 5 + 6
SideHair_Branch_C1_Color	Bočná vetva vlasov C 1
Eyepatch1_Outline	Obrys pásky na oči 1 + 2
AlertCoin_Outline	Obrys upozornenia na nálepku 3
Eye_Dum_Outline	Obrys oka (Dum) 1 + 2
FrameHair_Branch_A2_Outline	Vlasová vetva Obrys 2
Main5_Color	Vnútorný oblečenia 5
Pompom	Bambuľka
HairClip10_Outline	Spona do vlasov Obrys 10
WaveHand	Vlnová ruka
HeartItem	Srdce
FrameHair_Branch_A2_Color	Vlasová vetva 2
FrameHair_Branch_A1_Outline	Vlasová vetva Obrys 1
Eye_Dum_Color	Očné bielko
AlertCoin_Color	Upozornenie na nálepky 3
Button	Tlačidlo
SideHair_Branch_B2_Outline	Bočná vetva vlasov B Obrys 2
Face_Shadow	Tieň tváre
AlertStar_Outline	Obrys upozornenia na nálepku 5
Pigtail_C1_Outline	Vlasový vrkoč Obrys 21 + 22
AlertHeart_Outline	Obrys upozornenia na nálepku 1
AlertLike_Color	Upozornenie na nálepky 4
AlertStar_Color	Upozornenie na nálepky 5
Sleep	Nálepka Spánok
Square	Dvere/stena | Väzenský gril | Vonkajšia prikrývka
SideHair_Branch_A2_Color	Bočná vetva vlasov A 2
Beverage	Nápojový pohár 3
HairClip8_Outline	Spona do vlasov Obrys 8
HairClip9_Outline	Spona do vlasov Obrys 9
GiftBox	Darček 1
Mecha5_Outline	Mecha Obrys 5
WingC1_Lower_Color	Krídlo 5 .2
Gill3_Color	Gill 1 .3
FacialHair_B6_Outline	Vlasy na tvári B Obrys 6
HairClip10_Color	Spona do vlasov 10
SideHair_Branch_B2_Color	Bočná vetva vlasov B 2
SideHair_Branch_B1_Color	Bočná vetva vlasov B 1
Bowl	Misa
Pigtail_C1_Color	Vlasový vrkoč 21
Pigtail_C1_Gradient	Vlasový vrkoč 22
HairClip7_Outline	Spona do vlasov Obrys 7
HairHighlight5_Color	Zvýraznenie vlasov >< 3 + 4
HairClip6_Outline	Spona do vlasov Obrys 6
Bill1	Bankovka 1
LubricantSpray	Striekajte
Ahoge_A1_Outline	Obrys vlasov Ahoge 1
Gill1_Outline	Obrys Gill 1 .1
FacialHair_B6_Color	Vlasy na tvári B 6 
Heart	Nálepka Srdce
Popper	Konfetové delo
Pencil	Ceruzka
Ahoge_A3_Color	Vlasy Ahoge 3
BeverageCup	Nápojový pohár
Mouth_Popcat2	Popcat | Ústa 2
HairClip9_Color	Spona do vlasov 9
AlertBits_Color	Upozornenie na nálepky 6
Seven	Číslo sedem
PhoneFront	Telefón 1
Gill2_Outline	Obrys Gill 1 .2
FrameHair_B2_Outline	Rámovanie vlasov Obrys 25 + 26
NeckwearB7_Outline	Oblečenie na krk B Obrys 7
Angry1	Nálepka Nahnevaný 1
Cup	Pohár
Phone	Telefón 2
Palmar_Outline	Ruka 1 .14
FrameHair_B1_Outline	Rámovanie vlasov Obrys 23 + 24
WingD2_Lower_Color	Krídlo 7 .2
HairClip11_Outline	Spona do vlasov Obrys 11
RedPacket	Červený paket 1
HairClip12_Outline	Spona do vlasov Obrys 12
Gill1_Color	Gill 1 .1
Eye1_Dark	Očná dúhovka tmavá 1 + 2
NeckwearB3_Outline	Oblečenie na krk B Obrys 3
LightBulb	Nálepka Žiarovka
Mecha3_Color	Mecha 3
Mecha6_Outline	Mecha Obrys 6
Ahoge_A1_Color	Vlasy Ahoge 1
WingA1_Outline	Krídlo Obrys 1
RedPacketCoin1	Červený paket 5
SweatBlue	Nálepka Pot veľká
HornF1_Color	Predný roh 1
Sparkle	Lesk
Ahoge_A2_Outline	Obrys vlasov Ahoge 
FaceFeatureC2	Funkcia tváre C 2
Glove1_Outline	Rukavice Obrys
PalmGlove1_Color	Ruka 2 .3
PalmGlove1_Outline	Ruka 2 .4
FacialHair_B2_Outline	Vlasy na tvári B 2
Mecha6_Color	Mecha 6
CapeFront1_Color	Predná časť mysu 1
HairClip4_Color	Spona do vlasov 4
NeckwearB1_Color	Oblečenie na krk B 2
Cheek1	Líca 1
Lubricant	Mazivo
Ahoge_A4_Outline	Obrys vlasov Ahoge 4
Angry3	Nálepka Nahnevaný 3
Microphone	Mikrofón
NeckwearB4_Outline	Oblečenie na krk B Obrys 4
WingE1_Middle_Outline	Krídlo Obrys 8 .2
FacialHair_B2_Color	Vlasy na tvári B 2
Collar4_Outline	Obrys goliera oblečenia 4
TailF3_Outline	Obrys chvosta 17
Donut4	Šiška 4
Laugh3	Nálepka Smej sa 3
Tear1	Slza oka 1
NeckwearA6_Outline	Oblečenie na krk A Obrys 6
Confetti1	Konfety 4
Eye_Dum_Pupil	 Oko(Dum) Zrenica
NeckwearB2_Outline	Oblečenie na krk B Obrys 1 + 2
FrameHair_B4_Color	Rámovanie vlasov 29
FrameHair_B4_Gradient	Rámovanie vlasov 30
NeckwearB6_Outline	Oblečenie na krk B Obrys 6
Eye_Popcat_Dark	Dum 3 | Oko | Popcat 2
HairClip2_Outline	Spona do vlasov Obrys 2
FrameHair_B2_Gradient	Rámovanie vlasov 26
Hand_Outline	Ruka 1 .15
Glove1_Color	Rukavice
NeckwearA1_Outline	Oblečenie na krk A Obrys 1
WingE1_Lower_Outline	Krídlo Obrys 8 .3
Mouse	Myška
Collar5_Color	Vnútorný golier oblečenia 5
Tie1_Outline	Oblečenie na krk C Obrys 1
Eyebag	Vak na oči
WingG1_Outter_Outline	Krídlo Obrys 10 .1
Laugh1	Nálepka Smej sa 1
Popcorn	Jesť (popcorn) 2
NeckwearA5_Outline	Oblečenie na krk A Obrys 5
BeverageLiquid	Tekutý nápoj
Eye3_HighlightCry	Oko 3 | Plač
Eye3_Sparkling	Šumivé oči 3
Confetti2	Konfety 5
Eye3_Spiral	Očná špirála 3
FacialHair_B1_Color	Vlasy na tvári B 1
PhoneScreenPattern2	Obrazovka telefónu 2
VolumeOn	Hlasitosť nálepky 3
FacialHair_B4_Outline	Vlasy na tvári B Obrys 4
Collar5_Outline	Obrys goliera oblečenia 5
WingEL_Lower_WeightTransfer	Krídlo >> 15 .3
NeckwearB1_WeightTransfer	Oblečenie na krk B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	Účesová ofina >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Okuliare 4
AhogeA_WeightTransfer	Vlasy Ahoge 7
BackHair_WeightTransfer	Vlasy vzadu 7
AnimalEarBL_WeightTransfer	Zvieracie ucho >> 11
EyepatchA_WeightTransfer	Páska na oči 7
TailD_WeightTransfer	Chvost 22
HairBang_Middle_WeightTransfer	Účesová ofina >< 15
Face_WeightTransfer	Funkcia tváre C 3
NeckwearB2_WeightTransfer	Oblečenie na krk B 9
EarringBR_WeightTransfer	Náušnica << 12
EarringBL_WeightTransfer	Náušnica >> 12
NeckwearC_WeightTransfer	Oblečenie na krk C 4
HatC_WeightTransfer	Klobúk 11
TailFSoft_WeightTransfer	Chvost 25
TailFHard_WeightTransfer	Chvost 24
EarringAR_WeightTransfer	Náušnica << 11
EarringAL_WeightTransfer	Náušnica >> 11
HatA_WeightTransfer	Klobúk 9
LegR_WeightTransfer	Noha << 2
LegL_WeightTransfer	Noha >> 2
HatD_WeightTransfer	Klobúk 12
FrameHair_WeightTransfer	Rámovanie vlasov >< 
TailE_WeightTransfer	Chvost 23
TailA_WeightTransfer	Chvost 19
SideHairB_WeightTransfer	Vlasová strana 34
SideHairA_WeightTransfer	Vlasová strana 33
PonytailA_WeightTransfer	Vlasový chvost 15
WingER_Upper_WeightTransfer	Krídlo << 15 .1
WingER_Middle_WeightTransfer	Krídlo << 15 .2
OutfitOuter_WeightTransfer	Mimo outfitu 8
WingAL_WeightTransfer	Krídlo >> 11
PalmarL_WeightTransfer	Ruka >> 3 .5
HeadWingAL_WeightTransfer	Krídlo do ucha >> 4
BrowL_WeightTransfer	Obočie >> 10
BrowR_WeightTransfer	Obočie << 10
MustacheA_WeightTransfer	Vlasy na tvári B 7
TailC_WeightTransfer	Chvost 21
FrameHair_BranchL_WeightTransfer	Vlasová vetva >> 4
HandL_Middle_WeightTransfer	Ruka >> 3 .1
HandL_Thumb_WeightTransfer	Ruka >> 3 .2
NeckwearA_WeightTransfer	Oblečenie na krk A 7
WingER_Lower_WeightTransfer	Krídlo << 15 .3
WingEL_Upper_WeightTransfer	Krídlo >> 15 .1
WingGL_Outter_WeightTransfer	Krídlo >> 17 .1
WingCL_Upper_WeightTransfer	Krídlo >> 13 .1
WingGR_Inner_WeightTransfer	Krídlo << 17 .2
WingCR_Upper_WeightTransfer	Krídlo << 13 .1
EarL_WeightTransfer	Ucho 2 >>
EarR_WeightTransfer	Ucho 2 <<
CapeBack_WeightTransfer	Zadná časť mysu 4
CapeFront_WeightTransfer	Predná časť mysu 7
WingEL_Middle_WeightTransfer	Krídlo >> 15 .2
WingFR_Upper_WeightTransfer	Krídlo << 16 .1
AntennaR_WeightTransfer	Anténa << 3
AnimalEarAR_WeightTransfer	Zvieracie ucho << 10
WingDL_WeightTransfer	Krídlo >> 14
AnimalEarCL_WeightTransfer	Zvieracie ucho >> 12
WingGL_Inner_WeightTransfer	Krídlo >> 17 .2
Halo_WeightTransfer	Svätožiara 7
FinR_WeightTransfer	Plutva << 2
HatB_WeightTransfer	Klobúk 10
AnimalEarAL_WeightTransfer	Zvieracie ucho >> 10
TailB_WeightTransfer	Chvost 20
HandL_Little_WeightTransfer	Ruka >> 3 .3
HandL_Index_WeightTransfer	Ruka >> 3 .4
FinL_WeightTransfer	Plutva >> 2
AntennaL_WeightTransfer	Anténa >> 3
PonytailAR_WeightTransfer	Vlasový vrkoč << 25
OutfitInner_WeightTransfer	Vnútorný oblečenia 9
MustacheB_WeightTransfer	Vlasy na tvári B 8
PonytailB_WeightTransfer	Vlasový chvost 16
HairBandA_WeightTransfer	Čelenka do vlasov A 3
HairBang_SideR_WeightTransfer	Účesová ofina << 13
EyepatchB_WeightTransfer	Páska na oči 8
WingFL_Lower_WeightTransfer	Krídlo >> 16 .2
WingBL_WeightTransfer	Krídlo >> 12
PonytailCL_WeightTransfer	Vlasový vrkoč >> 26
HairbandB_WeightTransfer	Čelenka do vlasov B 5
BeardA_WeightTransfer	Vlasy na tvári A 9
PonytailAL_WeightTransfer	Vlasový vrkoč >> 25
AnimalEarBR_WeightTransfer	Zvieracie ucho << 11
EyelashR_WeightTransfer	Oko 4 | Mihalnice <<
GillR_WeightTransfer	Gill << 2
PiercingAL_WeightTransfer	Piercing A >> 6
PiercingAR_WeightTransfer	Piercing A << 6
WingFR_Lower_WeightTransfer	Krídlo << 16 .2
WingFL_Upper_WeightTransfer	Krídlo >> 16 .1
HairBandC_WeightTransfer	Čelenka do vlasov D 3
HornL_WeightTransfer	Klaksón >> 8
HornR_WeightTransfer	Klaksón << 8
EyelashL_WeightTransfer	Oko 4 | Mihalnice >>
GillL_WeightTransfer	Gill >> 2
HornFrontL_WeightTransfer	Predný roh >> 3
HornFrontR_WeightTransfer	Predný roh << 3
WingDR_WeightTransfer	Krídlo << 14
FrameHair_BranchR_WeightTransfer	Vlasová vetva << 4
HeadWingAR_WeightTransfer	Krídlo do ucha << 4
HornFrontM_WeightTransfer	Predný roh >< 2
WingGR_Outter_WeightTransfer	Krídlo << 17 .1
EyeDollarR_WeightTransfer	Očný dolár << 4 + 5
EyeHeartL_WeightTransfer	Oko Srdce >> 4 + 5
EyeHeartR_WeightTransfer	Oko Srdce << 4 + 5
EyeHighlightCryL_WeightTransfer	Oko 4 + 5 >> | Plač
EyeHighlightCryR_WeightTransfer	Oko 4 + 5 << | Plač
EyeL_WeightTransfer	Oko >> 4 + 5
EyeR_WeightTransfer	Oko << 4 + 5
EyeSparklingL_WeightTransfer	Šumivé oči >> 4 + 5
EyeSparklingR_WeightTransfer	Šumivé oči << 4 + 5
EyeSpiralL_WeightTransfer	Očná špirála >> 4 + 5
EyeSpiralR_WeightTransfer	Očná špirála << 4 + 5
AnimalEarCR_WeightTransfer	Zvieracie ucho << 12
WingAR_WeightTransfer	Krídlo << 11
PonytailCR_WeightTransfer	Vlasový vrkoč << 26
PiercingBL_WeightTransfer	Piercing B >> 6
PiercingBR_WeightTransfer	Piercing B << 6
HandL_WeightTransfer	Ruka >> 3
HandR_Index_WeightTransfer	Ruka << 3 .4
HandR_Little_WeightTransfer	Ruka << 3 .3
HandR_Middle_WeightTransfer	Ruka << 3 .1
HandR_Thumb_WeightTransfer	Ruka << 3 .2
HandR_WeightTransfer	Ruka << 3
PalmarR_WeightTransfer	Ruka << 3 .5
WingCL_Lower_WeightTransfer	Krídlo >> 13
WingCR_Lower_WeightTransfer	Krídlo << 13
WingBR_WeightTransfer	Krídlo << 12
EyeDollarL_WeightTransfer	Očný dolár >> 4 + 5
ClownWig	Klaun 1
FireA1	Oheň
ElectricFan	Elektrický ventilátor
Cheese	Syr
ElectricFanBlades	Elektrické lopatky ventilátora
Guitar_Outline	Obrys gitary
Guitar_Color1	Farba gitary 1
PaperFanSticks	Skladací ventilátor 2
PaperFanLeaf	Skladací ventilátor 1
Stool	Stolička
Slipper	Papuča
Guitar_Color2	Farba gitary 2
WinkStar	Žmurkajúca hviezda
ClownNose	Klaun 2
Guitar_Color3	Farba gitary 3
SideHairA7_Color	Vlasová strana 13
PonytailA3_Gradient	Vlasový chvost 6
SideHairA2_Gradient	Vlasová strana 4
SideHairB5_Color	Vlasová strana 25
SideHairB3_Gradient	Vlasová strana 22
PonytailA2_Outline	Obrys chvosta vlasov 3 + 4
PonytailB2_Outline	Obrys chvosta vlasov 13 + 14
PonytailB2_Color	Vlasový chvost 13
Outer7_Outline	Mimo outfitu Obrys 7
Outer1_Outline	Mimo outfitu Obrys 1
Hand_Color	Ruka 1
LaptopLight3	Svetlo notebooku 3
Finger	Potierať 1
Scissor	Strihať (nožnice)
BoopHand	Boop
Trophy	Trofej 1
ProgressBar	Kontajner s indikátorom priebehu
Progress	Výplň ukazovateľa priebehu
