SpriteName	It
HairClip8_Color	Fermaglio per capelli 8
FaceFeatureB1	Caratteristica del viso B 1
Pigtail_B2_Gradient	Codino di capelli 20
Main8_Color	Abito interno 8
Tear2_Color	Lacrima degli occhi 2
Eye3_Dark	Occhio Iride scura 3
Outer4_Outline	Contorno esterno del vestito 4
Glasses_Lens1	Occhiali Lens 1
WingA3_Outline	Ala Contorno 3
Ahoge_B2_Color	Capelli Ahoge (ciuffo) 6
CapeFront1_Outline	Capo anteriore | Profilo del Capo 1
Cake	Torta
WingD1_Color	Ala 6
Pigtail_B1_Gradient	Codino di capelli 18
Outer7_Color	Vestito esterno 7
Ahoge_B1_Outline	 Contorno dei Capelli Ahoge (ciuffo) 5
HornM1_Outline	Corno anteriore >< Contorno 1
HornF2_Color	Corno anteriore 2
CapeFront4_Color	Capo anteriore 4
FrameHair_Branch_A3_Color	Ramo di capelli 3
Main2_Outline	Contorno interno del vestito 2
Wing1_Outline	Ala dell'orecchio Contorno 1
WingD2_Upper_Outline	Ala Contorno 7 .1
Mecha4_Color	(Mecha) Mecca 4
Horn1_Outline	Corno Contorno 1
WingA2_Color	Ala 2
EasterEggBasket	Pasqua 4
Mecha4_Outline	Mecha Contorno 4
Antenna2_Color	Antenna 2
Mecha1_Color	(Mecha) Mecca 1
Ahoge_A3_Outline	 Contorno dei Capelli Ahoge (ciuffo) 3
Main1_Outline	Contorno interno del vestito 1
Horn2_Color	Corno 2
HairBang4_Middle_Gradient	Frangia ai capelli >< 8
CapeFront3_Color	Capo anteriore 3
Notepad	Blocco note
Outer5_Color	Vestito esterno 5
WingA3_Color	Ala 3
WingB1_Color	Ala 4
Pistol	Pistola
Horn7_Color	Corno 7
Bottle	Coca-Cola Shake (agitata)
Outer6_Color	Vestito esterno 6
Laugh2	Adesivo Ridere 2
FrameHair_B1_Gradient	Inquadratura dei capelli 24
Outer5_Outline	Contorno esterno del vestito 5
FrameHair_Top_Outline	Inquadratura dei capelli top Contorno
WingG1_Inner_Color	Ala 10 .2
HairBang5_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 9 + 10
Beer	Saluti
HairBang4_Middle_Color	Frangia ai capelli >< 7
TailE1_Outline	Contorno della coda 12
TailC2_Color	Coda 9
HornF2_Outline	Corno Contorno 9
HairBang2_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 3 + 4
Ahoge_B2_Outline	 Contorno dei Capelli Ahoge (ciuffo) 6
Bell	Campana 2
FrameHair_Branch_A3_Outline	Ramo di capelli Contorno 3
FrameHair_A3_Color	Inquadratura dei capelli 5
FrameHair_A3_Gradient	Inquadratura dei capelli 6
Horn2_Outline	Corno Contorno 2
Outer6_Outline	Contorno esterno del vestito 6
WingD2_Upper_Color	Ala 7 .1
Antenna2_Outline	Antenna Contorno 2
TailB5_Outline	Contorno della coda 7
HairBang5_Middle_Gradient	Frangia ai capelli >< 10
HairBang1_Middle_Color	Frangia ai capelli >< 1
QuestionMark	Punto interrogativo adesivo
Horn3_Color	Corno 3
SignSquareText1	Testo del segno quadrato
Antenna1_Color	Antenna 1
FrameHair_A2_Gradient	Inquadratura dei capelli 4
HairHighlight1_Outline	Capelli evidenziati Contorno 1 << + 1 >>
TailD1_Color	Coda 11
HairBang6_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 11 + 12
HairBang7_Middle_Gradient	Frangia ai capelli >< 14
HairBang6_Middle_Color	Frangia ai capelli >< 11
HairBang6_Middle_Gradient	Frangia ai capelli >< 12
CapeFront4_Outline	Capo anteriore | Profilo del Capo 4
FrameHair_A2_Color	Inquadratura dei capelli 3
FacialHair_A1_Outline	Peli sul viso A Contorno 1
HairBang1_Middle_Gradient	Frangia ai capelli >< 2
HornM1_Color	Corno anteriore >< 1
TailB4_Color	Coda 6
TailB2_Color	Coda 4
Pigtail_B2_Color	Codino di capelli 19
Fin1_Color	Pinna 1
TailB3_Outline	Contorno della coda 5
Halo1_Color	Alone 1
TailB2_Outline	Contorno della coda 4
FrameHair_A3_Outline	Inquadratura dei capelli Contorno 5 + 6
FrameHair_B1_Color	Inquadratura dei capelli 23
HairClip7_Color	Fermaglio per capelli 7
FacialHair_A6_Color	Peli sul viso A 6
FacialHair_A3_Outline	Peli sul viso A 3
Halo1_Outline	Contorno dell'alone 1
Hairband7_Color	Fascia per capelli C 1
Keyboard	Digitare Normale 3
FrameHair_A6_Outline	Inquadratura dei capelli Contorno 11 + 12
VolumeOff	Volume dell'autoadesivo 2
PalmarGlove1_Color	Mano 2 .2
FacialHair_A6_Outline	Peli sul viso A Contorno 6
TailB1_Outline	Contorno della coda 3
Pigtail_A1_Gradient	Codino di capelli 2
FrameHair_A4_Gradient	Inquadratura dei capelli 8
KitchenKnife	Coltello da cucina
Halo2_Color	Alone 2
FrameHair_A6_Gradient	Inquadratura dei capelli 12
HairShine5_Color	Lucentezza dei capelli 9 + 10
FrameHair_B2_Color	Inquadratura dei capelli 25
FacialHair_B1_Outline	Peli sul viso B Contorno 1
Main3_Outline	Contorno interno del vestito 3
Main4_Outline	Contorno interno del vestito 4
Main7_Outline	Contorno interno del vestito 7
HatA2_Color	Cappello 2
Pigtail_C2_Outline	Codino di capelli Contorno 23 + 24
Main1_Color	Abito interno 1
Eyepatch2_Outline	Contorno della benda sull'occhio 3 + 4
SideHair_Branch_C2_Color	Ramo laterale dei capelli C 2
HairHighlight6_Outline	Capelli evidenziati >< Contorno 5 + 6
SideHair_Branch_C1_Color	Ramo laterale dei capelli C 1
Eyepatch1_Outline	Contorno della benda sull'occhio 1 + 2
AlertCoin_Outline	Contorno avviso adesivo 3
Eye_Dum_Outline	Contorno dell'occhio (dum) 1 + 2
FrameHair_Branch_A2_Outline	Ramo di capelli Contorno 2
Main5_Color	Abito interno 5
Pompom	Pompon
HairClip10_Outline	Fermaglio per capelli Contorno 10
WaveHand	Onda la mano
HeartItem	Cuore
FrameHair_Branch_A2_Color	Ramo di capelli 2
FrameHair_Branch_A1_Outline	Ramo di capelli Contorno 1
Eye_Dum_Color	Occhio bianco
AlertCoin_Color	Avviso adesivo 3
Button	Pulsante
SideHair_Branch_B2_Outline	Ramo laterale dei capelli B Contorno 2
Face_Shadow	Ombra del viso
AlertStar_Outline	Contorno avviso adesivo 5
Pigtail_C1_Outline	Codino di capelli Contorno 21 + 22
AlertHeart_Outline	Contorno avviso adesivo 1
AlertLike_Color	Avviso adesivo 4
AlertStar_Color	Avviso adesivo 5
Sleep	Adesivo Sonno
Square	Porta/muro | Griglia della prigione | Coperta esterna
SideHair_Branch_A2_Color	Ramo laterale dei capelli A 2
Beverage	Tazza per bevande 3
HairClip8_Outline	Fermaglio per capelli Contorno 8
HairClip9_Outline	Fermaglio per capelli Contorno 9
GiftBox	Regalo 1
Mecha5_Outline	Mecha Contorno 5
WingC1_Lower_Color	Ala 5 .2
Gill3_Color	Branchie 1 .3
FacialHair_B6_Outline	Peli sul viso B Contorno 6
HairClip10_Color	Fermaglio per capelli 10
SideHair_Branch_B2_Color	Ramo laterale dei capelli B 2
SideHair_Branch_B1_Color	Ramo laterale dei capelli B 1
Bowl	Ciotola
Pigtail_C1_Color	Codino di capelli 21
Pigtail_C1_Gradient	Codino di capelli 22
HairClip7_Outline	Fermaglio per capelli Contorno 7
HairHighlight5_Color	Capelli evidenziati >< 3 + 4
HairClip6_Outline	Fermaglio per capelli Contorno 6
Bill1	Conto 1
LubricantSpray	Spray
Ahoge_A1_Outline	 Contorno dei Capelli Ahoge (ciuffo) 1
Gill1_Outline	Contorno delle branchie 1 .1
FacialHair_B6_Color	Peli sul viso B 6 
Heart	Adesivo Cuore
Popper	Popper
Pencil	Matita
Ahoge_A3_Color	Capelli Ahoge (ciuffo) 3
BeverageCup	Tazza per bevande
Mouth_Popcat2	Popcat | Bocca 2
HairClip9_Color	Fermaglio per capelli 9
AlertBits_Color	Avviso adesivo 6
Seven	Numero sette
PhoneFront	Telefono 1
Gill2_Outline	Contorno delle branchie 1 .2
FrameHair_B2_Outline	Inquadratura dei capelli Contorno 25 + 26
NeckwearB7_Outline	Completo cravatta B Contorno 7
Angry1	Adesivo Arrabbiato 1
Cup	Tazza
Phone	Telefono 2
Palmar_Outline	Mano 1 .14
FrameHair_B1_Outline	Inquadratura dei capelli Contorno 23 + 24
WingD2_Lower_Color	Ala 7 .2
HairClip11_Outline	Fermaglio per capelli Contorno 11
RedPacket	Pacchetto Rosso 1
HairClip12_Outline	Fermaglio per capelli Contorno 12
Gill1_Color	Branchie 1 .1
Eye1_Dark	Occhio Iride scura 1 + 2
NeckwearB3_Outline	Completo cravatta B Contorno 3
LightBulb	Lampadina adesiva
Mecha3_Color	(Mecha) Mecca 3
Mecha6_Outline	Mecha Contorno 6
Ahoge_A1_Color	Capelli Ahoge (ciuffo) 1
WingA1_Outline	Ala Contorno 1
RedPacketCoin1	Pacchetto Rosso 5
SweatBlue	Adesivo Sudore grande
HornF1_Color	Corno anteriore 1
Sparkle	Brillare
Ahoge_A2_Outline	 Contorno dei Capelli Ahoge (ciuffo) 
FaceFeatureC2	Caratteristica del viso C 2
Glove1_Outline	Guanto Contorno
PalmGlove1_Color	Mano 2 .3
PalmGlove1_Outline	Mano 2 .4
FacialHair_B2_Outline	Peli sul viso B 2
Mecha6_Color	(Mecha) Mecca 6
CapeFront1_Color	Capo anteriore 1
HairClip4_Color	Fermaglio per capelli 4
NeckwearB1_Color	Completo cravatta B 2
Cheek1	Guancia 1
Lubricant	Lubrificante
Ahoge_A4_Outline	 Contorno dei Capelli Ahoge (ciuffo) 4
Angry3	Adesivo Arrabbiato 3
Microphone	Microfono
NeckwearB4_Outline	Completo cravatta B Contorno 4
WingE1_Middle_Outline	Ala Contorno 8 .2
FacialHair_B2_Color	Peli sul viso B 2
Collar4_Outline	Contorno del colletto dell'abito 4
TailF3_Outline	Contorno della coda 17
Donut4	Ciambella 4
Laugh3	Adesivo Ridere 3
Tear1	Lacrima degli occhi 1
NeckwearA6_Outline	Completo cravatta A Contorno 6
Confetti1	Coriandoli 4
Eye_Dum_Pupil	Pupilla dell'occhio (idiota)
NeckwearB2_Outline	Completo cravatta B Contorno 1 + 2
FrameHair_B4_Color	Inquadratura dei capelli 29
FrameHair_B4_Gradient	Inquadratura dei capelli 30
NeckwearB6_Outline	Completo cravatta B Contorno 6
Eye_Popcat_Dark	Dimmi 3 | Occhio | Cornice Popcat 2
HairClip2_Outline	Fermaglio per capelli Contorno 2
FrameHair_B2_Gradient	Inquadratura dei capelli 26
Hand_Outline	Mano 1 .15
Glove1_Color	Guanto
NeckwearA1_Outline	Completo cravatta A Contorno 1
WingE1_Lower_Outline	Ala Contorno 8 .3
Mouse	Topo
Collar5_Color	Colletto interno per outfit 5
Tie1_Outline	Completo cravatta C Contorno 1
Eyebag	Borsa per gli occhi
WingG1_Outter_Outline	Ala Contorno 10 .1
Laugh1	Adesivo Ridere 1
Popcorn	Mangiare (Popcorn) 2
NeckwearA5_Outline	Completo cravatta A Contorno 5
BeverageLiquid	Bevanda liquida
Eye3_HighlightCry	Occhio 3 | Piangere
Eye3_Sparkling	Occhio scintillante 3
Confetti2	Coriandoli 5
Eye3_Spiral	Spirale dell'occhio 3
FacialHair_B1_Color	Peli sul viso B 1
PhoneScreenPattern2	Schermo del telefono 2
VolumeOn	Volume dell'autoadesivo 3
FacialHair_B4_Outline	Peli sul viso B Contorno 4
Collar5_Outline	Contorno del colletto dell'abito 5
WingEL_Lower_WeightTransfer	Ala >> 15 .3
NeckwearB1_WeightTransfer	Completo cravatta B 8
FloatingL_WeightTransfer	(Mecha) Mecca >> 7
HairBang_SideL_WeightTransfer	Frangia ai capelli >> 13
FloatingR_WeightTransfer	(Mecha) Mecca << 7
Glasses_WeightTransfer	Occhiali 4
AhogeA_WeightTransfer	Capelli Ahoge (ciuffo) 7
BackHair_WeightTransfer	Capelli posteriori 7
AnimalEarBL_WeightTransfer	Orecchio di animale >> 11
EyepatchA_WeightTransfer	Benda sull'occhio 7
TailD_WeightTransfer	Coda 22
HairBang_Middle_WeightTransfer	Frangia ai capelli >< 15
Face_WeightTransfer	Caratteristica del viso C 3
NeckwearB2_WeightTransfer	Completo cravatta B 9
EarringBR_WeightTransfer	Orecchino << 12
EarringBL_WeightTransfer	Orecchino >> 12
NeckwearC_WeightTransfer	Completo cravatta C 4
HatC_WeightTransfer	Cappello 11
TailFSoft_WeightTransfer	Coda 25
TailFHard_WeightTransfer	Coda 24
EarringAR_WeightTransfer	Orecchino << 11
EarringAL_WeightTransfer	Orecchino >> 11
HatA_WeightTransfer	Cappello 9
LegR_WeightTransfer	Gamba << 2
LegL_WeightTransfer	Gamba >> 2
HatD_WeightTransfer	Cappello 12
FrameHair_WeightTransfer	Inquadratura dei capelli >< 
TailE_WeightTransfer	Coda 23
TailA_WeightTransfer	Coda 19
SideHairB_WeightTransfer	Lato dei capelli 34
SideHairA_WeightTransfer	Lato dei capelli 33
PonytailA_WeightTransfer	Coda di cavallo dei capelli 15
WingER_Upper_WeightTransfer	Ala << 15 .1
WingER_Middle_WeightTransfer	Ala << 15 .2
OutfitOuter_WeightTransfer	Vestito esterno 8
WingAL_WeightTransfer	Ala >> 11
PalmarL_WeightTransfer	Mano >> 3 .5
HeadWingAL_WeightTransfer	Ala dell'orecchio >> 4
BrowL_WeightTransfer	Sopracciglia >> 10
BrowR_WeightTransfer	Sopracciglia << 10
MustacheA_WeightTransfer	Peli sul viso B 7
TailC_WeightTransfer	Coda 21
FrameHair_BranchL_WeightTransfer	Ramo di capelli >> 4
HandL_Middle_WeightTransfer	Mano >> 3 .1
HandL_Thumb_WeightTransfer	Mano >> 3 .2
NeckwearA_WeightTransfer	Completo cravatta A 7
WingER_Lower_WeightTransfer	Ala << 15 .3
WingEL_Upper_WeightTransfer	Ala >> 15 .1
WingGL_Outter_WeightTransfer	Ala >> 17 .1
WingCL_Upper_WeightTransfer	Ala >> 13 .1
WingGR_Inner_WeightTransfer	Ala << 17 .2
WingCR_Upper_WeightTransfer	Ala << 13 .1
EarL_WeightTransfer	Orecchio 2 >>
EarR_WeightTransfer	Orecchio 2 <<
CapeBack_WeightTransfer	Capo Indietro 4
CapeFront_WeightTransfer	Capo anteriore 7
WingEL_Middle_WeightTransfer	Ala >> 15 .2
WingFR_Upper_WeightTransfer	Ala << 16 .1
AntennaR_WeightTransfer	Antenna << 3
AnimalEarAR_WeightTransfer	Orecchio di animale << 10
WingDL_WeightTransfer	Ala >> 14
AnimalEarCL_WeightTransfer	Orecchio di animale >> 12
WingGL_Inner_WeightTransfer	Ala >> 17 .2
Halo_WeightTransfer	Alone 7
FinR_WeightTransfer	Pinna << 2
HatB_WeightTransfer	Cappello 10
AnimalEarAL_WeightTransfer	Orecchio di animale >> 10
TailB_WeightTransfer	Coda 20
HandL_Little_WeightTransfer	Mano >> 3 .3
HandL_Index_WeightTransfer	Mano >> 3 .4
FinL_WeightTransfer	Pinna >> 2
AntennaL_WeightTransfer	Antenna >> 3
PonytailAR_WeightTransfer	Codino di capelli << 25
OutfitInner_WeightTransfer	Abito interno 9
MustacheB_WeightTransfer	Peli sul viso B 8
PonytailB_WeightTransfer	Coda di cavallo dei capelli 16
HairBandA_WeightTransfer	Fascia per capelli A 3
HairBang_SideR_WeightTransfer	Frangia ai capelli << 13
EyepatchB_WeightTransfer	Benda sull'occhio 8
WingFL_Lower_WeightTransfer	Ala >> 16 .2
WingBL_WeightTransfer	Ala >> 12
PonytailCL_WeightTransfer	Codino di capelli >> 26
HairbandB_WeightTransfer	Fascia per capelli B 5
BeardA_WeightTransfer	Peli sul viso A 9
PonytailAL_WeightTransfer	Codino di capelli >> 25
AnimalEarBR_WeightTransfer	Orecchio di animale << 11
EyelashR_WeightTransfer	Occhio 4 | Ciglia <<
GillR_WeightTransfer	Branchie << 2
PiercingAL_WeightTransfer	Perforazione A >> 6
PiercingAR_WeightTransfer	Perforazione A << 6
WingFR_Lower_WeightTransfer	Ala << 16 .2
WingFL_Upper_WeightTransfer	Ala >> 16 .1
HairBandC_WeightTransfer	Fascia per capelli D 3
HornL_WeightTransfer	Corno >> 8
HornR_WeightTransfer	Corno << 8
EyelashL_WeightTransfer	Occhio 4 | Ciglia >>
GillL_WeightTransfer	Branchie >> 2
HornFrontL_WeightTransfer	Corno anteriore >> 3
HornFrontR_WeightTransfer	Corno anteriore << 3
WingDR_WeightTransfer	Ala << 14
FrameHair_BranchR_WeightTransfer	Ramo di capelli << 4
HeadWingAR_WeightTransfer	Ala dell'orecchio << 4
HornFrontM_WeightTransfer	Corno anteriore >< 2
WingGR_Outter_WeightTransfer	Ala << 17 .1
EyeDollarR_WeightTransfer	Dollaro degli occhi << 4 + 5
EyeHeartL_WeightTransfer	Occhio Cuore >> 4 + 5
EyeHeartR_WeightTransfer	Occhio Cuore << 4 + 5
EyeHighlightCryL_WeightTransfer	Occhio 4 + 5 >> | Piangere
EyeHighlightCryR_WeightTransfer	Occhio 4 + 5 << | Piangere
EyeL_WeightTransfer	Occhio >> 4 + 5
EyeR_WeightTransfer	Occhio << 4 + 5
EyeSparklingL_WeightTransfer	Occhio scintillante >> 4 + 5
EyeSparklingR_WeightTransfer	Occhio scintillante << 4 + 5
EyeSpiralL_WeightTransfer	Spirale dell'occhio >> 4 + 5
EyeSpiralR_WeightTransfer	Spirale dell'occhio << 4 + 5
AnimalEarCR_WeightTransfer	Orecchio di animale << 12
WingAR_WeightTransfer	Ala << 11
PonytailCR_WeightTransfer	Codino di capelli << 26
PiercingBL_WeightTransfer	Perforazione B >> 6
PiercingBR_WeightTransfer	Perforazione B << 6
HandL_WeightTransfer	Mano >> 3
HandR_Index_WeightTransfer	Mano << 3 .4
HandR_Little_WeightTransfer	Mano << 3 .3
HandR_Middle_WeightTransfer	Mano << 3 .1
HandR_Thumb_WeightTransfer	Mano << 3 .2
HandR_WeightTransfer	Mano << 3
PalmarR_WeightTransfer	Mano << 3 .5
WingCL_Lower_WeightTransfer	Ala >> 13
WingCR_Lower_WeightTransfer	Ala << 13
WingBR_WeightTransfer	Ala << 12
EyeDollarL_WeightTransfer	Dollaro degli occhi >> 4 + 5
ClownWig	Pagliaccio 1
FireA1	Fuoco
ElectricFan	Ventilatore elettrico
Cheese	Formaggio
ElectricFanBlades	Pale del ventilatore elettrico
Guitar_Outline	Profilo di chitarra
Guitar_Color1	Colore della chitarra 1
PaperFanSticks	Ventaglio pieghevole 2
PaperFanLeaf	Ventaglio pieghevole 1
Stool	Sgabello
Slipper	Pantofola
Guitar_Color2	Colore della chitarra 2
WinkStar	Occhiolino Stella
ClownNose	Pagliaccio 2
Guitar_Color3	Colore della chitarra 3
SideHairA7_Color	Lato dei capelli 13
PonytailA3_Gradient	Coda di cavallo dei capelli 6
SideHairA2_Gradient	Lato dei capelli 4
SideHairB5_Color	Lato dei capelli 25
SideHairB3_Gradient	Lato dei capelli 22
PonytailA2_Outline	Contorno di coda di cavallo per capelli 3 + 4
PonytailB2_Outline	Contorno di coda di cavallo per capelli 13 + 14
PonytailB2_Color	Coda di cavallo dei capelli 13
Outer7_Outline	Contorno esterno del vestito 7
Outer1_Outline	Contorno esterno del vestito 1
Hand_Color	Mano 1
LaptopLight3	Luce per laptop (Computer portatile) 3
Finger	Strofinare 1
Scissor	Taglio (Forbici)
BoopHand	Boop
Trophy	Trofeo 1
ProgressBar	Contenitore della barra di avanzamento
Progress	Riempimento della barra di avanzamento
