SpriteName	Th
FrameHair_A5_Gradient	ผมด้านข้าง 10
CapeFront6_Outline	แหลมหน้า | โครงร่างเคป 6
FrameHair_A5_Color	ผมด้านข้าง 9
CapeBack2_Color	เคปแบ็ค 2
SunGlasses_Lens	แว่นกันแดด Lens
FrameHair_A9_Outline	เส้นร่างผมด้านข้าง 17 + 18
Main8_Outline	เส้นร่างชุดด้านใน 8
Pigtail_A4_Color	มัดผม 7
KeyboardKeyB	พิมพ์ (ปกติ) 2
Tie3_Color	เครื่องประดับคอ C 3
Nose2	จมูก 2
FacialHair_A5_Color	ขนบนใบหน้า A 5
AlertCustom_Color	สติกเกอร์ Alert 2
AlertCustom_Outline	สติกเกอร์ Alert Outline 2
SideHair_Branch_A2_Outline	เส้นร่างปอยผมด้านหลัง A 2
Horn1_Color	เขา 1
Outer3_Outline	เส้นร่างชุดด้านนอก 3
SideHair_Branch_B1_Outline	เส้นร่างปอยผมด้านหลัง B 1
ElfEar_Outline	เส้นร่าง หู 1.1
Outer4_Color	ชุดด้านนอก 4
Outer3_Color	ชุดด้านนอก 3
HairHighlight5_Outline	เส้นร่างชิ้นส่วนผม >< 3 +4
SideHair_Branch_C1_Outline	เส้นร่างปอยผมด้านหลัง C 1
Stylus	ปากกาสไตลัส
Tear2_Outline	น้ำตา 3
Donut1	โดนัท 1
Donut2	โดนัท 2
SideHair_Branch_A1_Outline	เส้นร่างปอยผมด้านหลัง A 1
Eye1_Light	ตา(สีอ่อน) 1 + 2
Angry2	สติกเกอร์โกรธ 2
WingF1_Upper_Color	ปีก 9 .1
NeckwearB2_Color	เครื่องประดับคอ B 1 + 2
SideHair_Branch_A1_Color	ปอยผมด้านหลัง A 1
SignRoundText1	ข้อความบนป้ายกลม
Collar2_Outline	เส้นร่างปกเสื้อ 2
MusicalNote2	โน้ตดนตรี 2
FacialHair_B4_Color	ขนบนใบหน้า B 4
Mecha2_Color	ส่วนหุ่นยนต์ 2
Six	หมายเลขหก
PointHand	มือชี้
HairClip8_Color	กิ๊บติดผม 8
FaceFeatureB1	ลักษณะใบหน้า B 1
Pigtail_B2_Gradient	มัดผม 20
Main8_Color	ชุดด้านใน 8
Tear2_Color	น้ำตา 2
Eye3_Dark	ตา(สีเข้ม) 3
Outer4_Outline	เส้นร่างชุดด้านนอก 4
Glasses_Lens1	แว่นตา Lens 1
WingA3_Outline	เส้นร่างปีก 3
Ahoge_B2_Color	ผม Ahoge 6
CapeFront1_Outline	แหลมหน้า | โครงร่างเคป 1
Cake	เค้ก
WingD1_Color	ปีก 6
Pigtail_B1_Gradient	มัดผม 18
Outer7_Color	ชุดด้านนอก 7
Ahoge_B1_Outline	เส้นร่างผม Ahoge 5
HornM1_Outline	เส้นร่างเขาด้านหน้า ><  1
HornF2_Color	เขาด้านหน้า 2
CapeFront4_Color	แหลมหน้า 4
FrameHair_Branch_A3_Color	ปอยผม 3
Main2_Outline	เส้นร่างชุดด้านใน 2
Wing1_Outline	เส้นร่างหูปีก 1
WingD2_Upper_Outline	เส้นร่างปีก 7 .1
Mecha4_Color	ส่วนหุ่นยนต์ 4
Horn1_Outline	เส้นร่างเขา 1
WingA2_Color	ปีก 2
EasterEggBasket	อีสเตอร์ 4
Mecha4_Outline	เส้นร่างส่วนหุ่นยนต์ 4
Antenna2_Color	หนวดแมลง 2
Mecha1_Color	ส่วนหุ่นยนต์ 1
Ahoge_A3_Outline	เส้นร่างผม Ahoge 3
Main1_Outline	เส้นร่างชุดด้านใน 1
Horn2_Color	เขา 2
HairBang4_Middle_Gradient	ผมหน้าม้า >< 8
CapeFront3_Color	แหลมหน้า 3
Notepad	สมุดบันทึก
Outer5_Color	ชุดด้านนอก 5
WingA3_Color	ปีก 3
WingB1_Color	ปีก 4
Pistol	ปืน
Horn7_Color	เขา 7
Bottle	โค้กเชค
Outer6_Color	ชุดด้านนอก 6
Laugh2	สติกเกอร์หัวเราะ 2
FrameHair_B1_Gradient	ผมด้านข้าง 24
Outer5_Outline	เส้นร่างชุดด้านนอก 5
FrameHair_Top_Outline	เส้นร่างผมด้านข้าง top
WingG1_Inner_Color	ปีก 10 .2
HairBang5_Middle_Outline	เส้นร่างผมหน้าม้า >< 9 + 10
Beer	ไชโย
HairBang4_Middle_Color	ผมหน้าม้า >< 7
TailE1_Outline	เส้นร่างหาง 12
TailC2_Color	หาง 9
HornF2_Outline	เส้นร่างเขา 9
HairBang2_Middle_Outline	เส้นร่างผมหน้าม้า >< 3 + 4
Ahoge_B2_Outline	เส้นร่างผม Ahoge 6
Bell	กระดิ่ง 2
FrameHair_Branch_A3_Outline	เส้นร่างปอยผม 3
FrameHair_A3_Color	ผมด้านข้าง 5
FrameHair_A3_Gradient	ผมด้านข้าง 6
Horn2_Outline	เส้นร่างเขา 2
Outer6_Outline	เส้นร่างชุดด้านนอก 6
WingD2_Upper_Color	ปีก 7 .1
Antenna2_Outline	เส้นร่างหนวดแมลง 2
TailB5_Outline	เส้นร่างหาง 7
HairBang5_Middle_Gradient	ผมหน้าม้า >< 10
HairBang1_Middle_Color	ผมหน้าม้า >< 1
QuestionMark	สติกเกอร์เครื่องหมายคำถาม
Horn3_Color	เขา 3
SignSquareText1	ข้อความป้ายสี่เหลี่ยม
Antenna1_Color	หนวดแมลง 1
FrameHair_A2_Gradient	ผมด้านข้าง 4
HairHighlight1_Outline	เส้นร่างชิ้นส่วนผม 1 << + 1 >>
TailD1_Color	หาง 11
HairBang6_Middle_Outline	เส้นร่างผมหน้าม้า >< 11 + 12
HairBang7_Middle_Gradient	ผมหน้าม้า >< 14
HairBang6_Middle_Color	ผมหน้าม้า >< 11
HairBang6_Middle_Gradient	ผมหน้าม้า >< 12
CapeFront4_Outline	แหลมหน้า | โครงร่างเคป 4
FrameHair_A2_Color	ผมด้านข้าง 3
FacialHair_A1_Outline	โครงร่างขนบนใบหน้า A 1
HairBang1_Middle_Gradient	ผมหน้าม้า >< 2
HornM1_Color	เขาด้านหน้า >< 1
TailB4_Color	หาง 6
TailB2_Color	หาง 4
Pigtail_B2_Color	มัดผม 19
Fin1_Color	ครีบ 1
TailB3_Outline	เส้นร่างหาง 5
Halo1_Color	Halo 1
TailB2_Outline	เส้นร่างหาง 4
FrameHair_A3_Outline	เส้นร่างผมด้านข้าง 5 + 6
FrameHair_B1_Color	ผมด้านข้าง 23
HairClip7_Color	กิ๊บติดผม 7
FacialHair_A6_Color	ขนบนใบหน้า A 6
FacialHair_A3_Outline	ขนบนใบหน้า A 3
Halo1_Outline	เส้นร่าง Halo 1
Hairband7_Color	ที่คาดผม C 1
Keyboard	พิมพ์ (ปกติ) 3
FrameHair_A6_Outline	เส้นร่างผมด้านข้าง 11 + 12
VolumeOff	สติกเกอร์ ระดับเสียง 2
PalmarGlove1_Color	มือ 2 .2
FacialHair_A6_Outline	โครงร่างขนบนใบหน้า A 6
TailB1_Outline	เส้นร่างหาง 3
Pigtail_A1_Gradient	มัดผม 2
FrameHair_A4_Gradient	ผมด้านข้าง 8
KitchenKnife	มีดทำครัว
Halo2_Color	Halo 2
FrameHair_A6_Gradient	ผมด้านข้าง 12
HairShine5_Color	ไฮไลต์ผม 9 + 10
FrameHair_B2_Color	ผมด้านข้าง 25
FacialHair_B1_Outline	โครงร่างขนบนใบหน้า B 1
Main3_Outline	เส้นร่างชุดด้านใน 3
Main4_Outline	เส้นร่างชุดด้านใน 4
Main7_Outline	เส้นร่างชุดด้านใน 7
HatA2_Color	หมวก 2
Pigtail_C2_Outline	เส้นร่างมัดผม 23 + 24
Main1_Color	ชุดด้านใน 1
Eyepatch2_Outline	โครงร่างผ้าปิดตา 3 + 4
SideHair_Branch_C2_Color	ปอยผมด้านหลัง C 2
HairHighlight6_Outline	เส้นร่างชิ้นส่วนผม >< 5 + 6
SideHair_Branch_C1_Color	ปอยผมด้านหลัง C 1
Eyepatch1_Outline	โครงร่างผ้าปิดตา 1 + 2
AlertCoin_Outline	สติกเกอร์ Alert Outline 3
Eye_Dum_Outline	เส้นร่างตาหน้าโง่ 1 + 2
FrameHair_Branch_A2_Outline	เส้นร่างปอยผม 2
Main5_Color	ชุดด้านใน 5
Pompom	 ปอมปอม
HairClip10_Outline	เส้นร่างกิ๊บติดผม 10
WaveHand	คลื่นมือ
HeartItem	หัวใจ
FrameHair_Branch_A2_Color	ปอยผม 2
FrameHair_Branch_A1_Outline	เส้นร่างปอยผม 1
Eye_Dum_Color	ตาขาว
AlertCoin_Color	สติกเกอร์ Alert 3
Button	ปุ่ม
SideHair_Branch_B2_Outline	เส้นร่างปอยผมด้านหลัง B 2
Face_Shadow	เงาบนหน้า
AlertStar_Outline	สติกเกอร์ Alert Outline 5
Pigtail_C1_Outline	เส้นร่างมัดผม 21 + 22
AlertHeart_Outline	สติกเกอร์ Alert Outline 1
AlertLike_Color	สติกเกอร์ Alert 4
AlertStar_Color	สติกเกอร์ Alert 5
Sleep	สติกเกอร์นอน
Square	ประตู/ผนัง | ลูกกรงคุก | ผ้าห่มด้านนอก
SideHair_Branch_A2_Color	ปอยผมด้านหลัง A 2
Beverage	ถ้วยเครื่องดื่ม 3
HairClip8_Outline	เส้นร่างกิ๊บติดผม 8
HairClip9_Outline	เส้นร่างกิ๊บติดผม 9
GiftBox	ของขวัญ 1
Mecha5_Outline	เส้นร่างส่วนหุ่นยนต์ 5
WingC1_Lower_Color	ปีก 5 .2
Gill3_Color	เหงือก 1 .3
FacialHair_B6_Outline	โครงร่างขนบนใบหน้า B 6
HairClip10_Color	กิ๊บติดผม 10
SideHair_Branch_B2_Color	ปอยผมด้านหลัง B 2
SideHair_Branch_B1_Color	ปอยผมด้านหลัง B 1
Bowl	ชาม
Pigtail_C1_Color	มัดผม 21
Pigtail_C1_Gradient	มัดผม 22
HairClip7_Outline	เส้นร่างกิ๊บติดผม 7
HairHighlight5_Color	ชิ้นส่วนผม >< 3 + 4
HairClip6_Outline	เส้นร่างกิ๊บติดผม 6
Bill1	แบงก์เงิน 1
LubricantSpray	สเปรย์
Ahoge_A1_Outline	เส้นร่างผม Ahoge 1
Gill1_Outline	เส้นร่างเหงือก 1 .1
FacialHair_B6_Color	ขนบนใบหน้า B 6 
Heart	สติกเกอร์หัวใจ
Popper	ป็อปเปอร์
Pencil	ดินสอ
Ahoge_A3_Color	ผม Ahoge 3
BeverageCup	ถ้วยเครื่องดื่ม
Mouth_Popcat2	Popcat | ปาก 2
HairClip9_Color	กิ๊บติดผม 9
AlertBits_Color	สติกเกอร์ Alert 6
Seven	หมายเลขเจ็ด
PhoneFront	โทรศัพท์มือถือ 1
Gill2_Outline	เส้นร่างเหงือก 1 .2
FrameHair_B2_Outline	เส้นร่างผมด้านข้าง 25 + 26
NeckwearB7_Outline	เส้นร่างเครื่องประดับคอ B 7
Angry1	สติกเกอร์โกรธ 1
Cup	ถ้วยน้ำ
Phone	โทรศัพท์มือถือ 2
Palmar_Outline	มือ 1 .14
FrameHair_B1_Outline	เส้นร่างผมด้านข้าง 23 + 24
WingD2_Lower_Color	ปีก 7 .2
HairClip11_Outline	เส้นร่างกิ๊บติดผม 11
RedPacket	อั่งเปา 1
HairClip12_Outline	เส้นร่างกิ๊บติดผม 12
Gill1_Color	เหงือก 1 .1
Eye1_Dark	ตา(สีเข้ม) 1 + 2
NeckwearB3_Outline	เส้นร่างเครื่องประดับคอ B 3
LightBulb	สติ๊กเกอร์หลอดไฟ
Mecha3_Color	ส่วนหุ่นยนต์ 3
Mecha6_Outline	เส้นร่างส่วนหุ่นยนต์ 6
Ahoge_A1_Color	ผม Ahoge 1
WingA1_Outline	เส้นร่างปีก 1
RedPacketCoin1	อั่งเปา 5
SweatBlue	สติกเกอร์เหงื่อตก (ใหญ่)
HornF1_Color	เขาด้านหน้า 1
Sparkle	แวววาว
Ahoge_A2_Outline	เส้นร่างผม Ahoge 
FaceFeatureC2	ลักษณะใบหน้า C 2
Glove1_Outline	ถุงมือ โครงร่าง
PalmGlove1_Color	มือ 2 .3
PalmGlove1_Outline	มือ 2 .4
FacialHair_B2_Outline	ขนบนใบหน้า B 2
Mecha6_Color	ส่วนหุ่นยนต์ 6
CapeFront1_Color	แหลมหน้า 1
HairClip4_Color	กิ๊บติดผม 4
NeckwearB1_Color	เครื่องประดับคอ B 2
Cheek1	แก้ม 1
Lubricant	น้ำมันหล่อลื่น
Ahoge_A4_Outline	เส้นร่างผม Ahoge 4
Angry3	สติกเกอร์โกรธ 3
Microphone	ไมโครโฟน
NeckwearB4_Outline	เส้นร่างเครื่องประดับคอ B 4
WingE1_Middle_Outline	เส้นร่างปีก 8 .2
FacialHair_B2_Color	ขนบนใบหน้า B 2
Collar4_Outline	เส้นร่างปกเสื้อ 4
TailF3_Outline	เส้นร่างหาง 17
Donut4	โดนัท 4
Laugh3	สติกเกอร์หัวเราะ 3
Tear1	น้ำตา 1
NeckwearA6_Outline	เส้นร่างเครื่องประดับคอ A 6
Confetti1	คอนเฟตตี้ 4
Eye_Dum_Pupil	ตาหน้าโง่
NeckwearB2_Outline	เส้นร่างเครื่องประดับคอ B 1 + 2
FrameHair_B4_Color	ผมด้านข้าง 29
FrameHair_B4_Gradient	ผมด้านข้าง 30
NeckwearB6_Outline	เส้นร่างเครื่องประดับคอ B 6
Eye_Popcat_Dark	หน้าโง่ 3 | ตา | Popcat 2
HairClip2_Outline	เส้นร่างกิ๊บติดผม 2
FrameHair_B2_Gradient	ผมด้านข้าง 26
Hand_Outline	มือ 1 .15
Glove1_Color	ถุงมือ
NeckwearA1_Outline	เส้นร่างเครื่องประดับคอ A 1
WingE1_Lower_Outline	เส้นร่างปีก 8 .3
Mouse	เม้าส์
Collar5_Color	ปกเสื้อด้านใน 5
Tie1_Outline	เส้นร่างเครื่องประดับคอ C 1
Eyebag	ถุงใต้ตา
WingG1_Outter_Outline	เส้นร่างปีก 10 .1
Laugh1	สติกเกอร์หัวเราะ 1
Popcorn	กิน (ป๊อปคอร์น) 2
NeckwearA5_Outline	เส้นร่างเครื่องประดับคอ A 5
BeverageLiquid	ของเหลวเครื่องดื่ม
Eye3_HighlightCry	ตา 3 | ร้องไห้ 
Eye3_Sparkling	ตา(ประกาย) 3
Confetti2	คอนเฟตตี้ 5
Eye3_Spiral	ตา(Spiral) 3
FacialHair_B1_Color	ขนบนใบหน้า B 1
PhoneScreenPattern2	หน้าจอโทรศัพท์  2
VolumeOn	สติกเกอร์ ระดับเสียง 3
FacialHair_B4_Outline	โครงร่างขนบนใบหน้า B 4
Collar5_Outline	เส้นร่างปกเสื้อ 5
WingEL_Lower_WeightTransfer	ปีก >> 15 .3
NeckwearB1_WeightTransfer	เครื่องประดับคอ B 8
FloatingL_WeightTransfer	ส่วนหุ่นยนต์ >> 7
HairBang_SideL_WeightTransfer	ผมหน้าม้า >> 13
FloatingR_WeightTransfer	ส่วนหุ่นยนต์ << 7
Glasses_WeightTransfer	แว่นตา 4
AhogeA_WeightTransfer	ผม Ahoge 7
BackHair_WeightTransfer	ผมด้านหลัง 7
AnimalEarBL_WeightTransfer	หูสัตว์  >> 11
EyepatchA_WeightTransfer	ผ้าปิดตา 7
TailD_WeightTransfer	หาง 22
HairBang_Middle_WeightTransfer	ผมหน้าม้า >< 15
Face_WeightTransfer	ลักษณะใบหน้า C 3
NeckwearB2_WeightTransfer	เครื่องประดับคอ B 9
EarringBR_WeightTransfer	ต่างหู << 12
EarringBL_WeightTransfer	ต่างหู >> 12
NeckwearC_WeightTransfer	เครื่องประดับคอ C 4
HatC_WeightTransfer	หมวก 11
TailFSoft_WeightTransfer	หาง 25
TailFHard_WeightTransfer	หาง 24
EarringAR_WeightTransfer	ต่างหู << 11
EarringAL_WeightTransfer	ต่างหู >> 11
HatA_WeightTransfer	หมวก 9
LegR_WeightTransfer	ขา << 2
LegL_WeightTransfer	ขา >> 2
HatD_WeightTransfer	หมวก 12
FrameHair_WeightTransfer	ผมด้านข้าง >< 
TailE_WeightTransfer	หาง 23
TailA_WeightTransfer	หาง 19
SideHairB_WeightTransfer	ผมด้านข้าง 34
SideHairA_WeightTransfer	ผมด้านข้าง 33
PonytailA_WeightTransfer	ผมหางม้า 15
WingER_Upper_WeightTransfer	ปีก << 15 .1
WingER_Middle_WeightTransfer	ปีก << 15 .2
OutfitOuter_WeightTransfer	ชุดด้านนอก 8
WingAL_WeightTransfer	ปีก >> 11
PalmarL_WeightTransfer	มือ >> 3 .5
HeadWingAL_WeightTransfer	หูปีก >> 4
BrowL_WeightTransfer	คิ้ว >> 10
BrowR_WeightTransfer	คิ้ว << 10
MustacheA_WeightTransfer	ขนบนใบหน้า B 7
TailC_WeightTransfer	หาง 21
FrameHair_BranchL_WeightTransfer	ปอยผม >> 4
HandL_Middle_WeightTransfer	มือ >> 3 .1
HandL_Thumb_WeightTransfer	มือ >> 3 .2
NeckwearA_WeightTransfer	เครื่องประดับคอ A 7
WingER_Lower_WeightTransfer	ปีก << 15 .3
WingEL_Upper_WeightTransfer	ปีก >> 15 .1
WingGL_Outter_WeightTransfer	ปีก >> 17 .1
WingCL_Upper_WeightTransfer	ปีก >> 13 .1
WingGR_Inner_WeightTransfer	ปีก << 17 .2
WingCR_Upper_WeightTransfer	ปีก << 13 .1
EarL_WeightTransfer	หู 2 >>
EarR_WeightTransfer	หู 2 <<
CapeBack_WeightTransfer	เคปแบ็ค 4
CapeFront_WeightTransfer	แหลมหน้า 7
WingEL_Middle_WeightTransfer	ปีก >> 15 .2
WingFR_Upper_WeightTransfer	ปีก << 16 .1
AntennaR_WeightTransfer	หนวดแมลง << 3
AnimalEarAR_WeightTransfer	หูสัตว์  << 10
WingDL_WeightTransfer	ปีก >> 14
AnimalEarCL_WeightTransfer	หูสัตว์  >> 12
WingGL_Inner_WeightTransfer	ปีก >> 17 .2
Halo_WeightTransfer	Halo 7
FinR_WeightTransfer	ครีบ << 2
HatB_WeightTransfer	หมวก 10
AnimalEarAL_WeightTransfer	หูสัตว์  >> 10
TailB_WeightTransfer	หาง 20
HandL_Little_WeightTransfer	มือ >> 3 .3
HandL_Index_WeightTransfer	มือ >> 3 .4
FinL_WeightTransfer	ครีบ >> 2
AntennaL_WeightTransfer	หนวดแมลง >> 3
PonytailAR_WeightTransfer	มัดผม << 25
OutfitInner_WeightTransfer	ชุดด้านใน 9
MustacheB_WeightTransfer	ขนบนใบหน้า B 8
PonytailB_WeightTransfer	ผมหางม้า 16
HairBandA_WeightTransfer	ที่คาดผม A 3
HairBang_SideR_WeightTransfer	ผมหน้าม้า << 13
EyepatchB_WeightTransfer	ผ้าปิดตา 8
WingFL_Lower_WeightTransfer	ปีก >> 16 .2
WingBL_WeightTransfer	ปีก >> 12
PonytailCL_WeightTransfer	มัดผม >> 26
HairbandB_WeightTransfer	ที่คาดผม B 5
BeardA_WeightTransfer	ขนบนใบหน้า A 9
PonytailAL_WeightTransfer	มัดผม >> 25
AnimalEarBR_WeightTransfer	หูสัตว์  << 11
EyelashR_WeightTransfer	ตา 4 | ขนตา <<
GillR_WeightTransfer	เหงือก << 2
PiercingAL_WeightTransfer	เจาะเอ A >> 6
PiercingAR_WeightTransfer	เจาะเอ A << 6
WingFR_Lower_WeightTransfer	ปีก << 16 .2
WingFL_Upper_WeightTransfer	ปีก >> 16 .1
HairBandC_WeightTransfer	ที่คาดผม D 3
HornL_WeightTransfer	เขา >> 8
HornR_WeightTransfer	เขา << 8
EyelashL_WeightTransfer	ตา 4 | ขนตา >>
GillL_WeightTransfer	เหงือก >> 2
HornFrontL_WeightTransfer	เขาด้านหน้า >> 3
HornFrontR_WeightTransfer	เขาด้านหน้า << 3
WingDR_WeightTransfer	ปีก << 14
FrameHair_BranchR_WeightTransfer	ปอยผม << 4
HeadWingAR_WeightTransfer	หูปีก << 4
HornFrontM_WeightTransfer	เขาด้านหน้า >< 2
WingGR_Outter_WeightTransfer	ปีก << 17 .1
EyeDollarR_WeightTransfer	ตา(ดอลลาร์) << 4 + 5
EyeHeartL_WeightTransfer	ตา(หัวใจ) >> 4 + 5
EyeHeartR_WeightTransfer	ตา(หัวใจ) << 4 + 5
EyeHighlightCryL_WeightTransfer	ตา 4 + 5 >> | ร้องไห้ 
EyeHighlightCryR_WeightTransfer	ตา 4 + 5 << | ร้องไห้ 
EyeL_WeightTransfer	ตา >> 4 + 5
EyeR_WeightTransfer	ตา << 4 + 5
EyeSparklingL_WeightTransfer	ตา(ประกาย) >> 4 + 5
EyeSparklingR_WeightTransfer	ตา(ประกาย) << 4 + 5
EyeSpiralL_WeightTransfer	ตา(Spiral) >> 4 + 5
EyeSpiralR_WeightTransfer	ตา(Spiral) << 4 + 5
AnimalEarCR_WeightTransfer	หูสัตว์  << 12
WingAR_WeightTransfer	ปีก << 11
PonytailCR_WeightTransfer	มัดผม << 26
PiercingBL_WeightTransfer	เจาะเอ B >> 6
PiercingBR_WeightTransfer	เจาะเอ B << 6
HandL_WeightTransfer	มือ >> 3
HandR_Index_WeightTransfer	มือ << 3 .4
HandR_Little_WeightTransfer	มือ << 3 .3
HandR_Middle_WeightTransfer	มือ << 3 .1
HandR_Thumb_WeightTransfer	มือ << 3 .2
HandR_WeightTransfer	มือ << 3
PalmarR_WeightTransfer	มือ << 3 .5
WingCL_Lower_WeightTransfer	ปีก >> 13
WingCR_Lower_WeightTransfer	ปีก << 13
WingBR_WeightTransfer	ปีก << 12
EyeDollarL_WeightTransfer	ตา(ดอลลาร์) >> 4 + 5
ClownWig	ตัวตลก 1
FireA1	ไฟ
ElectricFan	พัดลมไฟฟ้า
Cheese	ชีส
ElectricFanBlades	ใบพัดลมไฟฟ้า
Guitar_Outline	โครงร่างกีตาร์
Guitar_Color1	สีกีตาร์ 1
PaperFanSticks	พัดลมพับ 2
PaperFanLeaf	พัดลมพับ 1
Stool	สตูล
Slipper	รองเท้าแตะ
Guitar_Color2	สีกีตาร์ 2
WinkStar	วิงค์สตาร์
ClownNose	ตัวตลก 2
Guitar_Color3	สีกีตาร์ 3
SideHairA7_Color	ผมด้านข้าง 13
PonytailA3_Gradient	ผมหางม้า 6
SideHairA2_Gradient	ผมด้านข้าง 4
SideHairB5_Color	ผมด้านข้าง 25
SideHairB3_Gradient	ผมด้านข้าง 22
PonytailA2_Outline	โครงร่างผมหางม้า 3 + 4
PonytailB2_Outline	โครงร่างผมหางม้า 13 + 14
PonytailB2_Color	ผมหางม้า 13
Outer7_Outline	เส้นร่างชุดด้านนอก 7
Outer1_Outline	เส้นร่างชุดด้านนอก 1
Hand_Color	มือ 1
LaptopLight3	แสงแล็ปท็อป 3
Finger	ถู 1
Scissor	ตัด (กรรไกร)
BoopHand	บู๊
Trophy	ถ้วยรางวัล 1
ProgressBar	คอนเทนเนอร์แถบความคืบหน้า
Progress	เติมแถบความคืบหน้า
