SpriteName	Fr
Bottle	Coca-Shake
Outer6_Color	Tenue Extérieure 6
Laugh2	Rire 2
FrameHair_B1_Gradient	Mèche Visage Côté 24
Outer5_Outline	Contour Tenue Extérieure 5
FrameHair_Top_Outline	Contour Mèche Visage Côté top
WingG1_Inner_Color	Aile 10 .2
HairBang5_Middle_Outline	Contour Frange >< 9 + 10
Beer	Acclamations
HairBang4_Middle_Color	Frange Côté >< 7
TailE1_Outline	Contour Queue 12
TailC2_Color	Queue 9
HornF2_Outline	Contour Corne 9
HairBang2_Middle_Outline	Contour Frange >< 3 + 4
Ahoge_B2_Outline	Contour Ahoge 6
Bell	Cloche 2
FrameHair_Branch_A3_Outline	Contour Épi 3
FrameHair_A3_Color	Mèche Visage Côté 5
FrameHair_A3_Gradient	Mèche Visage Côté 6
Horn2_Outline	Contour Corne 2
Outer6_Outline	Contour Tenue Extérieure 6
WingD2_Upper_Color	Aile 7 .1
Antenna2_Outline	Contour Antenne 2
TailB5_Outline	Contour Queue 7
HairBang5_Middle_Gradient	Frange Côté >< 10
HairBang1_Middle_Color	Frange Côté >< 1
QuestionMark	Point d'Interrogation
Horn3_Color	Corne 3
SignSquareText1	Texte Panneau Carré
Antenna1_Color	Antenne 1
FrameHair_A2_Gradient	Mèche Visage Côté 4
HairHighlight1_Outline	Contour Mèches Individuelle 1 << + 1 >>
TailD1_Color	Queue 11
HairBang6_Middle_Outline	Contour Frange >< 11 + 12
HairBang7_Middle_Gradient	Frange Côté >< 14
HairBang6_Middle_Color	Frange Côté >< 11
HairBang6_Middle_Gradient	Frange Côté >< 12
CapeFront4_Outline	Cape Avant | Contour Cape 4
FrameHair_A2_Color	Mèche Visage Côté 3
FacialHair_A1_Outline	Contour Barbe 1
HairBang1_Middle_Gradient	Frange Côté >< 2
HornM1_Color	Corne avant >< 1
TailB4_Color	Queue 6
TailB2_Color	Queue 4
Pigtail_B2_Color	Couettes 19
Fin1_Color	Nageoires 1
TailB3_Outline	Contour Queue 5
Halo1_Color	Halo 1
TailB2_Outline	Contour Queue 4
FrameHair_A3_Outline	Contour Mèche Visage Côté 5 + 6
FrameHair_B1_Color	Mèche Visage Côté 23
HairClip7_Color	Pince à Cheveux 7
FacialHair_A6_Color	Barbe 6
FacialHair_A3_Outline	Barbe 3
Halo1_Outline	Contour du Halo 1
Hairband7_Color	Bandeau C 1
Keyboard	Taper Normal 3
FrameHair_A6_Outline	Contour Mèche Visage Côté 11 + 12
VolumeOff	Volume 2
PalmarGlove1_Color	Main 2 .2
FacialHair_A6_Outline	Contour Barbe 6
TailB1_Outline	Contour Queue 3
Pigtail_A1_Gradient	Couettes 2
FrameHair_A4_Gradient	Mèche Visage Côté 8
KitchenKnife	Couteau de Cuisine
Halo2_Color	Halo 2
FrameHair_A6_Gradient	Mèche Visage Côté 12
HairShine5_Color	Lumière Cheveux 9 + 10
FrameHair_B2_Color	Mèche Visage Côté 25
FacialHair_B1_Outline	Contour Moustache 1
Main3_Outline	Contour Tenue Intérieure 3
Main4_Outline	Contour Tenue Intérieure 4
Main7_Outline	Contour Tenue Intérieure 7
HatA2_Color	Chapeau 2
Pigtail_C2_Outline	Contour Couettes 23 + 24
Main1_Color	Tenue Intérieure 1
Eyepatch2_Outline	Contour du cache-œil 3 + 4
SideHair_Branch_C2_Color	Épi Cheveux Côté C 2
HairHighlight6_Outline	Contour Mèches Individuelle >< 5 + 6
SideHair_Branch_C1_Color	Épi Cheveux Côté C 1
Eyepatch1_Outline	Contour du cache-œil 1 + 2
AlertCoin_Outline	Contour Alerte (Coeur, Pouce etc...) 3
Eye_Dum_Outline	Contour de l'Œil (Teuteu) 1 + 2
FrameHair_Branch_A2_Outline	Contour Épi 2
Main5_Color	Tenue Intérieure 5
Pompom	Pompon
HairClip10_Outline	Contour Pince à Cheveux 10
WaveHand	Main Coucou
HeartItem	Cœur
FrameHair_Branch_A2_Color	Épi 2
FrameHair_Branch_A1_Outline	Contour Épi 1
Eye_Dum_Color	Blanc de l'Œil
AlertCoin_Color	Alerte (Coeur, Pouce etc...) 3
Button	Bouton
SideHair_Branch_B2_Outline	Épi Cheveux Côté B Contour 2
Face_Shadow	Ombre du Visage
AlertStar_Outline	Contour Alerte (Coeur, Pouce etc...) 5
Pigtail_C1_Outline	Contour Couettes 21 + 22
AlertHeart_Outline	Contour Alerte (Coeur, Pouce etc...) 1
AlertLike_Color	Alerte (Coeur, Pouce etc...) 4
AlertStar_Color	Alerte (Coeur, Pouce etc...) 5
Sleep	Sommeil
Square	Porte/Mur | Grille de Prison | Couverture Exterieur
SideHair_Branch_A2_Color	Épi Cheveux Côté A 2
Beverage	Tasse 3
HairClip8_Outline	Contour Pince à Cheveux 8
HairClip9_Outline	Contour Pince à Cheveux 9
GiftBox	Cadeau 1
Mecha5_Outline	Contour Mecha 5
WingC1_Lower_Color	Aile 5 .2
Gill3_Color	Branchies 1 .3
FacialHair_B6_Outline	Contour Moustache 6
HairClip10_Color	Pince à Cheveux 10
SideHair_Branch_B2_Color	Épi Cheveux Côté B 2
SideHair_Branch_B1_Color	Épi Cheveux Côté B 1
Bowl	Bol
Pigtail_C1_Color	Couettes 21
Pigtail_C1_Gradient	Couettes 22
HairClip7_Outline	Contour Pince à Cheveux 7
HairHighlight5_Color	Mèches Individuelle >< 3 + 4
HairClip6_Outline	Contour Pince à Cheveux 6
Bill1	Facture 1
LubricantSpray	Pulvérisateur
Ahoge_A1_Outline	Contour Ahoge 1
Gill1_Outline	Contour Branchies 1 .1
FacialHair_B6_Color	Moustache 6 
Heart	Coeur
Popper	Bouton
Pencil	Crayon
Ahoge_A3_Color	Ahoge 3
BeverageCup	Tasse
Mouth_Popcat2	Popcat | Bouche 2
HairClip9_Color	Pince à Cheveux 9
AlertBits_Color	Alerte (Coeur, Pouce etc...) 6
Seven	Numéro Sept
PhoneFront	Téléphone 1
Gill2_Outline	Contour Branchies 1 .2
FrameHair_B2_Outline	Contour Mèche Visage Côté 25 + 26
NeckwearB7_Outline	Contour Cravate B 7
Angry1	Colère 1
Cup	Gobelet
Phone	Téléphone 2
Palmar_Outline	Main 1 .14
FrameHair_B1_Outline	Contour Mèche Visage Côté 23 + 24
WingD2_Lower_Color	Aile 7 .2
HairClip11_Outline	Contour Pince à Cheveux 11
RedPacket	Enveloppe Rouge 1
HairClip12_Outline	Contour Pince à Cheveux 12
Gill1_Color	Branchies 1 .1
Eye1_Dark	Œil Foncé 1 + 2
NeckwearB3_Outline	Contour Cravate B 3
LightBulb	Ampoule
Mecha3_Color	Mecha 3
Mecha6_Outline	Contour Mecha 6
Ahoge_A1_Color	Ahoge 1
WingA1_Outline	Contour Aile 1
RedPacketCoin1	Enveloppe Rouge 5
SweatBlue	Sueur Grande
HornF1_Color	Corne avant 1
Sparkle	Lumière Lunettes de Soleil
Ahoge_A2_Outline	Contour Ahoge 
FaceFeatureC2	Caractéristique Faciale C 2
Glove1_Outline	Contour Gant Aperçu
PalmGlove1_Color	Main 2 .3
PalmGlove1_Outline	Main 2 .4
FacialHair_B2_Outline	Moustache 2
Mecha6_Color	Mecha 6
CapeFront1_Color	Cape Avant 1
HairClip4_Color	Pince à Cheveux 4
NeckwearB1_Color	Cravate B 2
Cheek1	Joues 1
Lubricant	Dégrippant
Ahoge_A4_Outline	Contour Ahoge 4
Angry3	Colère 3
Microphone	Micro
NeckwearB4_Outline	Contour Cravate B 4
WingE1_Middle_Outline	Contour Aile 8 .2
FacialHair_B2_Color	Moustache 2
Collar4_Outline	Contour Tenue Col 4
TailF3_Outline	Contour Queue 17
Donut4	Donut 4
Laugh3	Rire 3
Tear1	Larmes 1
NeckwearA6_Outline	Contour Cravate A 6
Confetti1	Confetti 4
Eye_Dum_Pupil	Oeil (Teuteu) Pupille
NeckwearB2_Outline	Contour Cravate B 1 + 2
FrameHair_B4_Color	Mèche Visage Côté 29
FrameHair_B4_Gradient	Mèche Visage Côté 30
NeckwearB6_Outline	Contour Cravate B 6
Eye_Popcat_Dark	Teuteu 3 | Œil | Popcat 2
HairClip2_Outline	Contour Pince à Cheveux 2
FrameHair_B2_Gradient	Mèche Visage Côté 26
Hand_Outline	Main 1 .15
Glove1_Color	Gant
NeckwearA1_Outline	Contour Cravate A 1
WingE1_Lower_Outline	Contour Aile 8 .3
Mouse	Souris
Collar5_Color	Tenue Col Intérieur 5
Tie1_Outline	Contour Cravate C 1
Eyebag	Cernes
WingG1_Outter_Outline	Contour Aile 10 .1
Laugh1	Rire 1
Popcorn	Manger (Pop-Corn) 2
NeckwearA5_Outline	Contour Cravate A 5
BeverageLiquid	Boisson Liquide
Eye3_HighlightCry	Œil 3 | Pleurer
Eye3_Sparkling	Yeux en Étoiles 3
Confetti2	Confetti 5
Eye3_Spiral	Yeux en Spirales 3
FacialHair_B1_Color	Moustache 1
PhoneScreenPattern2	Écran de Téléphone 2
VolumeOn	Volume 3
FacialHair_B4_Outline	Contour Moustache 4
Collar5_Outline	Contour Tenue Col 5
WingEL_Lower_WeightTransfer	Aile >> 15 .3
NeckwearB1_WeightTransfer	Cravate B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	Frange Côté >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Lunettes 4
AhogeA_WeightTransfer	Ahoge 7
BackHair_WeightTransfer	Cheveux Arrières 7
AnimalEarBL_WeightTransfer	Oreille d'Animal >> 11
EyepatchA_WeightTransfer	Cache-œil 7
TailD_WeightTransfer	Queue 22
HairBang_Middle_WeightTransfer	Frange Côté >< 15
Face_WeightTransfer	Caractéristique Faciale C 3
NeckwearB2_WeightTransfer	Cravate B 9
EarringBR_WeightTransfer	Boucle d'Oreille << 12
EarringBL_WeightTransfer	Boucle d'Oreille >> 12
NeckwearC_WeightTransfer	Cravate C 4
HatC_WeightTransfer	Chapeau 11
TailFSoft_WeightTransfer	Queue 25
TailFHard_WeightTransfer	Queue 24
EarringAR_WeightTransfer	Boucle d'Oreille << 11
EarringAL_WeightTransfer	Boucle d'Oreille >> 11
HatA_WeightTransfer	Chapeau 9
LegR_WeightTransfer	Jambe << 2
LegL_WeightTransfer	Jambe >> 2
HatD_WeightTransfer	Chapeau 12
FrameHair_WeightTransfer	Mèche Visage Côté >< 
TailE_WeightTransfer	Queue 23
TailA_WeightTransfer	Queue 19
SideHairB_WeightTransfer	Cheveux Côtés 34
SideHairA_WeightTransfer	Cheveux Côtés 33
PonytailA_WeightTransfer	Queue de cheval 15
WingER_Upper_WeightTransfer	Aile << 15 .1
WingER_Middle_WeightTransfer	Aile << 15 .2
OutfitOuter_WeightTransfer	Tenue Extérieure 8
WingAL_WeightTransfer	Aile >> 11
PalmarL_WeightTransfer	Main >> 3 .5
HeadWingAL_WeightTransfer	Aile d'Oreille >> 4
BrowL_WeightTransfer	Sourcil >> 10
BrowR_WeightTransfer	Sourcil << 10
MustacheA_WeightTransfer	Moustache 7
TailC_WeightTransfer	Queue 21
FrameHair_BranchL_WeightTransfer	Épi >> 4
HandL_Middle_WeightTransfer	Main >> 3 .1
HandL_Thumb_WeightTransfer	Main >> 3 .2
NeckwearA_WeightTransfer	Cravate A 7
WingER_Lower_WeightTransfer	Aile << 15 .3
WingEL_Upper_WeightTransfer	Aile >> 15 .1
WingGL_Outter_WeightTransfer	Aile >> 17 .1
WingCL_Upper_WeightTransfer	Aile >> 13 .1
WingGR_Inner_WeightTransfer	Aile << 17 .2
WingCR_Upper_WeightTransfer	Aile << 13 .1
EarL_WeightTransfer	Oreilles 2 >>
EarR_WeightTransfer	Oreilles 2 <<
CapeBack_WeightTransfer	Cape Arrière 4
CapeFront_WeightTransfer	Cape Avant 7
WingEL_Middle_WeightTransfer	Aile >> 15 .2
WingFR_Upper_WeightTransfer	Aile << 16 .1
AntennaR_WeightTransfer	Antenne << 3
AnimalEarAR_WeightTransfer	Oreille d'Animal << 10
WingDL_WeightTransfer	Aile >> 14
AnimalEarCL_WeightTransfer	Oreille d'Animal >> 12
WingGL_Inner_WeightTransfer	Aile >> 17 .2
Halo_WeightTransfer	Halo 7
FinR_WeightTransfer	Nageoires << 2
HatB_WeightTransfer	Chapeau 10
AnimalEarAL_WeightTransfer	Oreille d'Animal >> 10
TailB_WeightTransfer	Queue 20
HandL_Little_WeightTransfer	Main >> 3 .3
HandL_Index_WeightTransfer	Main >> 3 .4
FinL_WeightTransfer	Nageoires >> 2
AntennaL_WeightTransfer	Antenne >> 3
PonytailAR_WeightTransfer	Couettes << 25
OutfitInner_WeightTransfer	Tenue Intérieure 9
MustacheB_WeightTransfer	Moustache 8
PonytailB_WeightTransfer	Queue de cheval 16
HairBandA_WeightTransfer	Bandeau A 3
HairBang_SideR_WeightTransfer	Frange Côté << 13
EyepatchB_WeightTransfer	Cache-œil 8
WingFL_Lower_WeightTransfer	Aile >> 16 .2
WingBL_WeightTransfer	Aile >> 12
PonytailCL_WeightTransfer	Couettes >> 26
HairbandB_WeightTransfer	Bandeau B 5
BeardA_WeightTransfer	Barbe 9
PonytailAL_WeightTransfer	Couettes >> 25
AnimalEarBR_WeightTransfer	Oreille d'Animal << 11
EyelashR_WeightTransfer	Œil 4 | Cils <<
GillR_WeightTransfer	Branchies << 2
PiercingAL_WeightTransfer	Piercing A >> 6
PiercingAR_WeightTransfer	Piercing A << 6
WingFR_Lower_WeightTransfer	Aile << 16 .2
WingFL_Upper_WeightTransfer	Aile >> 16 .1
HairBandC_WeightTransfer	Bandeau D 3
HornL_WeightTransfer	Corne >> 8
HornR_WeightTransfer	Corne << 8
EyelashL_WeightTransfer	Œil 4 | Cils >>
GillL_WeightTransfer	Branchies >> 2
HornFrontL_WeightTransfer	Corne avant >> 3
HornFrontR_WeightTransfer	Corne avant << 3
WingDR_WeightTransfer	Aile << 14
FrameHair_BranchR_WeightTransfer	Épi << 4
HeadWingAR_WeightTransfer	Aile d'Oreille << 4
HornFrontM_WeightTransfer	Corne avant >< 2
WingGR_Outter_WeightTransfer	Aile << 17 .1
EyeDollarR_WeightTransfer	Yeux Dollars << 4 + 5
EyeHeartL_WeightTransfer	Yeux Coeurs >> 4 + 5
EyeHeartR_WeightTransfer	Yeux Coeurs << 4 + 5
EyeHighlightCryL_WeightTransfer	Œil 4 + 5 >> | Pleurer
EyeHighlightCryR_WeightTransfer	Œil 4 + 5 << | Pleurer
EyeL_WeightTransfer	Œil >> 4 + 5
EyeR_WeightTransfer	Œil << 4 + 5
EyeSparklingL_WeightTransfer	Yeux en Étoiles >> 4 + 5
EyeSparklingR_WeightTransfer	Yeux en Étoiles << 4 + 5
EyeSpiralL_WeightTransfer	Yeux en Spirales >> 4 + 5
EyeSpiralR_WeightTransfer	Yeux en Spirales << 4 + 5
AnimalEarCR_WeightTransfer	Oreille d'Animal << 12
WingAR_WeightTransfer	Aile << 11
PonytailCR_WeightTransfer	Couettes << 26
PiercingBL_WeightTransfer	Piercing B >> 6
PiercingBR_WeightTransfer	Piercing B << 6
HandL_WeightTransfer	Main >> 3
HandR_Index_WeightTransfer	Main << 3 .4
HandR_Little_WeightTransfer	Main << 3 .3
HandR_Middle_WeightTransfer	Main << 3 .1
HandR_Thumb_WeightTransfer	Main << 3 .2
HandR_WeightTransfer	Main << 3
PalmarR_WeightTransfer	Main << 3 .5
WingCL_Lower_WeightTransfer	Aile >> 13
WingCR_Lower_WeightTransfer	Aile << 13
WingBR_WeightTransfer	Aile << 12
EyeDollarL_WeightTransfer	Yeux Dollars >> 4 + 5
ClownWig	Clown 1
FireA1	Feu
ElectricFan	Ventilateur électrique
Cheese	Fromage
ElectricFanBlades	Pales de ventilateur électrique
Guitar_Outline	Aperçu de la guitare
Guitar_Color1	Couleur de guitare 1
PaperFanSticks	Ventilateur pliant 2
PaperFanLeaf	Éventail pliant 1
Stool	Tabouret
Slipper	Pantoufle
Guitar_Color2	Couleur de guitare 2
WinkStar	Clin d'œil étoile
ClownNose	Clown 2
Guitar_Color3	Couleur de guitare 3
SideHairA7_Color	Cheveux Côtés 13
PonytailA3_Gradient	Queue de cheval 6
SideHairA2_Gradient	Cheveux Côtés 4
SideHairB5_Color	Cheveux Côtés 25
SideHairB3_Gradient	Cheveux Côtés 22
PonytailA2_Outline	Aperçu de la queue de cheval 3 + 4
PonytailB2_Outline	Aperçu de la queue de cheval 13 + 14
PonytailB2_Color	Queue de cheval 13
Outer7_Outline	Contour Tenue Extérieure 7
Outer1_Outline	Contour Tenue Extérieure 1
Hand_Color	Main 1
LaptopLight3	Lumière Ordinateur Portable 3
Finger	Frotter 1
Scissor	Couper (ciseaux)
BoopHand	Bouh
Trophy	Trophée 1
ProgressBar	Conteneur de barre de progression
Progress	Remplissage de la barre de progression
