SpriteName	Pt-Br
Collar2_Outline	Contorno da Gola 2
MusicalNote2	Nota Musical 2
FacialHair_B4_Color	Pêlos faciais B 4
Mecha2_Color	Mecha 2
Six	Número seis
PointHand	Mão Apontando
HairClip8_Color	Grampo de Cabelo 8
FaceFeatureB1	Característica facial B 1
Pigtail_B2_Gradient	Rabo de Cavalo 20
Main8_Color	Roupa Interior 8
Tear2_Color	Lágrima do Olho 2
Eye3_Dark	Olho Iris Escura 3
Outer4_Outline	Contorno da Roupa Exterior 4
Glasses_Lens1	Óculos Lens 1
WingA3_Outline	Asa Contorno 3
Ahoge_B2_Color	Cabelo Ahoge 6
CapeFront1_Outline	Frente do Cabo | Contorno do Cabo 1
Cake	Bolo
WingD1_Color	Asa 6
Pigtail_B1_Gradient	Rabo de Cavalo 18
Outer7_Color	Roupa Exterior 7
Ahoge_B1_Outline	Contorno Cabelo de Ahoge 5
HornM1_Outline	Chifre Frontal >< Contorno 1
HornF2_Color	Chifre Frontal 2
CapeFront4_Color	Frente do Cabo 4
FrameHair_Branch_A3_Color	Mechas Laterais 3
Main2_Outline	Contorno da Roupa Interior 2
Wing1_Outline	Asa Orelha Contorno 1
WingD2_Upper_Outline	Asa Contorno 7 .1
Mecha4_Color	Mecha 4
Horn1_Outline	Chifre Contorno 1
WingA2_Color	Asa 2
EasterEggBasket	Páscoa 4
Mecha4_Outline	Mecha Contorno 4
Antenna2_Color	Antena 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Contorno Cabelo de Ahoge 3
Main1_Outline	Contorno da Roupa Interior 1
Horn2_Color	Chifre 2
HairBang4_Middle_Gradient	Franja do Cabelo >< 8
CapeFront3_Color	Frente do Cabo 3
Notepad	Bloco de Notas
Outer5_Color	Roupa Exterior 5
WingA3_Color	Asa 3
WingB1_Color	Asa 4
Pistol	Pistola
Horn7_Color	Chifre 7
Bottle	Coke Shake (Coca-Cola agitada)
Outer6_Color	Roupa Exterior 6
Laugh2	Figurinha Rindo 2
FrameHair_B1_Gradient	Emolduração do Cabelo 24
Outer5_Outline	Contorno da Roupa Exterior 5
FrameHair_Top_Outline	Emolduração do Cabelo top Contorno
WingG1_Inner_Color	Asa 10 .2
HairBang5_Middle_Outline	Franja do Cabelo >< Contorno 9 + 10
Beer	Saúde
HairBang4_Middle_Color	Franja do Cabelo >< 7
TailE1_Outline	Contorno do Rabo 12
TailC2_Color	Rabo 9
HornF2_Outline	Chifre Contorno 9
HairBang2_Middle_Outline	Franja do Cabelo >< Contorno 3 + 4
Ahoge_B2_Outline	Contorno Cabelo de Ahoge 6
Bell	Sino 2
FrameHair_Branch_A3_Outline	Mechas Laterais Contorno 3
FrameHair_A3_Color	Emolduração do Cabelo 5
FrameHair_A3_Gradient	Emolduração do Cabelo 6
Horn2_Outline	Chifre Contorno 2
Outer6_Outline	Contorno da Roupa Exterior 6
WingD2_Upper_Color	Asa 7 .1
Antenna2_Outline	Antena Contorno 2
TailB5_Outline	Contorno do Rabo 7
HairBang5_Middle_Gradient	Franja do Cabelo >< 10
HairBang1_Middle_Color	Franja do Cabelo >< 1
QuestionMark	Figurinha Ponto de Interrogação
Horn3_Color	Chifre 3
SignSquareText1	Texto do Sinal Quadrado
Antenna1_Color	Antena 1
FrameHair_A2_Gradient	Emolduração do Cabelo 4
HairHighlight1_Outline	Mechas do Cabelo Contorno 1 << + 1 >>
TailD1_Color	Rabo 11
HairBang6_Middle_Outline	Franja do Cabelo >< Contorno 11 + 12
HairBang7_Middle_Gradient	Franja do Cabelo >< 14
HairBang6_Middle_Color	Franja do Cabelo >< 11
HairBang6_Middle_Gradient	Franja do Cabelo >< 12
CapeFront4_Outline	Frente do Cabo | Contorno do Cabo 4
FrameHair_A2_Color	Emolduração do Cabelo 3
FacialHair_A1_Outline	Contorno A dos pêlos faciais 1
HairBang1_Middle_Gradient	Franja do Cabelo >< 2
HornM1_Color	Chifre Frontal >< 1
TailB4_Color	Rabo 6
TailB2_Color	Rabo 4
Pigtail_B2_Color	Rabo de Cavalo 19
Fin1_Color	Barbatana 1
TailB3_Outline	Contorno do Rabo 5
Halo1_Color	Auréola 1
TailB2_Outline	Contorno do Rabo 4
FrameHair_A3_Outline	Emolduração do Cabelo Contorno 5 + 6
FrameHair_B1_Color	Emolduração do Cabelo 23
HairClip7_Color	Grampo de Cabelo 7
FacialHair_A6_Color	Pêlos faciais A 6
FacialHair_A3_Outline	Pêlos faciais A 3
Halo1_Outline	Contorno da Auréola 1
Hairband7_Color	Faixa de Cabelo C 1
Keyboard	Escrevendo Normal 3
FrameHair_A6_Outline	Emolduração do Cabelo Contorno 11 + 12
VolumeOff	Figurinha Volume 2
PalmarGlove1_Color	Mão 2 .2
FacialHair_A6_Outline	Contorno A dos pêlos faciais 6
TailB1_Outline	Contorno do Rabo 3
Pigtail_A1_Gradient	Rabo de Cavalo 2
FrameHair_A4_Gradient	Emolduração do Cabelo 8
KitchenKnife	Faca de Cozinha
Halo2_Color	Auréola 2
FrameHair_A6_Gradient	Emolduração do Cabelo 12
HairShine5_Color	Cabelo Brilhante 9 + 10
FrameHair_B2_Color	Emolduração do Cabelo 25
FacialHair_B1_Outline	Contorno B dos pêlos faciais 1
Main3_Outline	Contorno da Roupa Interior 3
Main4_Outline	Contorno da Roupa Interior 4
Main7_Outline	Contorno da Roupa Interior 7
HatA2_Color	Chapéu 2
Pigtail_C2_Outline	Rabo de Cavalo Contorno 23 + 24
Main1_Color	Roupa Interior 1
Eyepatch2_Outline	Contorno do tapa-olho 3 + 4
SideHair_Branch_C2_Color	Mechas Laterais do Cabelo C 2
HairHighlight6_Outline	Mechas do Cabelo >< Contorno 5 + 6
SideHair_Branch_C1_Color	Mechas Laterais do Cabelo C 1
Eyepatch1_Outline	Contorno do tapa-olho 1 + 2
AlertCoin_Outline	Contorno do Alerta de Figurinha 3
Eye_Dum_Outline	Olho(Bobo) Contorno 1 + 2
FrameHair_Branch_A2_Outline	Mechas Laterais Contorno 2
Main5_Color	Roupa Interior 5
Pompom	Pompom
HairClip10_Outline	Grampo de Cabelo Contorno 10
WaveHand	Acenar Mão
HeartItem	Coração
FrameHair_Branch_A2_Color	Mechas Laterais 2
FrameHair_Branch_A1_Outline	Mechas Laterais Contorno 1
Eye_Dum_Color	Branco do Olho
AlertCoin_Color	Alerta de Figurinha 3
Button	Botão
SideHair_Branch_B2_Outline	Mechas Laterais do Cabelo B Contorno 2
Face_Shadow	Sombreamento do Rosto
AlertStar_Outline	Contorno do Alerta de Figurinha 5
Pigtail_C1_Outline	Rabo de Cavalo Contorno 21 + 22
AlertHeart_Outline	Contorno do Alerta de Figurinha 1
AlertLike_Color	Alerta de Figurinha 4
AlertStar_Color	Alerta de Figurinha 5
Sleep	Figurinha Dormindo
Square	Porta/Parede | Grade da Prisão | Cobertor Exterior
SideHair_Branch_A2_Color	Mechas Laterais do Cabelo A 2
Beverage	Copo de Bebida 3
HairClip8_Outline	Grampo de Cabelo Contorno 8
HairClip9_Outline	Grampo de Cabelo Contorno 9
GiftBox	Presente 1
Mecha5_Outline	Mecha Contorno 5
WingC1_Lower_Color	Asa 5 .2
Gill3_Color	Brânquia 1 .3
FacialHair_B6_Outline	Contorno B dos pêlos faciais 6
HairClip10_Color	Grampo de Cabelo 10
SideHair_Branch_B2_Color	Mechas Laterais do Cabelo B 2
SideHair_Branch_B1_Color	Mechas Laterais do Cabelo B 1
Bowl	Tigela
Pigtail_C1_Color	Rabo de Cavalo 21
Pigtail_C1_Gradient	Rabo de Cavalo 22
HairClip7_Outline	Grampo de Cabelo Contorno 7
HairHighlight5_Color	Mechas do Cabelo >< 3 + 4
HairClip6_Outline	Grampo de Cabelo Contorno 6
Bill1	Conta 1
LubricantSpray	Pulverizar
Ahoge_A1_Outline	Contorno Cabelo de Ahoge 1
Gill1_Outline	Contorno da Brânquia 1 .1
FacialHair_B6_Color	Pêlos faciais B 6 
Heart	Figurinha Coração
Popper	Popper
Pencil	Lápis
Ahoge_A3_Color	Cabelo Ahoge 3
BeverageCup	Copo de Bebida
Mouth_Popcat2	Popcat | Boca 2
HairClip9_Color	Grampo de Cabelo 9
AlertBits_Color	Alerta de Figurinha 6
Seven	Número Sete
PhoneFront	Telefone 1
Gill2_Outline	Contorno da Brânquia 1 .2
FrameHair_B2_Outline	Emolduração do Cabelo Contorno 25 + 26
NeckwearB7_Outline	Acessório de Pescoço B Contorno 7
Angry1	Figurinha Raiva 1
Cup	Copo
Phone	Telefone 2
Palmar_Outline	Mão 1 .14
FrameHair_B1_Outline	Emolduração do Cabelo Contorno 23 + 24
WingD2_Lower_Color	Asa 7 .2
HairClip11_Outline	Grampo de Cabelo Contorno 11
RedPacket	Pacote Vermelho 1
HairClip12_Outline	Grampo de Cabelo Contorno 12
Gill1_Color	Brânquia 1 .1
Eye1_Dark	Olho Iris Escura 1 + 2
NeckwearB3_Outline	Acessório de Pescoço B Contorno 3
LightBulb	Lâmpada adesiva
Mecha3_Color	Mecha 3
Mecha6_Outline	Mecha Contorno 6
Ahoge_A1_Color	Cabelo Ahoge 1
WingA1_Outline	Asa Contorno 1
RedPacketCoin1	Pacote Vermelho 5
SweatBlue	Figurinha Soando Grande
HornF1_Color	Chifre Frontal 1
Sparkle	Brilho
Ahoge_A2_Outline	Contorno Cabelo de Ahoge 
FaceFeatureC2	Característica facial C 2
Glove1_Outline	Luva Contorno
PalmGlove1_Color	Mão 2 .3
PalmGlove1_Outline	Mão 2 .4
FacialHair_B2_Outline	Pêlos faciais B 2
Mecha6_Color	Mecha 6
CapeFront1_Color	Frente do Cabo 1
HairClip4_Color	Grampo de Cabelo 4
NeckwearB1_Color	Acessório de Pescoço B 2
Cheek1	Bochecha 1
Lubricant	Lubrificante
Ahoge_A4_Outline	Contorno Cabelo de Ahoge 4
Angry3	Figurinha Raiva 3
Microphone	Microfone
NeckwearB4_Outline	Acessório de Pescoço B Contorno 4
WingE1_Middle_Outline	Asa Contorno 8 .2
FacialHair_B2_Color	Pêlos faciais B 2
Collar4_Outline	Contorno da Gola 4
TailF3_Outline	Contorno do Rabo 17
Donut4	Rosquinha 4
Laugh3	Figurinha Rindo 3
Tear1	Lágrima do Olho 1
NeckwearA6_Outline	Acessório de Pescoço A Contorno 6
Confetti1	Confete 4
Eye_Dum_Pupil	Olho(Bobo) Pupila
NeckwearB2_Outline	Acessório de Pescoço B Contorno 1 + 2
FrameHair_B4_Color	Emolduração do Cabelo 29
FrameHair_B4_Gradient	Emolduração do Cabelo 30
NeckwearB6_Outline	Acessório de Pescoço B Contorno 6
Eye_Popcat_Dark	Bobo 3 | Olho | Popcat 2
HairClip2_Outline	Grampo de Cabelo Contorno 2
FrameHair_B2_Gradient	Emolduração do Cabelo 26
Hand_Outline	Mão 1 .15
Glove1_Color	Luva
NeckwearA1_Outline	Acessório de Pescoço A Contorno 1
WingE1_Lower_Outline	Asa Contorno 8 .3
Mouse	Rato
Collar5_Color	Gola 5
Tie1_Outline	Acessório de Pescoço C Contorno 1
Eyebag	Olheira
WingG1_Outter_Outline	Asa Contorno 10 .1
Laugh1	Figurinha Rindo 1
Popcorn	Comer (pipoca) 2
NeckwearA5_Outline	Acessório de Pescoço A Contorno 5
BeverageLiquid	Bebida Liquido
Eye3_HighlightCry	Olho 3 | Choro
Eye3_Sparkling	Olhos Brilho 3
Confetti2	Confete 5
Eye3_Spiral	Olhos Espiral 3
FacialHair_B1_Color	Pêlos faciais B 1
PhoneScreenPattern2	Tela do Celular 2
VolumeOn	Figurinha Volume 3
FacialHair_B4_Outline	Contorno B dos pêlos faciais 4
Collar5_Outline	Contorno da Gola 5
WingEL_Lower_WeightTransfer	Asa >> 15 .3
NeckwearB1_WeightTransfer	Acessório de Pescoço B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	Franja do Cabelo >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Óculos 4
AhogeA_WeightTransfer	Cabelo Ahoge 7
BackHair_WeightTransfer	Cabelo de Trás 7
AnimalEarBL_WeightTransfer	Orelha de Animal >> 11
EyepatchA_WeightTransfer	Tapa-olho 7
TailD_WeightTransfer	Rabo 22
HairBang_Middle_WeightTransfer	Franja do Cabelo >< 15
Face_WeightTransfer	Característica facial C 3
NeckwearB2_WeightTransfer	Acessório de Pescoço B 9
EarringBR_WeightTransfer	Brinco << 12
EarringBL_WeightTransfer	Brinco >> 12
NeckwearC_WeightTransfer	Acessório de Pescoço C 4
HatC_WeightTransfer	Chapéu 11
TailFSoft_WeightTransfer	Rabo 25
TailFHard_WeightTransfer	Rabo 24
EarringAR_WeightTransfer	Brinco << 11
EarringAL_WeightTransfer	Brinco >> 11
HatA_WeightTransfer	Chapéu 9
LegR_WeightTransfer	Perna << 2
LegL_WeightTransfer	Perna >> 2
HatD_WeightTransfer	Chapéu 12
FrameHair_WeightTransfer	Emolduração do Cabelo >< 
TailE_WeightTransfer	Rabo 23
TailA_WeightTransfer	Rabo 19
SideHairB_WeightTransfer	Cabelo Lateral 34
SideHairA_WeightTransfer	Cabelo Lateral 33
PonytailA_WeightTransfer	Rabo de cavalo de cabelo 15
WingER_Upper_WeightTransfer	Asa << 15 .1
WingER_Middle_WeightTransfer	Asa << 15 .2
OutfitOuter_WeightTransfer	Roupa Exterior 8
WingAL_WeightTransfer	Asa >> 11
PalmarL_WeightTransfer	Mão >> 3 .5
HeadWingAL_WeightTransfer	Asa Orelha >> 4
BrowL_WeightTransfer	Sobrancelha >> 10
BrowR_WeightTransfer	Sobrancelha << 10
MustacheA_WeightTransfer	Pêlos faciais B 7
TailC_WeightTransfer	Rabo 21
FrameHair_BranchL_WeightTransfer	Mechas Laterais >> 4
HandL_Middle_WeightTransfer	Mão >> 3 .1
HandL_Thumb_WeightTransfer	Mão >> 3 .2
NeckwearA_WeightTransfer	Acessório de Pescoço A 7
WingER_Lower_WeightTransfer	Asa << 15 .3
WingEL_Upper_WeightTransfer	Asa >> 15 .1
WingGL_Outter_WeightTransfer	Asa >> 17 .1
WingCL_Upper_WeightTransfer	Asa >> 13 .1
WingGR_Inner_WeightTransfer	Asa << 17 .2
WingCR_Upper_WeightTransfer	Asa << 13 .1
EarL_WeightTransfer	Orelha 2 >>
EarR_WeightTransfer	Orelha 2 <<
CapeBack_WeightTransfer	Cabo de volta 4
CapeFront_WeightTransfer	Frente do Cabo 7
WingEL_Middle_WeightTransfer	Asa >> 15 .2
WingFR_Upper_WeightTransfer	Asa << 16 .1
AntennaR_WeightTransfer	Antena << 3
AnimalEarAR_WeightTransfer	Orelha de Animal << 10
WingDL_WeightTransfer	Asa >> 14
AnimalEarCL_WeightTransfer	Orelha de Animal >> 12
WingGL_Inner_WeightTransfer	Asa >> 17 .2
Halo_WeightTransfer	Auréola 7
FinR_WeightTransfer	Barbatana << 2
HatB_WeightTransfer	Chapéu 10
AnimalEarAL_WeightTransfer	Orelha de Animal >> 10
TailB_WeightTransfer	Rabo 20
HandL_Little_WeightTransfer	Mão >> 3 .3
HandL_Index_WeightTransfer	Mão >> 3 .4
FinL_WeightTransfer	Barbatana >> 2
AntennaL_WeightTransfer	Antena >> 3
PonytailAR_WeightTransfer	Rabo de Cavalo << 25
OutfitInner_WeightTransfer	Roupa Interior 9
MustacheB_WeightTransfer	Pêlos faciais B 8
PonytailB_WeightTransfer	Rabo de cavalo de cabelo 16
HairBandA_WeightTransfer	Faixa de Cabelo A 3
HairBang_SideR_WeightTransfer	Franja do Cabelo << 13
EyepatchB_WeightTransfer	Tapa-olho 8
WingFL_Lower_WeightTransfer	Asa >> 16 .2
WingBL_WeightTransfer	Asa >> 12
PonytailCL_WeightTransfer	Rabo de Cavalo >> 26
HairbandB_WeightTransfer	Faixa de Cabelo B 5
BeardA_WeightTransfer	Pêlos faciais A 9
PonytailAL_WeightTransfer	Rabo de Cavalo >> 25
AnimalEarBR_WeightTransfer	Orelha de Animal << 11
EyelashR_WeightTransfer	Olho 4 | Cílios <<
GillR_WeightTransfer	Brânquia << 2
PiercingAL_WeightTransfer	Perfuração A >> 6
PiercingAR_WeightTransfer	Perfuração A << 6
WingFR_Lower_WeightTransfer	Asa << 16 .2
WingFL_Upper_WeightTransfer	Asa >> 16 .1
HairBandC_WeightTransfer	Faixa de Cabelo D 3
HornL_WeightTransfer	Chifre >> 8
HornR_WeightTransfer	Chifre << 8
EyelashL_WeightTransfer	Olho 4 | Cílios >>
GillL_WeightTransfer	Brânquia >> 2
HornFrontL_WeightTransfer	Chifre Frontal >> 3
HornFrontR_WeightTransfer	Chifre Frontal << 3
WingDR_WeightTransfer	Asa << 14
FrameHair_BranchR_WeightTransfer	Mechas Laterais << 4
HeadWingAR_WeightTransfer	Asa Orelha << 4
HornFrontM_WeightTransfer	Chifre Frontal >< 2
WingGR_Outter_WeightTransfer	Asa << 17 .1
EyeDollarR_WeightTransfer	Olho Dolar << 4 + 5
EyeHeartL_WeightTransfer	Olho Coração >> 4 + 5
EyeHeartR_WeightTransfer	Olho Coração << 4 + 5
EyeHighlightCryL_WeightTransfer	Olho 4 + 5 >> | Choro
EyeHighlightCryR_WeightTransfer	Olho 4 + 5 << | Choro
EyeL_WeightTransfer	Olho >> 4 + 5
EyeR_WeightTransfer	Olho << 4 + 5
EyeSparklingL_WeightTransfer	Olhos Brilho >> 4 + 5
EyeSparklingR_WeightTransfer	Olhos Brilho << 4 + 5
EyeSpiralL_WeightTransfer	Olhos Espiral >> 4 + 5
EyeSpiralR_WeightTransfer	Olhos Espiral << 4 + 5
AnimalEarCR_WeightTransfer	Orelha de Animal << 12
WingAR_WeightTransfer	Asa << 11
PonytailCR_WeightTransfer	Rabo de Cavalo << 26
PiercingBL_WeightTransfer	Perfuração B >> 6
PiercingBR_WeightTransfer	Perfuração B << 6
HandL_WeightTransfer	Mão >> 3
HandR_Index_WeightTransfer	Mão << 3 .4
HandR_Little_WeightTransfer	Mão << 3 .3
HandR_Middle_WeightTransfer	Mão << 3 .1
HandR_Thumb_WeightTransfer	Mão << 3 .2
HandR_WeightTransfer	Mão << 3
PalmarR_WeightTransfer	Mão << 3 .5
WingCL_Lower_WeightTransfer	Asa >> 13
WingCR_Lower_WeightTransfer	Asa << 13
WingBR_WeightTransfer	Asa << 12
EyeDollarL_WeightTransfer	Olho Dolar >> 4 + 5
ClownWig	Palhaço 1
FireA1	Fogo
ElectricFan	Ventilador Elétrico
Cheese	Queijo
ElectricFanBlades	Pás de ventilador elétrico
Guitar_Outline	Contorno de guitarra
Guitar_Color1	Cor da guitarra 1
PaperFanSticks	Ventilador dobrável 2
PaperFanLeaf	Ventilador dobrável 1
Stool	Banco
Slipper	Chinelo
Guitar_Color2	Cor da guitarra 2
WinkStar	Piscadela estrela
ClownNose	Palhaço 2
Guitar_Color3	Cor da guitarra 3
SideHairA7_Color	Cabelo Lateral 13
PonytailA3_Gradient	Rabo de cavalo de cabelo 6
SideHairA2_Gradient	Cabelo Lateral 4
SideHairB5_Color	Cabelo Lateral 25
SideHairB3_Gradient	Cabelo Lateral 22
PonytailA2_Outline	Contorno de rabo de cavalo de cabelo 3 + 4
PonytailB2_Outline	Contorno de rabo de cavalo de cabelo 13 + 14
PonytailB2_Color	Rabo de cavalo de cabelo 13
Outer7_Outline	Contorno da Roupa Exterior 7
Outer1_Outline	Contorno da Roupa Exterior 1
Hand_Color	Mão 1
LaptopLight3	Luz do Computador Portátil 3
Finger	Esfregue 1
Scissor	Corte (Tesoura)
BoopHand	Boop
Trophy	Troféu 1
ProgressBar	Contêiner da barra de progresso
Progress	Preenchimento da barra de progresso
