SpriteName	Zh-Hant
Ahoge_A3_Outline	頭髮呆毛輪廓 3
Main1_Outline	服裝 內側 輪廓 1
Horn2_Color	角 2
HairBang4_Middle_Gradient	頭髮 瀏海 >< 8
CapeFront3_Color	披風 前 3
Notepad	記事本
Outer5_Color	服裝 外側 5
WingA3_Color	翅膀 3
WingB1_Color	翅膀 4
Pistol	槍
Horn7_Color	角 7
Bottle	可樂奶昔
Outer6_Color	服裝 外側 6
Laugh2	表情貼紙 笑 2
FrameHair_B1_Gradient	頭髮 臉頰 24
Outer5_Outline	服裝 外側 輪廓 5
FrameHair_Top_Outline	頭髮 臉頰 top 輪廓
WingG1_Inner_Color	翅膀 10 .2
HairBang5_Middle_Outline	頭髮 瀏海 >< 輪廓 9 + 10
Beer	乾杯
HairBang4_Middle_Color	頭髮 瀏海 >< 7
TailE1_Outline	尾巴 輪廓 12
TailC2_Color	尾巴 9
HornF2_Outline	角 輪廓 9
HairBang2_Middle_Outline	頭髮 瀏海 >< 輪廓 3 + 4
Ahoge_B2_Outline	頭髮呆毛輪廓 6
Bell	鈴鐺 2
FrameHair_Branch_A3_Outline	頭髮 分叉 輪廓 3
FrameHair_A3_Color	頭髮 臉頰 5
FrameHair_A3_Gradient	頭髮 臉頰 6
Horn2_Outline	角 輪廓 2
Outer6_Outline	服裝 外側 輪廓 6
WingD2_Upper_Color	翅膀 7 .1
Antenna2_Outline	觸角 輪廓 2
TailB5_Outline	尾巴 輪廓 7
HairBang5_Middle_Gradient	頭髮 瀏海 >< 10
HairBang1_Middle_Color	頭髮 瀏海 >< 1
QuestionMark	表情貼紙 問號
Horn3_Color	角 3
SignSquareText1	方形標牌 文字
Antenna1_Color	觸角 1
FrameHair_A2_Gradient	頭髮 臉頰 4
HairHighlight1_Outline	挑染 輪廓 1 << + 1 >>
TailD1_Color	尾巴 11
HairBang6_Middle_Outline	頭髮 瀏海 >< 輪廓 11 + 12
HairBang7_Middle_Gradient	頭髮 瀏海 >< 14
HairBang6_Middle_Color	頭髮 瀏海 >< 11
HairBang6_Middle_Gradient	頭髮 瀏海 >< 12
CapeFront4_Outline	披風 前 | 鬥篷 輪廓 4
FrameHair_A2_Color	頭髮 臉頰 3
FacialHair_A1_Outline	鬍子 A 輪廓 1
HairBang1_Middle_Gradient	頭髮 瀏海 >< 2
HornM1_Color	角 前 >< 1
TailB4_Color	尾巴 6
TailB2_Color	尾巴 4
Pigtail_B2_Color	頭髮 馬尾 19
Fin1_Color	鰭 1
TailB3_Outline	尾巴 輪廓 5
Halo1_Color	光環 1
TailB2_Outline	尾巴 輪廓 4
FrameHair_A3_Outline	頭髮 臉頰 輪廓 5 + 6
FrameHair_B1_Color	頭髮 臉頰 23
HairClip7_Color	髮夾 7
FacialHair_A6_Color	鬍子 A 6
FacialHair_A3_Outline	鬍子 A 3
Halo1_Outline	光環 輪廓 1
Hairband7_Color	髮帶 C 1
Keyboard	打字(普通) 3
FrameHair_A6_Outline	頭髮 臉頰 輪廓 11 + 12
VolumeOff	表情貼紙 音量 2
PalmarGlove1_Color	手 2 .2
FacialHair_A6_Outline	鬍子 A 輪廓 6
TailB1_Outline	尾巴 輪廓 3
Pigtail_A1_Gradient	頭髮 馬尾 2
FrameHair_A4_Gradient	頭髮 臉頰 8
KitchenKnife	廚房刀
Halo2_Color	光環 2
FrameHair_A6_Gradient	頭髮 臉頰 12
HairShine5_Color	頭髮 高光 9 + 10
FrameHair_B2_Color	頭髮 臉頰 25
FacialHair_B1_Outline	鬍子 B 輪廓 1
Main3_Outline	服裝 內側 輪廓 3
Main4_Outline	服裝 內側 輪廓 4
Main7_Outline	服裝 內側 輪廓 7
HatA2_Color	帽子 2
Pigtail_C2_Outline	頭髮 馬尾 輪廓 23 + 24
Main1_Color	服裝 內側 1
Eyepatch2_Outline	眼罩輪廓 3 + 4
SideHair_Branch_C2_Color	頭髮 側面分叉 C 2
HairHighlight6_Outline	挑染 >< 輪廓 5 + 6
SideHair_Branch_C1_Color	頭髮 側面分叉 C 1
Eyepatch1_Outline	眼罩輪廓 1 + 2
AlertCoin_Outline	表情貼紙 通知/提示 輪廓 3
Eye_Dum_Outline	呆眼 輪廓 1 + 2
FrameHair_Branch_A2_Outline	頭髮 分叉 輪廓 2
Main5_Color	服裝 內側 5
Pompom	拉拉花
HairClip10_Outline	髮夾 輪廓 10
WaveHand	揮手 手
HeartItem	愛心
FrameHair_Branch_A2_Color	頭髮 分叉 2
FrameHair_Branch_A1_Outline	頭髮 分叉 輪廓 1
Eye_Dum_Color	眼睛 白色部分
AlertCoin_Color	表情貼紙 通知/提示 3
Button	按鈕
SideHair_Branch_B2_Outline	頭髮 側面分叉 B 輪廓 2
Face_Shadow	臉 陰影
AlertStar_Outline	表情貼紙 通知/提示 輪廓 5
Pigtail_C1_Outline	頭髮 馬尾 輪廓 21 + 22
AlertHeart_Outline	表情貼紙 通知/提示 輪廓 1
AlertLike_Color	表情貼紙 通知/提示 4
AlertStar_Color	表情貼紙 通知/提示 5
Sleep	表情貼紙 睡覺
Square	門/牆 | 監獄柵欄 | 被子 外側
SideHair_Branch_A2_Color	頭髮 側面分叉 A 2
Beverage	飲料杯 3
HairClip8_Outline	髮夾 輪廓 8
HairClip9_Outline	髮夾 輪廓 9
GiftBox	禮物 1
Mecha5_Outline	機械 輪廓 5
WingC1_Lower_Color	翅膀 5 .2
Gill3_Color	鰓 1 .3
FacialHair_B6_Outline	鬍子 B 輪廓 6
HairClip10_Color	髮夾 10
SideHair_Branch_B2_Color	頭髮 側面分叉 B 2
SideHair_Branch_B1_Color	頭髮 側面分叉 B 1
Bowl	碗
Pigtail_C1_Color	頭髮 馬尾 21
Pigtail_C1_Gradient	頭髮 馬尾 22
HairClip7_Outline	髮夾 輪廓 7
HairHighlight5_Color	挑染 >< 3 + 4
HairClip6_Outline	髮夾 輪廓 6
Bill1	鈔票 1
LubricantSpray	噴霧
Ahoge_A1_Outline	頭髮呆毛輪廓 1
Gill1_Outline	鰓 輪廓 1 .1
FacialHair_B6_Color	鬍子 B 6 
Heart	表情貼紙 愛心
Popper	拉炮
Pencil	鉛筆
Ahoge_A3_Color	頭髮呆毛 3
BeverageCup	飲料杯
Mouth_Popcat2	Popcat | 嘴 2
HairClip9_Color	髮夾 9
AlertBits_Color	表情貼紙 通知/提示 6
Seven	第七號
PhoneFront	手機 1
Gill2_Outline	鰓 輪廓 1 .2
FrameHair_B2_Outline	頭髮 臉頰 輪廓 25 + 26
NeckwearB7_Outline	服裝 頸部裝飾 B 輪廓 7
Angry1	表情貼紙 生氣 1
Cup	咖啡杯
Phone	手機 2
Palmar_Outline	手 1 .14
FrameHair_B1_Outline	頭髮 臉頰 輪廓 23 + 24
WingD2_Lower_Color	翅膀 7 .2
HairClip11_Outline	髮夾 輪廓 11
RedPacket	紅包 1
HairClip12_Outline	髮夾 輪廓 12
Gill1_Color	鰓 1 .1
Eye1_Dark	眼睛 虹膜深色 1 + 2
NeckwearB3_Outline	服裝 頸部裝飾 B 輪廓 3
LightBulb	表情貼紙 燈泡
Mecha3_Color	機械 3
Mecha6_Outline	機械 輪廓 6
Ahoge_A1_Color	頭髮呆毛 1
WingA1_Outline	翅膀 輪廓 1
RedPacketCoin1	紅包 5
SweatBlue	表情貼紙 汗 大
HornF1_Color	角 前 1
Sparkle	光暈
Ahoge_A2_Outline	頭髮呆毛輪廓 
FaceFeatureC2	臉部特徵 C 2
Glove1_Outline	手套 輪廓
PalmGlove1_Color	手 2 .3
PalmGlove1_Outline	手 2 .4
FacialHair_B2_Outline	鬍子 B 2
Mecha6_Color	機械 6
CapeFront1_Color	披風 前 1
HairClip4_Color	髮夾 4
NeckwearB1_Color	服裝 頸部裝飾 B 2
Cheek1	臉頰 1
Lubricant	潤滑劑
Ahoge_A4_Outline	頭髮呆毛輪廓 4
Angry3	表情貼紙 生氣 3
Microphone	麥克風
NeckwearB4_Outline	服裝 頸部裝飾 B 輪廓 4
WingE1_Middle_Outline	翅膀 輪廓 8 .2
FacialHair_B2_Color	鬍子 B 2
Collar4_Outline	服裝 領子 輪廓 4
TailF3_Outline	尾巴 輪廓 17
Donut4	甜甜圈 4
Laugh3	表情貼紙 笑 3
Tear1	眼睛 眼淚 1
NeckwearA6_Outline	服裝 頸部裝飾 A 輪廓 6
Confetti1	彩色紙屑 4
Eye_Dum_Pupil	呆眼 瞳孔
NeckwearB2_Outline	服裝 頸部裝飾 B 輪廓 1 + 2
FrameHair_B4_Color	頭髮 臉頰 29
FrameHair_B4_Gradient	頭髮 臉頰 30
NeckwearB6_Outline	服裝 頸部裝飾 B 輪廓 6
Eye_Popcat_Dark	呆 3 | 眼睛 | Popcat 幀 2
HairClip2_Outline	髮夾 輪廓 2
FrameHair_B2_Gradient	頭髮 臉頰 26
Hand_Outline	手 1 .15
Glove1_Color	手套
NeckwearA1_Outline	服裝 頸部裝飾 A 輪廓 1
WingE1_Lower_Outline	翅膀 輪廓 8 .3
Mouse	滑鼠
Collar5_Color	服裝 領子 內側 5
Tie1_Outline	服裝 頸部裝飾 C 輪廓 1
Eyebag	眼袋
WingG1_Outter_Outline	翅膀 輪廓 10 .1
Laugh1	表情貼紙 笑 1
Popcorn	喫(爆米花) 2
NeckwearA5_Outline	服裝 頸部裝飾 A 輪廓 5
BeverageLiquid	飲料杯 液體
Eye3_HighlightCry	眼睛 3 | 哭
Eye3_Sparkling	眼睛 星星 3
Confetti2	彩色紙屑 5
Eye3_Spiral	眼睛 圈圈 3
FacialHair_B1_Color	鬍子 B 1
PhoneScreenPattern2	手機 螢幕 2
VolumeOn	表情貼紙 音量 3
FacialHair_B4_Outline	鬍子 B 輪廓 4
Collar5_Outline	服裝 領子 輪廓 5
WingEL_Lower_WeightTransfer	翅膀 >> 15 .3
NeckwearB1_WeightTransfer	服裝 頸部裝飾 B 8
FloatingL_WeightTransfer	機械 >> 7
HairBang_SideL_WeightTransfer	頭髮 瀏海 >> 13
FloatingR_WeightTransfer	機械 << 7
Glasses_WeightTransfer	眼鏡 4
AhogeA_WeightTransfer	頭髮呆毛 7
BackHair_WeightTransfer	頭髮 後側 7
AnimalEarBL_WeightTransfer	獸耳 >> 11
EyepatchA_WeightTransfer	眼罩 7
TailD_WeightTransfer	尾巴 22
HairBang_Middle_WeightTransfer	頭髮 瀏海 >< 15
Face_WeightTransfer	臉部特徵 C 3
NeckwearB2_WeightTransfer	服裝 頸部裝飾 B 9
EarringBR_WeightTransfer	耳環 << 12
EarringBL_WeightTransfer	耳環 >> 12
NeckwearC_WeightTransfer	服裝 頸部裝飾 C 4
HatC_WeightTransfer	帽子 11
TailFSoft_WeightTransfer	尾巴 25
TailFHard_WeightTransfer	尾巴 24
EarringAR_WeightTransfer	耳環 << 11
EarringAL_WeightTransfer	耳環 >> 11
HatA_WeightTransfer	帽子 9
LegR_WeightTransfer	腿 << 2
LegL_WeightTransfer	腿 >> 2
HatD_WeightTransfer	帽子 12
FrameHair_WeightTransfer	頭髮 臉頰 >< 
TailE_WeightTransfer	尾巴 23
TailA_WeightTransfer	尾巴 19
SideHairB_WeightTransfer	頭髮 側面 34
SideHairA_WeightTransfer	頭髮 側面 33
PonytailA_WeightTransfer	頭髮馬尾辮 15
WingER_Upper_WeightTransfer	翅膀 << 15 .1
WingER_Middle_WeightTransfer	翅膀 << 15 .2
OutfitOuter_WeightTransfer	服裝 外側 8
WingAL_WeightTransfer	翅膀 >> 11
PalmarL_WeightTransfer	手 >> 3 .5
HeadWingAL_WeightTransfer	翅膀耳朵 >> 4
BrowL_WeightTransfer	眉毛 >> 10
BrowR_WeightTransfer	眉毛 << 10
MustacheA_WeightTransfer	鬍子 B 7
TailC_WeightTransfer	尾巴 21
FrameHair_BranchL_WeightTransfer	頭髮 分叉 >> 4
HandL_Middle_WeightTransfer	手 >> 3 .1
HandL_Thumb_WeightTransfer	手 >> 3 .2
NeckwearA_WeightTransfer	服裝 頸部裝飾 A 7
WingER_Lower_WeightTransfer	翅膀 << 15 .3
WingEL_Upper_WeightTransfer	翅膀 >> 15 .1
WingGL_Outter_WeightTransfer	翅膀 >> 17 .1
WingCL_Upper_WeightTransfer	翅膀 >> 13 .1
WingGR_Inner_WeightTransfer	翅膀 << 17 .2
WingCR_Upper_WeightTransfer	翅膀 << 13 .1
EarL_WeightTransfer	耳朵 2 >>
EarR_WeightTransfer	耳朵 2 <<
CapeBack_WeightTransfer	披風 後 4
CapeFront_WeightTransfer	披風 前 7
WingEL_Middle_WeightTransfer	翅膀 >> 15 .2
WingFR_Upper_WeightTransfer	翅膀 << 16 .1
AntennaR_WeightTransfer	觸角 << 3
AnimalEarAR_WeightTransfer	獸耳 << 10
WingDL_WeightTransfer	翅膀 >> 14
AnimalEarCL_WeightTransfer	獸耳 >> 12
WingGL_Inner_WeightTransfer	翅膀 >> 17 .2
Halo_WeightTransfer	光環 7
FinR_WeightTransfer	鰭 << 2
HatB_WeightTransfer	帽子 10
AnimalEarAL_WeightTransfer	獸耳 >> 10
TailB_WeightTransfer	尾巴 20
HandL_Little_WeightTransfer	手 >> 3 .3
HandL_Index_WeightTransfer	手 >> 3 .4
FinL_WeightTransfer	鰭 >> 2
AntennaL_WeightTransfer	觸角 >> 3
PonytailAR_WeightTransfer	頭髮 馬尾 << 25
OutfitInner_WeightTransfer	服裝 內側 9
MustacheB_WeightTransfer	鬍子 B 8
PonytailB_WeightTransfer	頭髮馬尾辮 16
HairBandA_WeightTransfer	髮帶 A 3
HairBang_SideR_WeightTransfer	頭髮 瀏海 << 13
EyepatchB_WeightTransfer	眼罩 8
WingFL_Lower_WeightTransfer	翅膀 >> 16 .2
WingBL_WeightTransfer	翅膀 >> 12
PonytailCL_WeightTransfer	頭髮 馬尾 >> 26
HairbandB_WeightTransfer	髮帶 B 5
BeardA_WeightTransfer	鬍子 A 9
PonytailAL_WeightTransfer	頭髮 馬尾 >> 25
AnimalEarBR_WeightTransfer	獸耳 << 11
EyelashR_WeightTransfer	眼睛 4 | 眼睛 睫毛 <<
GillR_WeightTransfer	鰓 << 2
PiercingAL_WeightTransfer	耳釘 A >> 6
PiercingAR_WeightTransfer	耳釘 A << 6
WingFR_Lower_WeightTransfer	翅膀 << 16 .2
WingFL_Upper_WeightTransfer	翅膀 >> 16 .1
HairBandC_WeightTransfer	髮帶 D 3
HornL_WeightTransfer	角 >> 8
HornR_WeightTransfer	角 << 8
EyelashL_WeightTransfer	眼睛 4 | 眼睛 睫毛 >>
GillL_WeightTransfer	鰓 >> 2
HornFrontL_WeightTransfer	角 前 >> 3
HornFrontR_WeightTransfer	角 前 << 3
WingDR_WeightTransfer	翅膀 << 14
FrameHair_BranchR_WeightTransfer	頭髮 分叉 << 4
HeadWingAR_WeightTransfer	翅膀耳朵 << 4
HornFrontM_WeightTransfer	角 前 >< 2
WingGR_Outter_WeightTransfer	翅膀 << 17 .1
EyeDollarR_WeightTransfer	眼睛 錢 << 4 + 5
EyeHeartL_WeightTransfer	眼睛 愛心 >> 4 + 5
EyeHeartR_WeightTransfer	眼睛 愛心 << 4 + 5
EyeHighlightCryL_WeightTransfer	眼睛 4 + 5 >> | 哭
EyeHighlightCryR_WeightTransfer	眼睛 4 + 5 << | 哭
EyeL_WeightTransfer	眼睛 >> 4 + 5
EyeR_WeightTransfer	眼睛 << 4 + 5
EyeSparklingL_WeightTransfer	眼睛 星星 >> 4 + 5
EyeSparklingR_WeightTransfer	眼睛 星星 << 4 + 5
EyeSpiralL_WeightTransfer	眼睛 圈圈 >> 4 + 5
EyeSpiralR_WeightTransfer	眼睛 圈圈 << 4 + 5
AnimalEarCR_WeightTransfer	獸耳 << 12
WingAR_WeightTransfer	翅膀 << 11
PonytailCR_WeightTransfer	頭髮 馬尾 << 26
PiercingBL_WeightTransfer	耳釘 B >> 6
PiercingBR_WeightTransfer	耳釘 B << 6
HandL_WeightTransfer	手 >> 3
HandR_Index_WeightTransfer	手 << 3 .4
HandR_Little_WeightTransfer	手 << 3 .3
HandR_Middle_WeightTransfer	手 << 3 .1
HandR_Thumb_WeightTransfer	手 << 3 .2
HandR_WeightTransfer	手 << 3
PalmarR_WeightTransfer	手 << 3 .5
WingCL_Lower_WeightTransfer	翅膀 >> 13
WingCR_Lower_WeightTransfer	翅膀 << 13
WingBR_WeightTransfer	翅膀 << 12
EyeDollarL_WeightTransfer	眼睛 錢 >> 4 + 5
ClownWig	小丑 1
FireA1	火
ElectricFan	電扇
Cheese	起司
ElectricFanBlades	電風扇葉片
Guitar_Outline	吉他大綱
Guitar_Color1	吉他顏色 1
PaperFanSticks	折扇 2
PaperFanLeaf	折扇 1
Stool	凳子
Slipper	拖鞋
Guitar_Color2	吉他顏色 2
WinkStar	眨眼之星
ClownNose	小丑 2
Guitar_Color3	吉他顏色 3
SideHairA7_Color	頭髮 側面 13
PonytailA3_Gradient	頭髮馬尾辮 6
SideHairA2_Gradient	頭髮 側面 4
SideHairB5_Color	頭髮 側面 25
SideHairB3_Gradient	頭髮 側面 22
PonytailA2_Outline	頭髮馬尾辮輪廓 3 + 4
PonytailB2_Outline	頭髮馬尾辮輪廓 13 + 14
PonytailB2_Color	頭髮馬尾辮 13
Outer7_Outline	服裝 外側 輪廓 7
Outer1_Outline	服裝 外側 輪廓 1
Hand_Color	手 1
LaptopLight3	電腦 螢幕光 3
Finger	擦 1
Scissor	剪（剪刀）
BoopHand	布普
Trophy	獎杯 1
ProgressBar	進度條容器
Progress	進度條填充
