SpriteName	Tr
CapeFront1_Outline	Pelerin Önü | Pelerin Anahat 1
Cake	Kek
WingD1_Color	Kanatlar 6
Pigtail_B1_Gradient	Saç Topuzu 18
Outer7_Color	Kıyafet Dışı 7
Ahoge_B1_Outline	Ahoge Saçı Anahat 5
HornM1_Outline	Ön Boynuz >< Anahat 1
HornF2_Color	Ön Boynuz 2
CapeFront4_Color	Pelerin Önü 4
FrameHair_Branch_A3_Color	Saç Kalkıklığı 3
Main2_Outline	Kıyafet İçi Anahat 2
Wing1_Outline	Kulak Kanadı Anahat 1
WingD2_Upper_Outline	Kanatlar Anahat 7 .1
Mecha4_Color	Mecha 4
Horn1_Outline	Boynuz Anahat 1
WingA2_Color	Kanatlar 2
EasterEggBasket	Paskalya 4
Mecha4_Outline	Mecha Anahat 4
Antenna2_Color	Anten 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Ahoge Saçı Anahat 3
Main1_Outline	Kıyafet İçi Anahat 1
Horn2_Color	Boynuz 2
HairBang4_Middle_Gradient	Kahkül >< 8
CapeFront3_Color	Pelerin Önü 3
Notepad	Not Defteri
Outer5_Color	Kıyafet Dışı 5
WingA3_Color	Kanatlar 3
WingB1_Color	Kanatlar 4
Pistol	Silah
Horn7_Color	Boynuz 7
Bottle	Kola Shake
Outer6_Color	Kıyafet Dışı 6
Laugh2	İşaret Gülmek 2
FrameHair_B1_Gradient	Saç Ucu 24
Outer5_Outline	Kıyafet Dışı Anahat 5
FrameHair_Top_Outline	Saç Ucu top Anahat
WingG1_Inner_Color	Kanatlar 10 .2
HairBang5_Middle_Outline	Kahkül >< Anahat 9 + 10
Beer	Şerefe
HairBang4_Middle_Color	Kahkül >< 7
TailE1_Outline	Kuyruk Anahat 12
TailC2_Color	Kuyruk 9
HornF2_Outline	Boynuz Anahat 9
HairBang2_Middle_Outline	Kahkül >< Anahat 3 + 4
Ahoge_B2_Outline	Ahoge Saçı Anahat 6
Bell	Zil 2
FrameHair_Branch_A3_Outline	Saç Kalkıklığı Anahat 3
FrameHair_A3_Color	Saç Ucu 5
FrameHair_A3_Gradient	Saç Ucu 6
Horn2_Outline	Boynuz Anahat 2
Outer6_Outline	Kıyafet Dışı Anahat 6
WingD2_Upper_Color	Kanatlar 7 .1
Antenna2_Outline	Anten Anahat 2
TailB5_Outline	Kuyruk Anahat 7
HairBang5_Middle_Gradient	Kahkül >< 10
HairBang1_Middle_Color	Kahkül >< 1
QuestionMark	İşaret Soru
Horn3_Color	Boynuz 3
SignSquareText1	Kare İşaret Metni
Antenna1_Color	Anten 1
FrameHair_A2_Gradient	Saç Ucu 4
HairHighlight1_Outline	Saç Detayı Anahat 1 << + 1 >>
TailD1_Color	Kuyruk 11
HairBang6_Middle_Outline	Kahkül >< Anahat 11 + 12
HairBang7_Middle_Gradient	Kahkül >< 14
HairBang6_Middle_Color	Kahkül >< 11
HairBang6_Middle_Gradient	Kahkül >< 12
CapeFront4_Outline	Pelerin Önü | Pelerin Anahat 4
FrameHair_A2_Color	Saç Ucu 3
FacialHair_A1_Outline	Sakal A Anahat 1
HairBang1_Middle_Gradient	Kahkül >< 2
HornM1_Color	Ön Boynuz >< 1
TailB4_Color	Kuyruk 6
TailB2_Color	Kuyruk 4
Pigtail_B2_Color	Saç Topuzu 19
Fin1_Color	Yüzgeç 1
TailB3_Outline	Kuyruk Anahat 5
Halo1_Color	Hale 1
TailB2_Outline	Kuyruk Anahat 4
FrameHair_A3_Outline	Saç Ucu Anahat 5 + 6
FrameHair_B1_Color	Saç Ucu 23
HairClip7_Color	Saç Tokası 7
FacialHair_A6_Color	Sakal A 6
FacialHair_A3_Outline	Sakal A 3
Halo1_Outline	Hale Anahat 1
Hairband7_Color	Saç Bandı C 1
Keyboard	Yaz Normal 3
FrameHair_A6_Outline	Saç Ucu Anahat 11 + 12
VolumeOff	İşaret Ses 2
PalmarGlove1_Color	El 2 .2
FacialHair_A6_Outline	Sakal A Anahat 6
TailB1_Outline	Kuyruk Anahat 3
Pigtail_A1_Gradient	Saç Topuzu 2
FrameHair_A4_Gradient	Saç Ucu 8
KitchenKnife	Mutfak Bıçağı
Halo2_Color	Hale 2
FrameHair_A6_Gradient	Saç Ucu 12
HairShine5_Color	Saç Parıltısı 9 + 10
FrameHair_B2_Color	Saç Ucu 25
FacialHair_B1_Outline	Sakal B Anahat 1
Main3_Outline	Kıyafet İçi Anahat 3
Main4_Outline	Kıyafet İçi Anahat 4
Main7_Outline	Kıyafet İçi Anahat 7
HatA2_Color	Şapka 2
Pigtail_C2_Outline	Saç Topuzu Anahat 23 + 24
Main1_Color	Kıyafet İçi 1
Eyepatch2_Outline	Göz Bandı Anahattı 3 + 4
SideHair_Branch_C2_Color	Yan Saç Kalkıklığı C 2
HairHighlight6_Outline	Saç Detayı >< Anahat 5 + 6
SideHair_Branch_C1_Color	Yan Saç Kalkıklığı C 1
Eyepatch1_Outline	Göz Bandı Anahattı 1 + 2
AlertCoin_Outline	Bildirim Sembolü Anahat 3
Eye_Dum_Outline	Göz (Enayi) Anahat 1 + 2
FrameHair_Branch_A2_Outline	Saç Kalkıklığı Anahat 2
Main5_Color	Kıyafet İçi 5
Pompom	Ponpon
HairClip10_Outline	Saç Tokası Anahat 10
WaveHand	El Salla
HeartItem	Kalp
FrameHair_Branch_A2_Color	Saç Kalkıklığı 2
FrameHair_Branch_A1_Outline	Saç Kalkıklığı Anahat 1
Eye_Dum_Color	Göz Beyazı
AlertCoin_Color	Bildirim Sembolü 3
Button	Düğme
SideHair_Branch_B2_Outline	Yan Saç Kalkıklığı B Anahat 2
Face_Shadow	Yüz Gölgesi
AlertStar_Outline	Bildirim Sembolü Anahat 5
Pigtail_C1_Outline	Saç Topuzu Anahat 21 + 22
AlertHeart_Outline	Bildirim Sembolü Anahat 1
AlertLike_Color	Bildirim Sembolü 4
AlertStar_Color	Bildirim Sembolü 5
Sleep	İşaret Uyku
Square	Kapı/Duvar | Hapishane Demiri | Battaniye Dışı
SideHair_Branch_A2_Color	Yan Saç Kalkıklığı A 2
Beverage	Bardak 3
HairClip8_Outline	Saç Tokası Anahat 8
HairClip9_Outline	Saç Tokası Anahat 9
GiftBox	Hediye 1
Mecha5_Outline	Mecha Anahat 5
WingC1_Lower_Color	Kanatlar 5 .2
Gill3_Color	Solungaç 1 .3
FacialHair_B6_Outline	Sakal B Anahat 6
HairClip10_Color	Saç Tokası 10
SideHair_Branch_B2_Color	Yan Saç Kalkıklığı B 2
SideHair_Branch_B1_Color	Yan Saç Kalkıklığı B 1
Bowl	Kâse
Pigtail_C1_Color	Saç Topuzu 21
Pigtail_C1_Gradient	Saç Topuzu 22
HairClip7_Outline	Saç Tokası Anahat 7
HairHighlight5_Color	Saç Detayı >< 3 + 4
HairClip6_Outline	Saç Tokası Anahat 6
Bill1	Para 1
LubricantSpray	Sprey
Ahoge_A1_Outline	Ahoge Saçı Anahat 1
Gill1_Outline	Solungaç Anahat 1 .1
FacialHair_B6_Color	Sakal B 6 
Heart	İşaret Kalp
Popper	Konfeti Patlatıcı
Pencil	Kalem
Ahoge_A3_Color	Ahoge Saçı 3
BeverageCup	Bardak
Mouth_Popcat2	Popcat | Ağız 2
HairClip9_Color	Saç Tokası 9
AlertBits_Color	Bildirim Sembolü 6
Seven	Yedi Numara
PhoneFront	Telefon 1
Gill2_Outline	Solungaç Anahat 1 .2
FrameHair_B2_Outline	Saç Ucu Anahat 25 + 26
NeckwearB7_Outline	Boyun Takıları B Anahat 7
Angry1	İşaret Sinirli 1
Cup	Kupa
Phone	Telefon 2
Palmar_Outline	El 1 .14
FrameHair_B1_Outline	Saç Ucu Anahat 23 + 24
WingD2_Lower_Color	Kanatlar 7 .2
HairClip11_Outline	Saç Tokası Anahat 11
RedPacket	Kırmızı Paket 1
HairClip12_Outline	Saç Tokası Anahat 12
Gill1_Color	Solungaç 1 .1
Eye1_Dark	Göz İris Koyuluğu 1 + 2
NeckwearB3_Outline	Boyun Takıları B Anahat 3
LightBulb	İşaret Ampul
Mecha3_Color	Mecha 3
Mecha6_Outline	Mecha Anahat 6
Ahoge_A1_Color	Ahoge Saçı 1
WingA1_Outline	Kanatlar Anahat 1
RedPacketCoin1	Kırmızı Paket 5
SweatBlue	İşaret Ter Büyük
HornF1_Color	Ön Boynuz 1
Sparkle	Video Kamera Işığı
Ahoge_A2_Outline	Ahoge Saçı Anahat 
FaceFeatureC2	Yüz Özelliği C 2
Glove1_Outline	Eldiven Anahat
PalmGlove1_Color	El 2 .3
PalmGlove1_Outline	El 2 .4
FacialHair_B2_Outline	Sakal B 2
Mecha6_Color	Mecha 6
CapeFront1_Color	Pelerin Önü 1
HairClip4_Color	Saç Tokası 4
NeckwearB1_Color	Boyun Takıları B 2
Cheek1	Yanak 1
Lubricant	Sprey Kutusu
Ahoge_A4_Outline	Ahoge Saçı Anahat 4
Angry3	İşaret Sinirli 3
Microphone	Mikrofon
NeckwearB4_Outline	Boyun Takıları B Anahat 4
WingE1_Middle_Outline	Kanatlar Anahat 8 .2
FacialHair_B2_Color	Sakal B 2
Collar4_Outline	Kıyafet Yaka Anahat 4
TailF3_Outline	Kuyruk Anahat 17
Donut4	Çörek 4
Laugh3	İşaret Gülmek 3
Tear1	Göz Yaşı 1
NeckwearA6_Outline	Boyun Takıları A Anahat 6
Confetti1	Konfeti 4
Eye_Dum_Pupil	Göz(Enayi) Gözbebeği
NeckwearB2_Outline	Boyun Takıları B Anahat 1 + 2
FrameHair_B4_Color	Saç Ucu 29
FrameHair_B4_Gradient	Saç Ucu 30
NeckwearB6_Outline	Boyun Takıları B Anahat 6
Eye_Popcat_Dark	Enayi 3 | Gözler | Popcat Düz 2
HairClip2_Outline	Saç Tokası Anahat 2
FrameHair_B2_Gradient	Saç Ucu 26
Hand_Outline	El 1 .15
Glove1_Color	Eldiven
NeckwearA1_Outline	Boyun Takıları A Anahat 1
WingE1_Lower_Outline	Kanatlar Anahat 8 .3
Mouse	Fare
Collar5_Color	Kıyafet Yakası 5
Tie1_Outline	Boyun Takıları C Anahat 1
Eyebag	Göz torbası
WingG1_Outter_Outline	Kanatlar Anahat 10 .1
Laugh1	İşaret Gülmek 1
Popcorn	Yemek (Patlamış mısır) 2
NeckwearA5_Outline	Boyun Takıları A Anahat 5
BeverageLiquid	Bardaktaki Sıvı
Eye3_HighlightCry	Gözler 3 | Ağla
Eye3_Sparkling	Göz Parıltısı 3
Confetti2	Konfeti 5
Eye3_Spiral	Göz Spiral 3
FacialHair_B1_Color	Sakal B 1
PhoneScreenPattern2	Telefon Ekranı 2
VolumeOn	İşaret Ses 3
FacialHair_B4_Outline	Sakal B Anahat 4
Collar5_Outline	Kıyafet Yaka Anahat 5
WingEL_Lower_WeightTransfer	Kanatlar >> 15 .3
NeckwearB1_WeightTransfer	Boyun Takıları B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	Kahkül >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Gözlük 4
AhogeA_WeightTransfer	Ahoge Saçı 7
BackHair_WeightTransfer	Saçın Arkası 7
AnimalEarBL_WeightTransfer	Hayvan Kulağı >> 11
EyepatchA_WeightTransfer	Göz bandı 7
TailD_WeightTransfer	Kuyruk 22
HairBang_Middle_WeightTransfer	Kahkül >< 15
Face_WeightTransfer	Yüz Özelliği C 3
NeckwearB2_WeightTransfer	Boyun Takıları B 9
EarringBR_WeightTransfer	Küpe << 12
EarringBL_WeightTransfer	Küpe >> 12
NeckwearC_WeightTransfer	Boyun Takıları C 4
HatC_WeightTransfer	Şapka 11
TailFSoft_WeightTransfer	Kuyruk 25
TailFHard_WeightTransfer	Kuyruk 24
EarringAR_WeightTransfer	Küpe << 11
EarringAL_WeightTransfer	Küpe >> 11
HatA_WeightTransfer	Şapka 9
LegR_WeightTransfer	Bacak << 2
LegL_WeightTransfer	Bacak >> 2
HatD_WeightTransfer	Şapka 12
FrameHair_WeightTransfer	Saç Ucu >< 
TailE_WeightTransfer	Kuyruk 23
TailA_WeightTransfer	Kuyruk 19
SideHairB_WeightTransfer	Saçın Yanı 34
SideHairA_WeightTransfer	Saçın Yanı 33
PonytailA_WeightTransfer	Saç At Kuyruğu 15
WingER_Upper_WeightTransfer	Kanatlar << 15 .1
WingER_Middle_WeightTransfer	Kanatlar << 15 .2
OutfitOuter_WeightTransfer	Kıyafet Dışı 8
WingAL_WeightTransfer	Kanatlar >> 11
PalmarL_WeightTransfer	El >> 3 .5
HeadWingAL_WeightTransfer	Kulak Kanadı >> 4
BrowL_WeightTransfer	Kaş >> 10
BrowR_WeightTransfer	Kaş << 10
MustacheA_WeightTransfer	Sakal B 7
TailC_WeightTransfer	Kuyruk 21
FrameHair_BranchL_WeightTransfer	Saç Kalkıklığı >> 4
HandL_Middle_WeightTransfer	El >> 3 .1
HandL_Thumb_WeightTransfer	El >> 3 .2
NeckwearA_WeightTransfer	Boyun Takıları A 7
WingER_Lower_WeightTransfer	Kanatlar << 15 .3
WingEL_Upper_WeightTransfer	Kanatlar >> 15 .1
WingGL_Outter_WeightTransfer	Kanatlar >> 17 .1
WingCL_Upper_WeightTransfer	Kanatlar >> 13 .1
WingGR_Inner_WeightTransfer	Kanatlar << 17 .2
WingCR_Upper_WeightTransfer	Kanatlar << 13 .1
EarL_WeightTransfer	Kulaklar 2 >>
EarR_WeightTransfer	Kulaklar 2 <<
CapeBack_WeightTransfer	Pelerin Arkası 4
CapeFront_WeightTransfer	Pelerin Önü 7
WingEL_Middle_WeightTransfer	Kanatlar >> 15 .2
WingFR_Upper_WeightTransfer	Kanatlar << 16 .1
AntennaR_WeightTransfer	Anten << 3
AnimalEarAR_WeightTransfer	Hayvan Kulağı << 10
WingDL_WeightTransfer	Kanatlar >> 14
AnimalEarCL_WeightTransfer	Hayvan Kulağı >> 12
WingGL_Inner_WeightTransfer	Kanatlar >> 17 .2
Halo_WeightTransfer	Hale 7
FinR_WeightTransfer	Yüzgeç << 2
HatB_WeightTransfer	Şapka 10
AnimalEarAL_WeightTransfer	Hayvan Kulağı >> 10
TailB_WeightTransfer	Kuyruk 20
HandL_Little_WeightTransfer	El >> 3 .3
HandL_Index_WeightTransfer	El >> 3 .4
FinL_WeightTransfer	Yüzgeç >> 2
AntennaL_WeightTransfer	Anten >> 3
PonytailAR_WeightTransfer	Saç Topuzu << 25
OutfitInner_WeightTransfer	Kıyafet İçi 9
MustacheB_WeightTransfer	Sakal B 8
PonytailB_WeightTransfer	Saç At Kuyruğu 16
HairBandA_WeightTransfer	Saç Bandı A 3
HairBang_SideR_WeightTransfer	Kahkül << 13
EyepatchB_WeightTransfer	Göz bandı 8
WingFL_Lower_WeightTransfer	Kanatlar >> 16 .2
WingBL_WeightTransfer	Kanatlar >> 12
PonytailCL_WeightTransfer	Saç Topuzu >> 26
HairbandB_WeightTransfer	Saç Bandı B 5
BeardA_WeightTransfer	Sakal A 9
PonytailAL_WeightTransfer	Saç Topuzu >> 25
AnimalEarBR_WeightTransfer	Hayvan Kulağı << 11
EyelashR_WeightTransfer	Gözler 4 | Kirpikler <<
GillR_WeightTransfer	Solungaç << 2
PiercingAL_WeightTransfer	Pirsing A >> 6
PiercingAR_WeightTransfer	Pirsing A << 6
WingFR_Lower_WeightTransfer	Kanatlar << 16 .2
WingFL_Upper_WeightTransfer	Kanatlar >> 16 .1
HairBandC_WeightTransfer	Saç Bandı D 3
HornL_WeightTransfer	Boynuz >> 8
HornR_WeightTransfer	Boynuz << 8
EyelashL_WeightTransfer	Gözler 4 | Kirpikler >>
GillL_WeightTransfer	Solungaç >> 2
HornFrontL_WeightTransfer	Ön Boynuz >> 3
HornFrontR_WeightTransfer	Ön Boynuz << 3
WingDR_WeightTransfer	Kanatlar << 14
FrameHair_BranchR_WeightTransfer	Saç Kalkıklığı << 4
HeadWingAR_WeightTransfer	Kulak Kanadı << 4
HornFrontM_WeightTransfer	Ön Boynuz >< 2
WingGR_Outter_WeightTransfer	Kanatlar << 17 .1
EyeDollarR_WeightTransfer	Göz Paracık << 4 + 5
EyeHeartL_WeightTransfer	Göz Kalp >> 4 + 5
EyeHeartR_WeightTransfer	Göz Kalp << 4 + 5
EyeHighlightCryL_WeightTransfer	Gözler 4 + 5 >> | Ağla
EyeHighlightCryR_WeightTransfer	Gözler 4 + 5 << | Ağla
EyeL_WeightTransfer	Gözler >> 4 + 5
EyeR_WeightTransfer	Gözler << 4 + 5
EyeSparklingL_WeightTransfer	Göz Parıltısı >> 4 + 5
EyeSparklingR_WeightTransfer	Göz Parıltısı << 4 + 5
EyeSpiralL_WeightTransfer	Göz Spiral >> 4 + 5
EyeSpiralR_WeightTransfer	Göz Spiral << 4 + 5
AnimalEarCR_WeightTransfer	Hayvan Kulağı << 12
WingAR_WeightTransfer	Kanatlar << 11
PonytailCR_WeightTransfer	Saç Topuzu << 26
PiercingBL_WeightTransfer	Pirsing B >> 6
PiercingBR_WeightTransfer	Pirsing B << 6
HandL_WeightTransfer	El >> 3
HandR_Index_WeightTransfer	El << 3 .4
HandR_Little_WeightTransfer	El << 3 .3
HandR_Middle_WeightTransfer	El << 3 .1
HandR_Thumb_WeightTransfer	El << 3 .2
HandR_WeightTransfer	El << 3
PalmarR_WeightTransfer	El << 3 .5
WingCL_Lower_WeightTransfer	Kanatlar >> 13
WingCR_Lower_WeightTransfer	Kanatlar << 13
WingBR_WeightTransfer	Kanatlar << 12
EyeDollarL_WeightTransfer	Göz Paracık >> 4 + 5
ClownWig	Palyaço 1
FireA1	Ateş
ElectricFan	Elektrikli Fan
Cheese	Peynir
ElectricFanBlades	Elektrikli Fan Kanatları
Guitar_Outline	Gitar Anahattı
Guitar_Color1	Gitar Rengi 1
PaperFanSticks	Katlanır Yelpaze 2
PaperFanLeaf	Katlanır Yelpaze 1
Stool	Dışkı
Slipper	Terlik
Guitar_Color2	Gitar Rengi 2
WinkStar	Göz Kırpma Yıldızı
ClownNose	Palyaço 2
Guitar_Color3	Gitar Rengi 3
SideHairA7_Color	Saçın Yanı 13
PonytailA3_Gradient	Saç At Kuyruğu 6
SideHairA2_Gradient	Saçın Yanı 4
SideHairB5_Color	Saçın Yanı 25
SideHairB3_Gradient	Saçın Yanı 22
PonytailA2_Outline	Saç At Kuyruğu Anahattı 3 + 4
PonytailB2_Outline	Saç At Kuyruğu Anahattı 13 + 14
PonytailB2_Color	Saç At Kuyruğu 13
Outer7_Outline	Kıyafet Dışı Anahat 7
Outer1_Outline	Kıyafet Dışı Anahat 1
Hand_Color	El 1
LaptopLight3	Dizüstü Bilgisayar Işığı 3
Finger	ovmak 1
Scissor	Kesim (Makas)
BoopHand	Bop
Trophy	Kupa 1
ProgressBar	İlerleme Çubuğu Kabı
Progress	İlerleme Çubuğu Doldurma
