SpriteName	Hu
ElfEar_Outline	Fül Vázlat 1.1
Outer4_Color	(Külső ruházat) Outfit Outer 4
Outer3_Color	(Külső ruházat) Outfit Outer 3
HairHighlight5_Outline	Hajkiemelés >< Vázlat 3 +4
SideHair_Branch_C1_Outline	Haj oldalág körvonala C 1
Stylus	(Érintőceruza) Stylus
Tear2_Outline	(Szem könny) Eye Tear 3
Donut1	Fánk 1
Donut2	Fánk 2
SideHair_Branch_A1_Outline	Haj oldalág körvonala A 1
Eye1_Light	Szem írisz fénye 1 + 2
Angry2	Dühös matrica 2
WingF1_Upper_Color	Szárny 9 .1
NeckwearB2_Color	(Ruházat Nyakruha) Outfit Neckwear B 1 + 2
SideHair_Branch_A1_Color	Haj oldalág A 1
SignRoundText1	Kerek jel szöveg
Collar2_Outline	Outfit gallér vázlat 2
MusicalNote2	Hangjegy 2
FacialHair_B4_Color	Arcszőrzet B 4
Mecha2_Color	Mecha 2
Six	Hat szám
PointHand	Pontos kéz
HairClip8_Color	Hajcsat 8
FaceFeatureB1	Arcvonás B 1
Pigtail_B2_Gradient	Haj Pigtail (Hajfarok) 20
Main8_Color	Outfit belső 8
Tear2_Color	(Szem könny) Eye Tear 2
Eye3_Dark	Szem Iris Sötét 3
Outer4_Outline	(ruházat) Outfit külső körvonala 4
Glasses_Lens1	Szemüveg Lens 1
WingA3_Outline	Szárny Vázlat 3
Ahoge_B2_Color	Haj Ahoge 6
CapeFront1_Outline	(Köpeny eleje) Cape Front | (Köpeny) Cape körvonala 1
Cake	Torta
WingD1_Color	Szárny 6
Pigtail_B1_Gradient	Haj Pigtail (Hajfarok) 18
Outer7_Color	(Külső ruházat) Outfit Outer 7
Ahoge_B1_Outline	Haj Ahoge vázlat 5
HornM1_Outline	Kürt Elöl >< Vázlat 1
HornF2_Color	Kürt Elöl 2
CapeFront4_Color	(Köpeny eleje) Cape Front 4
FrameHair_Branch_A3_Color	Hajág 3
Main2_Outline	Outfit belső körvonala 2
Wing1_Outline	Fülszárny Vázlat 1
WingD2_Upper_Outline	Szárny Vázlat 7 .1
Mecha4_Color	Mecha 4
Horn1_Outline	Kürt Vázlat 1
WingA2_Color	Szárny 2
EasterEggBasket	húsvéti 4
Mecha4_Outline	Mecha körvonal 4
Antenna2_Color	Antenna 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Haj Ahoge vázlat 3
Main1_Outline	Outfit belső körvonala 1
Horn2_Color	Kürt 2
HairBang4_Middle_Gradient	(Hajfrizura) Hair Bang >< 8
CapeFront3_Color	(Köpeny eleje) Cape Front 3
Notepad	Jegyzettömb
Outer5_Color	(Külső ruházat) Outfit Outer 5
WingA3_Color	Szárny 3
WingB1_Color	Szárny 4
Pistol	Pisztoly
Horn7_Color	Kürt 7
Bottle	Coke Shake
Outer6_Color	(Külső ruházat) Outfit Outer 6
Laugh2	Nevetés matrica 2
FrameHair_B1_Gradient	Hajkeretezés 24
Outer5_Outline	(ruházat) Outfit külső körvonala 5
FrameHair_Top_Outline	Hajkeretezés top Vázlat
WingG1_Inner_Color	Szárny 10 .2
HairBang5_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 9 + 10
Beer	Egészségére
HairBang4_Middle_Color	(Hajfrizura) Hair Bang >< 7
TailE1_Outline	Farok körvonala 12
TailC2_Color	Farok 9
HornF2_Outline	Kürt Vázlat 9
HairBang2_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 3 + 4
Ahoge_B2_Outline	Haj Ahoge vázlat 6
Bell	Harang 2
FrameHair_Branch_A3_Outline	Hajág körvonala 3
FrameHair_A3_Color	Hajkeretezés 5
FrameHair_A3_Gradient	Hajkeretezés 6
Horn2_Outline	Kürt Vázlat 2
Outer6_Outline	(ruházat) Outfit külső körvonala 6
WingD2_Upper_Color	Szárny 7 .1
Antenna2_Outline	Antenna Vázlat 2
TailB5_Outline	Farok körvonala 7
HairBang5_Middle_Gradient	(Hajfrizura) Hair Bang >< 10
HairBang1_Middle_Color	(Hajfrizura) Hair Bang >< 1
QuestionMark	Matrica kérdőjel
Horn3_Color	Kürt 3
SignSquareText1	Négyzet alakú jel szöveg
Antenna1_Color	Antenna 1
FrameHair_A2_Gradient	Hajkeretezés 4
HairHighlight1_Outline	Hajkiemelés Vázlat 1 << + 1 >>
TailD1_Color	Farok 11
HairBang6_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 11 + 12
HairBang7_Middle_Gradient	(Hajfrizura) Hair Bang >< 14
HairBang6_Middle_Color	(Hajfrizura) Hair Bang >< 11
HairBang6_Middle_Gradient	(Hajfrizura) Hair Bang >< 12
CapeFront4_Outline	(Köpeny eleje) Cape Front | (Köpeny) Cape körvonala 4
FrameHair_A2_Color	Hajkeretezés 3
FacialHair_A1_Outline	Arcszőrzet Vázlat A 1
HairBang1_Middle_Gradient	(Hajfrizura) Hair Bang >< 2
HornM1_Color	Kürt Elöl >< 1
TailB4_Color	Farok 6
TailB2_Color	Farok 4
Pigtail_B2_Color	Haj Pigtail (Hajfarok) 19
Fin1_Color	Fin 1
TailB3_Outline	Farok körvonala 5
Halo1_Color	Halo (Glória) 1
TailB2_Outline	Farok körvonala 4
FrameHair_A3_Outline	Hajkeretezés Vázlat 5 + 6
FrameHair_B1_Color	Hajkeretezés 23
HairClip7_Color	Hajcsat 7
FacialHair_A6_Color	Arcszőrzet A 6
FacialHair_A3_Outline	Arcszőrzet A 3
Halo1_Outline	Halo Outline (Glória körvonal) 1
Hairband7_Color	Hajpánt C 1
Keyboard	Normál típus 3
FrameHair_A6_Outline	Hajkeretezés Vázlat 11 + 12
VolumeOff	Matrica kötet 2
PalmarGlove1_Color	Kéz 2 .2
FacialHair_A6_Outline	Arcszőrzet Vázlat A 6
TailB1_Outline	Farok körvonala 3
Pigtail_A1_Gradient	Haj Pigtail (Hajfarok) 2
FrameHair_A4_Gradient	Hajkeretezés 8
KitchenKnife	Konyhai kés
Halo2_Color	Halo (Glória) 2
FrameHair_A6_Gradient	Hajkeretezés 12
HairShine5_Color	Hajfény 9 + 10
FrameHair_B2_Color	Hajkeretezés 25
FacialHair_B1_Outline	Arcszőrzet Vázlat B 1
Main3_Outline	Outfit belső körvonala 3
Main4_Outline	Outfit belső körvonala 4
Main7_Outline	Outfit belső körvonala 7
HatA2_Color	Kalap 2
Pigtail_C2_Outline	Haj Pigtail (Hajfarok) Vázlat 23 + 24
Main1_Color	Outfit belső 1
Eyepatch2_Outline	Szemtapasz körvonala 3 + 4
SideHair_Branch_C2_Color	Haj oldalág C 2
HairHighlight6_Outline	Hajkiemelés >< Vázlat 5 + 6
SideHair_Branch_C1_Color	Haj oldalág C 1
Eyepatch1_Outline	Szemtapasz körvonala 1 + 2
AlertCoin_Outline	Matrica figyelmeztetés vázlata 3
Eye_Dum_Outline	Szem(Dum) körvonal 1 + 2
FrameHair_Branch_A2_Outline	Hajág körvonala 2
Main5_Color	Outfit belső 5
Pompom	Pompon
HairClip10_Outline	Hajcsat Vázlat 10
WaveHand	Hullám kéz
HeartItem	Szív
FrameHair_Branch_A2_Color	Hajág 2
FrameHair_Branch_A1_Outline	Hajág körvonala 1
Eye_Dum_Color	Szem fehér
AlertCoin_Color	Matrica figyelmeztetés 3
Button	Gomb
SideHair_Branch_B2_Outline	Haj oldalág körvonala B 2
Face_Shadow	Arcárnyék
AlertStar_Outline	Matrica figyelmeztetés vázlata 5
Pigtail_C1_Outline	Haj Pigtail (Hajfarok) Vázlat 21 + 22
AlertHeart_Outline	Matrica figyelmeztetés vázlata 1
AlertLike_Color	Matrica figyelmeztetés 4
AlertStar_Color	Matrica figyelmeztetés 5
Sleep	Alvó matrica
Square	Ajtó/fal | Jail Grill (Börtönrácsok) | Külső takaró
SideHair_Branch_A2_Color	Haj oldalág A 2
Beverage	Italpohár 3
HairClip8_Outline	Hajcsat Vázlat 8
HairClip9_Outline	Hajcsat Vázlat 9
GiftBox	Ajándék 1
Mecha5_Outline	Mecha körvonal 5
WingC1_Lower_Color	Szárny 5 .2
Gill3_Color	Kopoltyú 1 .3
FacialHair_B6_Outline	Arcszőrzet Vázlat B 6
HairClip10_Color	Hajcsat 10
SideHair_Branch_B2_Color	Haj oldalág B 2
SideHair_Branch_B1_Color	Haj oldalág B 1
Bowl	Tál
Pigtail_C1_Color	Haj Pigtail (Hajfarok) 21
Pigtail_C1_Gradient	Haj Pigtail (Hajfarok) 22
HairClip7_Outline	Hajcsat Vázlat 7
HairHighlight5_Color	Hajkiemelés >< 3 + 4
HairClip6_Outline	Hajcsat Vázlat 6
Bill1	Számla 1
LubricantSpray	Permet
Ahoge_A1_Outline	Haj Ahoge vázlat 1
Gill1_Outline	Gill vázlat (Kopoltyúvázlat) 1 .1
FacialHair_B6_Color	Arcszőrzet B 6 
Heart	Matrica szív
Popper	(konfetti kánon) Popper
Pencil	Ceruza
Ahoge_A3_Color	Haj Ahoge 3
BeverageCup	Italpohár
Mouth_Popcat2	Popcat | Száj 2
HairClip9_Color	Hajcsat 9
AlertBits_Color	Matrica figyelmeztetés 6
Seven	Number Seven
PhoneFront	Telefon 1
Gill2_Outline	Gill vázlat (Kopoltyúvázlat) 1 .2
FrameHair_B2_Outline	Hajkeretezés Vázlat 25 + 26
NeckwearB7_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 7
Angry1	Dühös matrica 1
Cup	Csésze
Phone	Telefon 2
Palmar_Outline	Kéz 1 .14
FrameHair_B1_Outline	Hajkeretezés Vázlat 23 + 24
WingD2_Lower_Color	Szárny 7 .2
HairClip11_Outline	Hajcsat Vázlat 11
RedPacket	(Piros csomag) RedPacket 1
HairClip12_Outline	Hajcsat Vázlat 12
Gill1_Color	Kopoltyú 1 .1
Eye1_Dark	Szem Iris Sötét 1 + 2
NeckwearB3_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 3
LightBulb	Matrica villanykörte
Mecha3_Color	Mecha 3
Mecha6_Outline	Mecha körvonal 6
Ahoge_A1_Color	Haj Ahoge 1
WingA1_Outline	Szárny Vázlat 1
RedPacketCoin1	(Piros csomag) RedPacket 5
SweatBlue	Izzadt matrica nagy
HornF1_Color	Kürt Elöl 1
Sparkle	Csillog
Ahoge_A2_Outline	Haj Ahoge vázlat 
FaceFeatureC2	Arcvonás C 2
Glove1_Outline	Kesztyű Vázlat
PalmGlove1_Color	Kéz 2 .3
PalmGlove1_Outline	Kéz 2 .4
FacialHair_B2_Outline	Arcszőrzet B 2
Mecha6_Color	Mecha 6
CapeFront1_Color	(Köpeny eleje) Cape Front 1
HairClip4_Color	Hajcsat 4
NeckwearB1_Color	(Ruházat Nyakruha) Outfit Neckwear B 2
Cheek1	(Orca) Pofa 1
Lubricant	Kenőanyag
Ahoge_A4_Outline	Haj Ahoge vázlat 4
Angry3	Dühös matrica 3
Microphone	Mikrofon
NeckwearB4_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 4
WingE1_Middle_Outline	Szárny Vázlat 8 .2
FacialHair_B2_Color	Arcszőrzet B 2
Collar4_Outline	Outfit gallér vázlat 4
TailF3_Outline	Farok körvonala 17
Donut4	Fánk 4
Laugh3	Nevetés matrica 3
Tear1	(Szem könny) Eye Tear 1
NeckwearA6_Outline	(Ruházat Nyakruha) Outfit Neckwear A körvonal 6
Confetti1	Konfetti 4
Eye_Dum_Pupil	Szem(Dum) Pupilla
NeckwearB2_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 1 + 2
FrameHair_B4_Color	Hajkeretezés 29
FrameHair_B4_Gradient	Hajkeretezés 30
NeckwearB6_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 6
Eye_Popcat_Dark	Dum 3 | Szem | Popcat keret 2
HairClip2_Outline	Hajcsat Vázlat 2
FrameHair_B2_Gradient	Hajkeretezés 26
Hand_Outline	Kéz 1 .15
Glove1_Color	Kesztyű
NeckwearA1_Outline	(Ruházat Nyakruha) Outfit Neckwear A körvonal 1
WingE1_Lower_Outline	Szárny Vázlat 8 .3
Mouse	Egér
Collar5_Color	Outfit gallér belső 5
Tie1_Outline	(Ruházat Nyakruha) Outfit Neckwear C körvonal 1
Eyebag	Szemtáska
WingG1_Outter_Outline	Szárny Vázlat 10 .1
Laugh1	Nevetés matrica 1
Popcorn	Egyél (pattogatott kukorica) 2
NeckwearA5_Outline	(Ruházat Nyakruha) Outfit Neckwear A körvonal 5
BeverageLiquid	Folyékony ital
Eye3_HighlightCry	Szem 3 | Sírás
Eye3_Sparkling	Szem csillogó 3
Confetti2	Konfetti 5
Eye3_Spiral	Szemspirál 3
FacialHair_B1_Color	Arcszőrzet B 1
PhoneScreenPattern2	Telefon képernyő 2
VolumeOn	Matrica kötet 3
FacialHair_B4_Outline	Arcszőrzet Vázlat B 4
Collar5_Outline	Outfit gallér vázlat 5
WingEL_Lower_WeightTransfer	Szárny >> 15 .3
NeckwearB1_WeightTransfer	(Ruházat Nyakruha) Outfit Neckwear B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	(Hajfrizura) Hair Bang >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Szemüveg 4
AhogeA_WeightTransfer	Haj Ahoge 7
BackHair_WeightTransfer	Haj Hátsó 7
AnimalEarBL_WeightTransfer	Állati fül >> 11
EyepatchA_WeightTransfer	Szemtapasz 7
TailD_WeightTransfer	Farok 22
HairBang_Middle_WeightTransfer	(Hajfrizura) Hair Bang >< 15
Face_WeightTransfer	Arcvonás C 3
NeckwearB2_WeightTransfer	(Ruházat Nyakruha) Outfit Neckwear B 9
EarringBR_WeightTransfer	Fülbevaló << 12
EarringBL_WeightTransfer	Fülbevaló >> 12
NeckwearC_WeightTransfer	(Ruházat Nyakruha) Outfit Neckwear C 4
HatC_WeightTransfer	Kalap 11
TailFSoft_WeightTransfer	Farok 25
TailFHard_WeightTransfer	Farok 24
EarringAR_WeightTransfer	Fülbevaló << 11
EarringAL_WeightTransfer	Fülbevaló >> 11
HatA_WeightTransfer	Kalap 9
LegR_WeightTransfer	Láb << 2
LegL_WeightTransfer	Láb >> 2
HatD_WeightTransfer	Kalap 12
FrameHair_WeightTransfer	Hajkeretezés >< 
TailE_WeightTransfer	Farok 23
TailA_WeightTransfer	Farok 19
SideHairB_WeightTransfer	Hajoldal 34
SideHairA_WeightTransfer	Hajoldal 33
PonytailA_WeightTransfer	Haj lófarok 15
WingER_Upper_WeightTransfer	Szárny << 15 .1
WingER_Middle_WeightTransfer	Szárny << 15 .2
OutfitOuter_WeightTransfer	(Külső ruházat) Outfit Outer 8
WingAL_WeightTransfer	Szárny >> 11
PalmarL_WeightTransfer	Kéz >> 3 .5
HeadWingAL_WeightTransfer	Fülszárny >> 4
BrowL_WeightTransfer	Szemöldök >> 10
BrowR_WeightTransfer	Szemöldök << 10
MustacheA_WeightTransfer	Arcszőrzet B 7
TailC_WeightTransfer	Farok 21
FrameHair_BranchL_WeightTransfer	Hajág >> 4
HandL_Middle_WeightTransfer	Kéz >> 3 .1
HandL_Thumb_WeightTransfer	Kéz >> 3 .2
NeckwearA_WeightTransfer	(Ruházat Nyakruha) Outfit Neckwear A 7
WingER_Lower_WeightTransfer	Szárny << 15 .3
WingEL_Upper_WeightTransfer	Szárny >> 15 .1
WingGL_Outter_WeightTransfer	Szárny >> 17 .1
WingCL_Upper_WeightTransfer	Szárny >> 13 .1
WingGR_Inner_WeightTransfer	Szárny << 17 .2
WingCR_Upper_WeightTransfer	Szárny << 13 .1
EarL_WeightTransfer	Fül 2 >>
EarR_WeightTransfer	Fül 2 <<
CapeBack_WeightTransfer	(Köpeny hátulja) Cape Back 4
CapeFront_WeightTransfer	(Köpeny eleje) Cape Front 7
WingEL_Middle_WeightTransfer	Szárny >> 15 .2
WingFR_Upper_WeightTransfer	Szárny << 16 .1
AntennaR_WeightTransfer	Antenna << 3
AnimalEarAR_WeightTransfer	Állati fül << 10
WingDL_WeightTransfer	Szárny >> 14
AnimalEarCL_WeightTransfer	Állati fül >> 12
WingGL_Inner_WeightTransfer	Szárny >> 17 .2
Halo_WeightTransfer	Halo (Glória) 7
FinR_WeightTransfer	Fin << 2
HatB_WeightTransfer	Kalap 10
AnimalEarAL_WeightTransfer	Állati fül >> 10
TailB_WeightTransfer	Farok 20
HandL_Little_WeightTransfer	Kéz >> 3 .3
HandL_Index_WeightTransfer	Kéz >> 3 .4
FinL_WeightTransfer	Fin >> 2
AntennaL_WeightTransfer	Antenna >> 3
PonytailAR_WeightTransfer	Haj Pigtail (Hajfarok) << 25
OutfitInner_WeightTransfer	Outfit belső 9
MustacheB_WeightTransfer	Arcszőrzet B 8
PonytailB_WeightTransfer	Haj lófarok 16
HairBandA_WeightTransfer	Hajpánt A 3
HairBang_SideR_WeightTransfer	(Hajfrizura) Hair Bang << 13
EyepatchB_WeightTransfer	Szemtapasz 8
WingFL_Lower_WeightTransfer	Szárny >> 16 .2
WingBL_WeightTransfer	Szárny >> 12
PonytailCL_WeightTransfer	Haj Pigtail (Hajfarok) >> 26
HairbandB_WeightTransfer	Hajpánt B 5
BeardA_WeightTransfer	Arcszőrzet A 9
PonytailAL_WeightTransfer	Haj Pigtail (Hajfarok) >> 25
AnimalEarBR_WeightTransfer	Állati fül << 11
EyelashR_WeightTransfer	Szem 4 | Szempilla <<
GillR_WeightTransfer	Kopoltyú << 2
PiercingAL_WeightTransfer	Piercing A >> 6
PiercingAR_WeightTransfer	Piercing A << 6
WingFR_Lower_WeightTransfer	Szárny << 16 .2
WingFL_Upper_WeightTransfer	Szárny >> 16 .1
HairBandC_WeightTransfer	Hajpánt D 3
HornL_WeightTransfer	Kürt >> 8
HornR_WeightTransfer	Kürt << 8
EyelashL_WeightTransfer	Szem 4 | Szempilla >>
GillL_WeightTransfer	Kopoltyú >> 2
HornFrontL_WeightTransfer	Kürt Elöl >> 3
HornFrontR_WeightTransfer	Kürt Elöl << 3
WingDR_WeightTransfer	Szárny << 14
FrameHair_BranchR_WeightTransfer	Hajág << 4
HeadWingAR_WeightTransfer	Fülszárny << 4
HornFrontM_WeightTransfer	Kürt Elöl >< 2
WingGR_Outter_WeightTransfer	Szárny << 17 .1
EyeDollarR_WeightTransfer	Szem dollár << 4 + 5
EyeHeartL_WeightTransfer	Szem Szív >> 4 + 5
EyeHeartR_WeightTransfer	Szem Szív << 4 + 5
EyeHighlightCryL_WeightTransfer	Szem 4 + 5 >> | Sírás
EyeHighlightCryR_WeightTransfer	Szem 4 + 5 << | Sírás
EyeL_WeightTransfer	Szem >> 4 + 5
EyeR_WeightTransfer	Szem << 4 + 5
EyeSparklingL_WeightTransfer	Szem csillogó >> 4 + 5
EyeSparklingR_WeightTransfer	Szem csillogó << 4 + 5
EyeSpiralL_WeightTransfer	Szemspirál >> 4 + 5
EyeSpiralR_WeightTransfer	Szemspirál << 4 + 5
AnimalEarCR_WeightTransfer	Állati fül << 12
WingAR_WeightTransfer	Szárny << 11
PonytailCR_WeightTransfer	Haj Pigtail (Hajfarok) << 26
PiercingBL_WeightTransfer	Piercing B >> 6
PiercingBR_WeightTransfer	Piercing B << 6
HandL_WeightTransfer	Kéz >> 3
HandR_Index_WeightTransfer	Kéz << 3 .4
HandR_Little_WeightTransfer	Kéz << 3 .3
HandR_Middle_WeightTransfer	Kéz << 3 .1
HandR_Thumb_WeightTransfer	Kéz << 3 .2
HandR_WeightTransfer	Kéz << 3
PalmarR_WeightTransfer	Kéz << 3 .5
WingCL_Lower_WeightTransfer	Szárny >> 13
WingCR_Lower_WeightTransfer	Szárny << 13
WingBR_WeightTransfer	Szárny << 12
EyeDollarL_WeightTransfer	Szem dollár >> 4 + 5
ClownWig	Bohóc 1
FireA1	Ütés
ElectricFan	Elektromos ventilátor
Cheese	Sajt
ElectricFanBlades	Elektromos ventilátorlapátok
Guitar_Outline	Gitár vázlat
Guitar_Color1	Gitár színe 1
PaperFanSticks	Összecsukható ventilátor 2
PaperFanLeaf	Összecsukható ventilátor 1
Stool	Széklet
Slipper	Papucs
Guitar_Color2	Gitár színe 2
WinkStar	(Kacsintás Csillag) Wink Star
ClownNose	Bohóc 2
Guitar_Color3	Gitár színe 3
SideHairA7_Color	Hajoldal 13
PonytailA3_Gradient	Haj lófarok 6
SideHairA2_Gradient	Hajoldal 4
SideHairB5_Color	Hajoldal 25
SideHairB3_Gradient	Hajoldal 22
PonytailA2_Outline	Haj lófarok vázlat 3 + 4
PonytailB2_Outline	Haj lófarok vázlat 13 + 14
PonytailB2_Color	Haj lófarok 13
Outer7_Outline	(ruházat) Outfit külső körvonala 7
Outer1_Outline	(ruházat) Outfit külső körvonala 1
Hand_Color	Kéz 1
LaptopLight3	Laptop fény 3
Finger	Dörzsölje 1
Scissor	Vágás (olló)
BoopHand	Boop
Trophy	trófea 1
ProgressBar	(Folyamatjelző tároló) Progress Bar Container
Progress	Folyamat sáv kitöltése
