SpriteName	Sv
HairBang5_Middle_Outline	Hårlugg >< Kontur 9 + 10
Beer	Skål
HairBang4_Middle_Color	Hårlugg >< 7
TailE1_Outline	Svans Kontur 12
TailC2_Color	Svans 9
HornF2_Outline	Horn Kontur 9
HairBang2_Middle_Outline	Hårlugg >< Kontur 3 + 4
Ahoge_B2_Outline	Hår Ahoge Kontur 6
Bell	Klocka 2
FrameHair_Branch_A3_Outline	Hårgren Kontur 3
FrameHair_A3_Color	Hårinramning 5
FrameHair_A3_Gradient	Hårinramning 6
Horn2_Outline	Horn Kontur 2
Outer6_Outline	Outfit yttre Kontur 6
WingD2_Upper_Color	Vinge 7 .1
Antenna2_Outline	Antenn Kontur 2
TailB5_Outline	Svans Kontur 7
HairBang5_Middle_Gradient	Hårlugg >< 10
HairBang1_Middle_Color	Hårlugg >< 1
QuestionMark	Klistermärke frågetecken
Horn3_Color	Horn 3
SignSquareText1	Fyrkantig teckentext
Antenna1_Color	Antenn 1
FrameHair_A2_Gradient	Hårinramning 4
HairHighlight1_Outline	Hårhöjdpunkt Kontur 1 << + 1 >>
TailD1_Color	Svans 11
HairBang6_Middle_Outline	Hårlugg >< Kontur 11 + 12
HairBang7_Middle_Gradient	Hårlugg >< 14
HairBang6_Middle_Color	Hårlugg >< 11
HairBang6_Middle_Gradient	Hårlugg >< 12
CapeFront4_Outline	Framsidan av en kappa | Kappa Kontur 4
FrameHair_A2_Color	Hårinramning 3
FacialHair_A1_Outline	Ansiktshår A Kontur 1
HairBang1_Middle_Gradient	Hårlugg >< 2
HornM1_Color	Horn fram >< 1
TailB4_Color	Svans 6
TailB2_Color	Svans 4
Pigtail_B2_Color	Hår Pigtail 19
Fin1_Color	Fena 1
TailB3_Outline	Svans Kontur 5
Halo1_Color	Halo 1
TailB2_Outline	Svans Kontur 4
FrameHair_A3_Outline	Hårinramning Kontur 5 + 6
FrameHair_B1_Color	Hårinramning 23
HairClip7_Color	Hårklämma 7
FacialHair_A6_Color	Ansiktshår A 6
FacialHair_A3_Outline	Ansiktshår A 3
Halo1_Outline	Halo Kontur 1
Hairband7_Color	Hårband C 1
Keyboard	Skriv Normal 3
FrameHair_A6_Outline	Hårinramning Kontur 11 + 12
VolumeOff	Dekalvolym 2
PalmarGlove1_Color	Hand 2 .2
FacialHair_A6_Outline	Ansiktshår A Kontur 6
TailB1_Outline	Svans Kontur 3
Pigtail_A1_Gradient	Hår Pigtail 2
FrameHair_A4_Gradient	Hårinramning 8
KitchenKnife	Kökskniv
Halo2_Color	Halo 2
FrameHair_A6_Gradient	Hårinramning 12
HairShine5_Color	Hårglans 9 + 10
FrameHair_B2_Color	Hårinramning 25
FacialHair_B1_Outline	Ansiktshår B Kontur 1
Main3_Outline	Outfit Inre Kontur 3
Main4_Outline	Outfit Inre Kontur 4
Main7_Outline	Outfit Inre Kontur 7
HatA2_Color	Hatt 2
Pigtail_C2_Outline	Hår Pigtail Kontur 23 + 24
Main1_Color	Outfit Inre 1
Eyepatch2_Outline	Ögonlapp Kontur 3 + 4
SideHair_Branch_C2_Color	Hårsida Branch C 2
HairHighlight6_Outline	Hårhöjdpunkt >< Kontur 5 + 6
SideHair_Branch_C1_Color	Hårsida Branch C 1
Eyepatch1_Outline	Ögonlapp Kontur 1 + 2
AlertCoin_Outline	Klistermärke Alert Kontur 3
Eye_Dum_Outline	Öga (Dum) Kontur 1 + 2
FrameHair_Branch_A2_Outline	Hårgren Kontur 2
Main5_Color	Outfit Inre 5
Pompom	Pompom
HairClip10_Outline	Hårklämma Kontur 10
WaveHand	Våga Hand
HeartItem	Hjärta
FrameHair_Branch_A2_Color	Hårgren 2
FrameHair_Branch_A1_Outline	Hårgren Kontur 1
Eye_Dum_Color	Ögonvit
AlertCoin_Color	Klistermärke Alert 3
Button	Knapp
SideHair_Branch_B2_Outline	Hårsida Branch B Kontur 2
Face_Shadow	Ansiktsskugga
AlertStar_Outline	Klistermärke Alert Kontur 5
Pigtail_C1_Outline	Hår Pigtail Kontur 21 + 22
AlertHeart_Outline	Klistermärke Alert Kontur 1
AlertLike_Color	Klistermärke Alert 4
AlertStar_Color	Klistermärke Alert 5
Sleep	Väggdekor Sömn
Square	Dörr/Vägg | fängelsegaller | Filt Ytter
SideHair_Branch_A2_Color	Hårsida Branch A 2
Beverage	Dryckeskopp 3
HairClip8_Outline	Hårklämma Kontur 8
HairClip9_Outline	Hårklämma Kontur 9
GiftBox	Gåva 1
Mecha5_Outline	Meka Kontur 5
WingC1_Lower_Color	Vinge 5 .2
Gill3_Color	Gill 1 .3
FacialHair_B6_Outline	Ansiktshår B Kontur 6
HairClip10_Color	Hårklämma 10
SideHair_Branch_B2_Color	Hårsida Branch B 2
SideHair_Branch_B1_Color	Hårsida Branch B 1
Bowl	Skål
Pigtail_C1_Color	Hår Pigtail 21
Pigtail_C1_Gradient	Hår Pigtail 22
HairClip7_Outline	Hårklämma Kontur 7
HairHighlight5_Color	Hårhöjdpunkt >< 3 + 4
HairClip6_Outline	Hårklämma Kontur 6
Bill1	Fakturera 1
LubricantSpray	Spray
Ahoge_A1_Outline	Hår Ahoge Kontur 1
Gill1_Outline	Gill Kontur 1 .1
FacialHair_B6_Color	Ansiktshår B 6 
Heart	Väggdekor Hjärta
Popper	Popper
Pencil	Penna
Ahoge_A3_Color	Hår Ahoge 3
BeverageCup	Dryckeskopp
Mouth_Popcat2	Popcat | Mun 2
HairClip9_Color	Hårklämma 9
AlertBits_Color	Klistermärke Alert 6
Seven	Nummer sju
PhoneFront	Telefon 1
Gill2_Outline	Gill Kontur 1 .2
FrameHair_B2_Outline	Hårinramning Kontur 25 + 26
NeckwearB7_Outline	Outfit Neckwear B Kontur 7
Angry1	Väggdekor Arg 1
Cup	Kopp
Phone	Telefon 2
Palmar_Outline	Hand 1 .14
FrameHair_B1_Outline	Hårinramning Kontur 23 + 24
WingD2_Lower_Color	Vinge 7 .2
HairClip11_Outline	Hårklämma Kontur 11
RedPacket	Rött paket 1
HairClip12_Outline	Hårklämma Kontur 12
Gill1_Color	Gill 1 .1
Eye1_Dark	Öga Iris mörk 1 + 2
NeckwearB3_Outline	Outfit Neckwear B Kontur 3
LightBulb	Klistermärke Glödlampa
Mecha3_Color	Meka 3
Mecha6_Outline	Meka Kontur 6
Ahoge_A1_Color	Hår Ahoge 1
WingA1_Outline	Vinge Kontur 1
RedPacketCoin1	Rött paket 5
SweatBlue	Väggdekor Svett Large
HornF1_Color	Horn fram 1
Sparkle	Glimt
Ahoge_A2_Outline	Hår Ahoge Kontur 
FaceFeatureC2	Ansiktsfunktion C 2
Glove1_Outline	Handske Kontur
PalmGlove1_Color	Hand 2 .3
PalmGlove1_Outline	Hand 2 .4
FacialHair_B2_Outline	Ansiktshår B 2
Mecha6_Color	Meka 6
CapeFront1_Color	Framsidan av en kappa 1
HairClip4_Color	Hårklämma 4
NeckwearB1_Color	Outfit Neckwear B 2
Cheek1	Kind 1
Lubricant	Smörjmedel
Ahoge_A4_Outline	Hår Ahoge Kontur 4
Angry3	Väggdekor Arg 3
Microphone	Mikrofon
NeckwearB4_Outline	Outfit Neckwear B Kontur 4
WingE1_Middle_Outline	Vinge Kontur 8 .2
FacialHair_B2_Color	Ansiktshår B 2
Collar4_Outline	Outfit krage Kontur 4
TailF3_Outline	Svans Kontur 17
Donut4	Donut 4
Laugh3	Väggdekor Skratt 3
Tear1	Ögatår 1
NeckwearA6_Outline	Outfit Neckwear A Kontur 6
Confetti1	Konfetti 4
Eye_Dum_Pupil	Öga (Dum) Pupill
NeckwearB2_Outline	Outfit Neckwear B Kontur 1 + 2
FrameHair_B4_Color	Hårinramning 29
FrameHair_B4_Gradient	Hårinramning 30
NeckwearB6_Outline	Outfit Neckwear B Kontur 6
Eye_Popcat_Dark	Dum 3 | Öga | Popcat ram 2
HairClip2_Outline	Hårklämma Kontur 2
FrameHair_B2_Gradient	Hårinramning 26
Hand_Outline	Hand 1 .15
Glove1_Color	Handske
NeckwearA1_Outline	Outfit Neckwear A Kontur 1
WingE1_Lower_Outline	Vinge Kontur 8 .3
Mouse	Mus
Collar5_Color	Outfit Krage Inner 5
Tie1_Outline	Outfit Neckwear C Kontur 1
Eyebag	Ögonpåse
WingG1_Outter_Outline	Vinge Kontur 10 .1
Laugh1	Väggdekor Skratt 1
Popcorn	Ät (popcorn) 2
NeckwearA5_Outline	Outfit Neckwear A Kontur 5
BeverageLiquid	Dryckesvätska
Eye3_HighlightCry	Öga 3 | Gråt
Eye3_Sparkling	Glittrande öga 3
Confetti2	Konfetti 5
Eye3_Spiral	Ögonspiral 3
FacialHair_B1_Color	Ansiktshår B 1
PhoneScreenPattern2	Telefonskärm 2
VolumeOn	Dekalvolym 3
FacialHair_B4_Outline	Ansiktshår B Kontur 4
Collar5_Outline	Outfit krage Kontur 5
WingEL_Lower_WeightTransfer	Vinge >> 15 .3
NeckwearB1_WeightTransfer	Outfit Neckwear B 8
FloatingL_WeightTransfer	Meka >> 7
HairBang_SideL_WeightTransfer	Hårlugg >> 13
FloatingR_WeightTransfer	Meka << 7
Glasses_WeightTransfer	Glasögon 4
AhogeA_WeightTransfer	Hår Ahoge 7
BackHair_WeightTransfer	Hår bak 7
AnimalEarBL_WeightTransfer	Djuröra >> 11
EyepatchA_WeightTransfer	Ögonlapp 7
TailD_WeightTransfer	Svans 22
HairBang_Middle_WeightTransfer	Hårlugg >< 15
Face_WeightTransfer	Ansiktsfunktion C 3
NeckwearB2_WeightTransfer	Outfit Neckwear B 9
EarringBR_WeightTransfer	Örhänge << 12
EarringBL_WeightTransfer	Örhänge >> 12
NeckwearC_WeightTransfer	Outfit Neckwear C 4
HatC_WeightTransfer	Hatt 11
TailFSoft_WeightTransfer	Svans 25
TailFHard_WeightTransfer	Svans 24
EarringAR_WeightTransfer	Örhänge << 11
EarringAL_WeightTransfer	Örhänge >> 11
HatA_WeightTransfer	Hatt 9
LegR_WeightTransfer	Ben << 2
LegL_WeightTransfer	Ben >> 2
HatD_WeightTransfer	Hatt 12
FrameHair_WeightTransfer	Hårinramning >< 
TailE_WeightTransfer	Svans 23
TailA_WeightTransfer	Svans 19
SideHairB_WeightTransfer	Hårsida 34
SideHairA_WeightTransfer	Hårsida 33
PonytailA_WeightTransfer	Hår hästsvans 15
WingER_Upper_WeightTransfer	Vinge << 15 .1
WingER_Middle_WeightTransfer	Vinge << 15 .2
OutfitOuter_WeightTransfer	Outfit yttre 8
WingAL_WeightTransfer	Vinge >> 11
PalmarL_WeightTransfer	Hand >> 3 .5
HeadWingAL_WeightTransfer	Öronvinge >> 4
BrowL_WeightTransfer	Bryn >> 10
BrowR_WeightTransfer	Bryn << 10
MustacheA_WeightTransfer	Ansiktshår B 7
TailC_WeightTransfer	Svans 21
FrameHair_BranchL_WeightTransfer	Hårgren >> 4
HandL_Middle_WeightTransfer	Hand >> 3 .1
HandL_Thumb_WeightTransfer	Hand >> 3 .2
NeckwearA_WeightTransfer	Outfit Neckwear A 7
WingER_Lower_WeightTransfer	Vinge << 15 .3
WingEL_Upper_WeightTransfer	Vinge >> 15 .1
WingGL_Outter_WeightTransfer	Vinge >> 17 .1
WingCL_Upper_WeightTransfer	Vinge >> 13 .1
WingGR_Inner_WeightTransfer	Vinge << 17 .2
WingCR_Upper_WeightTransfer	Vinge << 13 .1
EarL_WeightTransfer	Öra 2 >>
EarR_WeightTransfer	Öra 2 <<
CapeBack_WeightTransfer	Baksidan av en kappa 4
CapeFront_WeightTransfer	Framsidan av en kappa 7
WingEL_Middle_WeightTransfer	Vinge >> 15 .2
WingFR_Upper_WeightTransfer	Vinge << 16 .1
AntennaR_WeightTransfer	Antenn << 3
AnimalEarAR_WeightTransfer	Djuröra << 10
WingDL_WeightTransfer	Vinge >> 14
AnimalEarCL_WeightTransfer	Djuröra >> 12
WingGL_Inner_WeightTransfer	Vinge >> 17 .2
Halo_WeightTransfer	Halo 7
FinR_WeightTransfer	Fena << 2
HatB_WeightTransfer	Hatt 10
AnimalEarAL_WeightTransfer	Djuröra >> 10
TailB_WeightTransfer	Svans 20
HandL_Little_WeightTransfer	Hand >> 3 .3
HandL_Index_WeightTransfer	Hand >> 3 .4
FinL_WeightTransfer	Fena >> 2
AntennaL_WeightTransfer	Antenn >> 3
PonytailAR_WeightTransfer	Hår Pigtail << 25
OutfitInner_WeightTransfer	Outfit Inre 9
MustacheB_WeightTransfer	Ansiktshår B 8
PonytailB_WeightTransfer	Hår hästsvans 16
HairBandA_WeightTransfer	Hårband A 3
HairBang_SideR_WeightTransfer	Hårlugg << 13
EyepatchB_WeightTransfer	Ögonlapp 8
WingFL_Lower_WeightTransfer	Vinge >> 16 .2
WingBL_WeightTransfer	Vinge >> 12
PonytailCL_WeightTransfer	Hår Pigtail >> 26
HairbandB_WeightTransfer	Hårband B 5
BeardA_WeightTransfer	Ansiktshår A 9
PonytailAL_WeightTransfer	Hår Pigtail >> 25
AnimalEarBR_WeightTransfer	Djuröra << 11
EyelashR_WeightTransfer	Öga 4 | Ögonfransar <<
GillR_WeightTransfer	Gill << 2
PiercingAL_WeightTransfer	Piercing A >> 6
PiercingAR_WeightTransfer	Piercing A << 6
WingFR_Lower_WeightTransfer	Vinge << 16 .2
WingFL_Upper_WeightTransfer	Vinge >> 16 .1
HairBandC_WeightTransfer	Hårband D 3
HornL_WeightTransfer	Horn >> 8
HornR_WeightTransfer	Horn << 8
EyelashL_WeightTransfer	Öga 4 | Ögonfransar >>
GillL_WeightTransfer	Gill >> 2
HornFrontL_WeightTransfer	Horn fram >> 3
HornFrontR_WeightTransfer	Horn fram << 3
WingDR_WeightTransfer	Vinge << 14
FrameHair_BranchR_WeightTransfer	Hårgren << 4
HeadWingAR_WeightTransfer	Öronvinge << 4
HornFrontM_WeightTransfer	Horn fram >< 2
WingGR_Outter_WeightTransfer	Vinge << 17 .1
EyeDollarR_WeightTransfer	Ögondollar << 4 + 5
EyeHeartL_WeightTransfer	Ögat hjärta >> 4 + 5
EyeHeartR_WeightTransfer	Ögat hjärta << 4 + 5
EyeHighlightCryL_WeightTransfer	Öga 4 + 5 >> | Gråt
EyeHighlightCryR_WeightTransfer	Öga 4 + 5 << | Gråt
EyeL_WeightTransfer	Öga >> 4 + 5
EyeR_WeightTransfer	Öga << 4 + 5
EyeSparklingL_WeightTransfer	Glittrande öga >> 4 + 5
EyeSparklingR_WeightTransfer	Glittrande öga << 4 + 5
EyeSpiralL_WeightTransfer	Ögonspiral >> 4 + 5
EyeSpiralR_WeightTransfer	Ögonspiral << 4 + 5
AnimalEarCR_WeightTransfer	Djuröra << 12
WingAR_WeightTransfer	Vinge << 11
PonytailCR_WeightTransfer	Hår Pigtail << 26
PiercingBL_WeightTransfer	Piercing B >> 6
PiercingBR_WeightTransfer	Piercing B << 6
HandL_WeightTransfer	Hand >> 3
HandR_Index_WeightTransfer	Hand << 3 .4
HandR_Little_WeightTransfer	Hand << 3 .3
HandR_Middle_WeightTransfer	Hand << 3 .1
HandR_Thumb_WeightTransfer	Hand << 3 .2
HandR_WeightTransfer	Hand << 3
PalmarR_WeightTransfer	Hand << 3 .5
WingCL_Lower_WeightTransfer	Vinge >> 13
WingCR_Lower_WeightTransfer	Vinge << 13
WingBR_WeightTransfer	Vinge << 12
EyeDollarL_WeightTransfer	Ögondollar >> 4 + 5
ClownWig	Clown 1
FireA1	Brand
ElectricFan	Elektrisk fläkt
Cheese	Ost
ElectricFanBlades	Elektriska fläktblad
Guitar_Outline	Gitarr Kontur
Guitar_Color1	Gitarrfärg 1
PaperFanSticks	Fällbar fläkt 2
PaperFanLeaf	Fällbar fläkt 1
Stool	Pall
Slipper	Toffel
Guitar_Color2	Gitarrfärg 2
WinkStar	Blinkning Star
ClownNose	Clown 2
Guitar_Color3	Gitarrfärg 3
SideHairA7_Color	Hårsida 13
PonytailA3_Gradient	Hår hästsvans 6
SideHairA2_Gradient	Hårsida 4
SideHairB5_Color	Hårsida 25
SideHairB3_Gradient	Hårsida 22
PonytailA2_Outline	Hår hästsvans Kontur 3 + 4
PonytailB2_Outline	Hår hästsvans Kontur 13 + 14
PonytailB2_Color	Hår hästsvans 13
Outer7_Outline	Outfit yttre Kontur 7
Outer1_Outline	Outfit yttre Kontur 1
Hand_Color	Hand 1
LaptopLight3	Ljus för bärbar dator 3
Finger	Gnid 1
Scissor	Klipp (sax)
BoopHand	Boop
Trophy	Trofé 1
ProgressBar	Förloppsindikator Behållare
Progress	Förloppsindikator Fyll
