SpriteName	Ja
TailD1_Color	しっぽ 11
HairBang6_Middle_Outline	前髪 中央 輪郭 11 + 12
HairBang7_Middle_Gradient	前髪 >< 14
HairBang6_Middle_Color	前髪 >< 11
HairBang6_Middle_Gradient	前髪 >< 12
CapeFront4_Outline	ケープ 前 | ケープ 輪郭 4
FrameHair_A2_Color	顔まわり髪 3
FacialHair_A1_Outline	ひげ A 輪郭 1
HairBang1_Middle_Gradient	前髪 >< 2
HornM1_Color	角 前中央 1
TailB4_Color	しっぽ 6
TailB2_Color	しっぽ 4
Pigtail_B2_Color	おさげ 19
Fin1_Color	ヒレ 1
TailB3_Outline	しっぽ 輪郭 5
Halo1_Color	天使の輪 1
TailB2_Outline	しっぽ 輪郭 4
FrameHair_A3_Outline	 顔まわり髪 輪郭 5 + 6
FrameHair_B1_Color	顔まわり髪 23
HairClip7_Color	ヘアピン 7
FacialHair_A6_Color	ひげ A 6
FacialHair_A3_Outline	ひげ A 3
Halo1_Outline	天使の輪 輪郭 1
Hairband7_Color	ヘアバンド C 1
Keyboard	タイピング（通常） 3
FrameHair_A6_Outline	 顔まわり髪 輪郭 11 + 12
VolumeOff	音量 エフェクト 2
PalmarGlove1_Color	手 2 .2
FacialHair_A6_Outline	ひげ A 輪郭 6
TailB1_Outline	しっぽ 輪郭 3
Pigtail_A1_Gradient	おさげ 2
FrameHair_A4_Gradient	顔まわり髪 8
KitchenKnife	包丁
Halo2_Color	天使の輪 2
FrameHair_A6_Gradient	顔まわり髪 12
HairShine5_Color	髪ツヤ 9 + 10
FrameHair_B2_Color	顔まわり髪 25
FacialHair_B1_Outline	ひげ B 輪郭 1
Main3_Outline	服 内側 輪郭 3
Main4_Outline	服 内側 輪郭 4
Main7_Outline	服 内側 輪郭 7
HatA2_Color	帽子 2
Pigtail_C2_Outline	おさげ 輪郭 23 + 24
Main1_Color	服 内側 1
Eyepatch2_Outline	眼帯の輪郭 3 + 4
SideHair_Branch_C2_Color	横髪 ハネ C 2
HairHighlight6_Outline	髪ハイライト 中央 輪郭 5 + 6
SideHair_Branch_C1_Color	横髪 ハネ C 1
Eyepatch1_Outline	眼帯の輪郭 1 + 2
AlertCoin_Outline	アラート 輪郭 3
Eye_Dum_Outline	ほげ目 輪郭 1 + 2
FrameHair_Branch_A2_Outline	髪ハネ 輪郭 2
Main5_Color	服 内側 5
Pompom	ポンポン
HairClip10_Outline	ヘアピン 輪郭 10
WaveHand	Wave 手
HeartItem	ハート
FrameHair_Branch_A2_Color	髪ハネ 2
FrameHair_Branch_A1_Outline	髪ハネ 輪郭 1
Eye_Dum_Color	白目
AlertCoin_Color	アラート エフェクト 3
Button	ボタン
SideHair_Branch_B2_Outline	横髪 ハネ B 輪郭 2
Face_Shadow	顔影
AlertStar_Outline	アラート 輪郭 5
Pigtail_C1_Outline	おさげ 輪郭 21 + 22
AlertHeart_Outline	アラート 輪郭 1
AlertLike_Color	アラート エフェクト 4
AlertStar_Color	アラート エフェクト 5
Sleep	睡眠 エフェクト
Square	ドア／壁 | 牢屋格子 | ブランケット外側
SideHair_Branch_A2_Color	横髪 ハネ A 2
Beverage	飲み物のカップ 3
HairClip8_Outline	ヘアピン 輪郭 8
HairClip9_Outline	ヘアピン 輪郭 9
GiftBox	ギフト 1
Mecha5_Outline	メカ 輪郭 5
WingC1_Lower_Color	翼 5 .2
Gill3_Color	エラ 1 .3
FacialHair_B6_Outline	ひげ B 輪郭 6
HairClip10_Color	ヘアピン 10
SideHair_Branch_B2_Color	横髪 ハネ B 2
SideHair_Branch_B1_Color	横髪 ハネ B 1
Bowl	ボウル
Pigtail_C1_Color	おさげ 21
Pigtail_C1_Gradient	おさげ 22
HairClip7_Outline	ヘアピン 輪郭 7
HairHighlight5_Color	髪ハイライト >< 3 + 4
HairClip6_Outline	ヘアピン 輪郭 6
Bill1	紙幣 1
LubricantSpray	スプレー缶
Ahoge_A1_Outline	アホ毛 輪郭 1
Gill1_Outline	エラ 輪郭 1 .1
FacialHair_B6_Color	ひげ B 6 
Heart	ハート エフェクト
Popper	クラッカー
Pencil	鉛筆
Ahoge_A3_Color	アホ毛 3
BeverageCup	飲み物のカップ
Mouth_Popcat2	パクパク猫 | 口 2
HairClip9_Color	ヘアピン 9
AlertBits_Color	アラート エフェクト 6
Seven	ナンバー 7
PhoneFront	スマホ 1
Gill2_Outline	エラ 輪郭 1 .2
FrameHair_B2_Outline	 顔まわり髪 輪郭 25 + 26
NeckwearB7_Outline	首アクセ B 輪郭 7
Angry1	怒り エフェクト 1
Cup	カップ
Phone	スマホ 2
Palmar_Outline	手 1 .14
FrameHair_B1_Outline	 顔まわり髪 輪郭 23 + 24
WingD2_Lower_Color	翼 7 .2
HairClip11_Outline	ヘアピン 輪郭 11
RedPacket	お年玉 1
HairClip12_Outline	ヘアピン 輪郭 12
Gill1_Color	エラ 1 .1
Eye1_Dark	 虹彩 濃 1 + 2
NeckwearB3_Outline	首アクセ B 輪郭 3
LightBulb	電球（ひらめき）
Mecha3_Color	メカ 3
Mecha6_Outline	メカ 輪郭 6
Ahoge_A1_Color	アホ毛 1
WingA1_Outline	翼 輪郭 1
RedPacketCoin1	お年玉 5
SweatBlue	汗 エフェクト大
HornF1_Color	角 前 1
Sparkle	キラーン
Ahoge_A2_Outline	アホ毛 輪郭 
FaceFeatureC2	顔パーツ C 2
Glove1_Outline	手袋 輪郭
PalmGlove1_Color	手 2 .3
PalmGlove1_Outline	手 2 .4
FacialHair_B2_Outline	ひげ B 2
Mecha6_Color	メカ 6
CapeFront1_Color	ケープ 前 1
HairClip4_Color	ヘアピン 4
NeckwearB1_Color	首アクセ B 2
Cheek1	頬 1
Lubricant	スプレー缶
Ahoge_A4_Outline	アホ毛 輪郭 4
Angry3	怒り エフェクト 3
Microphone	マイク
NeckwearB4_Outline	首アクセ B 輪郭 4
WingE1_Middle_Outline	翼 輪郭 8 .2
FacialHair_B2_Color	ひげ B 2
Collar4_Outline	襟 輪郭 4
TailF3_Outline	しっぽ 輪郭 17
Donut4	ドーナツ 4
Laugh3	笑い エフェクト 3
Tear1	涙 1
NeckwearA6_Outline	首アクセ A 輪郭 6
Confetti1	紙吹雪 4
Eye_Dum_Pupil	 ほげ目 瞳
NeckwearB2_Outline	首アクセ B 輪郭 1 + 2
FrameHair_B4_Color	顔まわり髪 29
FrameHair_B4_Gradient	顔まわり髪 30
NeckwearB6_Outline	首アクセ B 輪郭 6
Eye_Popcat_Dark	ほげ 3 | 目 | パクパク猫（コマ送り） 2
HairClip2_Outline	ヘアピン 輪郭 2
FrameHair_B2_Gradient	顔まわり髪 26
Hand_Outline	手 1 .15
Glove1_Color	手袋
NeckwearA1_Outline	首アクセ A 輪郭 1
WingE1_Lower_Outline	翼 輪郭 8 .3
Mouse	マウス
Collar5_Color	襟 内側 5
Tie1_Outline	首アクセ C 輪郭 1
Eyebag	目のクマ
WingG1_Outter_Outline	翼 輪郭 10 .1
Laugh1	笑い エフェクト 1
Popcorn	食べる（ポップコーン） 2
NeckwearA5_Outline	首アクセ A 輪郭 5
BeverageLiquid	飲み物
Eye3_HighlightCry	目 3 | 泣き顔
Eye3_Sparkling	キラキラ目 3
Confetti2	紙吹雪 5
Eye3_Spiral	ぐるぐる目 3
FacialHair_B1_Color	ひげ B 1
PhoneScreenPattern2	スマホ画面 2
VolumeOn	音量 エフェクト 3
FacialHair_B4_Outline	ひげ B 輪郭 4
Collar5_Outline	襟 輪郭 5
WingEL_Lower_WeightTransfer	翼 >> 15 .3
NeckwearB1_WeightTransfer	首アクセ B 8
FloatingL_WeightTransfer	メカ >> 7
HairBang_SideL_WeightTransfer	前髪 >> 13
FloatingR_WeightTransfer	メカ << 7
Glasses_WeightTransfer	メガネ 4
AhogeA_WeightTransfer	アホ毛 7
BackHair_WeightTransfer	後ろ髪 7
AnimalEarBL_WeightTransfer	ケモ耳 >> 11
EyepatchA_WeightTransfer	眼帯 7
TailD_WeightTransfer	しっぽ 22
HairBang_Middle_WeightTransfer	前髪 >< 15
Face_WeightTransfer	顔パーツ C 3
NeckwearB2_WeightTransfer	首アクセ B 9
EarringBR_WeightTransfer	イヤリング << 12
EarringBL_WeightTransfer	イヤリング >> 12
NeckwearC_WeightTransfer	首アクセ C 4
HatC_WeightTransfer	帽子 11
TailFSoft_WeightTransfer	しっぽ 25
TailFHard_WeightTransfer	しっぽ 24
EarringAR_WeightTransfer	イヤリング << 11
EarringAL_WeightTransfer	イヤリング >> 11
HatA_WeightTransfer	帽子 9
LegR_WeightTransfer	脚 << 2
LegL_WeightTransfer	脚 >> 2
HatD_WeightTransfer	帽子 12
FrameHair_WeightTransfer	顔まわり髪 >< 
TailE_WeightTransfer	しっぽ 23
TailA_WeightTransfer	しっぽ 19
SideHairB_WeightTransfer	横髪 34
SideHairA_WeightTransfer	横髪 33
PonytailA_WeightTransfer	ヘアポニーテール 15
WingER_Upper_WeightTransfer	翼 << 15 .1
WingER_Middle_WeightTransfer	翼 << 15 .2
OutfitOuter_WeightTransfer	服 外側 8
WingAL_WeightTransfer	翼 >> 11
PalmarL_WeightTransfer	手 >> 3 .5
HeadWingAL_WeightTransfer	耳羽 >> 4
BrowL_WeightTransfer	眉 >> 10
BrowR_WeightTransfer	眉 << 10
MustacheA_WeightTransfer	ひげ B 7
TailC_WeightTransfer	しっぽ 21
FrameHair_BranchL_WeightTransfer	髪ハネ >> 4
HandL_Middle_WeightTransfer	手 >> 3 .1
HandL_Thumb_WeightTransfer	手 >> 3 .2
NeckwearA_WeightTransfer	首アクセ A 7
WingER_Lower_WeightTransfer	翼 << 15 .3
WingEL_Upper_WeightTransfer	翼 >> 15 .1
WingGL_Outter_WeightTransfer	翼 >> 17 .1
WingCL_Upper_WeightTransfer	翼 >> 13 .1
WingGR_Inner_WeightTransfer	翼 << 17 .2
WingCR_Upper_WeightTransfer	翼 << 13 .1
EarL_WeightTransfer	耳 2 >>
EarR_WeightTransfer	耳 2 <<
CapeBack_WeightTransfer	ケープ 後ろ 4
CapeFront_WeightTransfer	ケープ 前 7
WingEL_Middle_WeightTransfer	翼 >> 15 .2
WingFR_Upper_WeightTransfer	翼 << 16 .1
AntennaR_WeightTransfer	アンテナ << 3
AnimalEarAR_WeightTransfer	ケモ耳 << 10
WingDL_WeightTransfer	翼 >> 14
AnimalEarCL_WeightTransfer	ケモ耳 >> 12
WingGL_Inner_WeightTransfer	翼 >> 17 .2
Halo_WeightTransfer	天使の輪 7
FinR_WeightTransfer	ヒレ << 2
HatB_WeightTransfer	帽子 10
AnimalEarAL_WeightTransfer	ケモ耳 >> 10
TailB_WeightTransfer	しっぽ 20
HandL_Little_WeightTransfer	手 >> 3 .3
HandL_Index_WeightTransfer	手 >> 3 .4
FinL_WeightTransfer	ヒレ >> 2
AntennaL_WeightTransfer	アンテナ >> 3
PonytailAR_WeightTransfer	おさげ << 25
OutfitInner_WeightTransfer	服 内側 9
MustacheB_WeightTransfer	ひげ B 8
PonytailB_WeightTransfer	ヘアポニーテール 16
HairBandA_WeightTransfer	ヘアバンド A 3
HairBang_SideR_WeightTransfer	前髪 << 13
EyepatchB_WeightTransfer	眼帯 8
WingFL_Lower_WeightTransfer	翼 >> 16 .2
WingBL_WeightTransfer	翼 >> 12
PonytailCL_WeightTransfer	おさげ >> 26
HairbandB_WeightTransfer	ヘアバンド B 5
BeardA_WeightTransfer	ひげ A 9
PonytailAL_WeightTransfer	おさげ >> 25
AnimalEarBR_WeightTransfer	ケモ耳 << 11
EyelashR_WeightTransfer	目 4 | まつげ <<
GillR_WeightTransfer	エラ << 2
PiercingAL_WeightTransfer	ピアス A >> 6
PiercingAR_WeightTransfer	ピアス A << 6
WingFR_Lower_WeightTransfer	翼 << 16 .2
WingFL_Upper_WeightTransfer	翼 >> 16 .1
HairBandC_WeightTransfer	ヘアバンド D 3
HornL_WeightTransfer	角 >> 8
HornR_WeightTransfer	角 << 8
EyelashL_WeightTransfer	目 4 | まつげ >>
GillL_WeightTransfer	エラ >> 2
HornFrontL_WeightTransfer	角 前 >> 3
HornFrontR_WeightTransfer	角 前 << 3
WingDR_WeightTransfer	翼 << 14
FrameHair_BranchR_WeightTransfer	髪ハネ << 4
HeadWingAR_WeightTransfer	耳羽 << 4
HornFrontM_WeightTransfer	角 前中央 2
WingGR_Outter_WeightTransfer	翼 << 17 .1
EyeDollarR_WeightTransfer	お金の目 << 4 + 5
EyeHeartL_WeightTransfer	ハート目 >> 4 + 5
EyeHeartR_WeightTransfer	ハート目 << 4 + 5
EyeHighlightCryL_WeightTransfer	目 4 + 5 >> | 泣き顔
EyeHighlightCryR_WeightTransfer	目 4 + 5 << | 泣き顔
EyeL_WeightTransfer	目 >> 4 + 5
EyeR_WeightTransfer	目 << 4 + 5
EyeSparklingL_WeightTransfer	キラキラ目 >> 4 + 5
EyeSparklingR_WeightTransfer	キラキラ目 << 4 + 5
EyeSpiralL_WeightTransfer	ぐるぐる目 >> 4 + 5
EyeSpiralR_WeightTransfer	ぐるぐる目 << 4 + 5
AnimalEarCR_WeightTransfer	ケモ耳 << 12
WingAR_WeightTransfer	翼 << 11
PonytailCR_WeightTransfer	おさげ << 26
PiercingBL_WeightTransfer	ピアス B >> 6
PiercingBR_WeightTransfer	ピアス B << 6
HandL_WeightTransfer	手 >> 3
HandR_Index_WeightTransfer	手 << 3 .4
HandR_Little_WeightTransfer	手 << 3 .3
HandR_Middle_WeightTransfer	手 << 3 .1
HandR_Thumb_WeightTransfer	手 << 3 .2
HandR_WeightTransfer	手 << 3
PalmarR_WeightTransfer	手 << 3 .5
WingCL_Lower_WeightTransfer	翼 >> 13
WingCR_Lower_WeightTransfer	翼 << 13
WingBR_WeightTransfer	翼 << 12
EyeDollarL_WeightTransfer	お金の目 >> 4 + 5
ClownWig	ピエロ 1
FireA1	ファイア
ElectricFan	扇風機
Cheese	チーズ
ElectricFanBlades	電動ファンブレード
Guitar_Outline	ギターの概要
Guitar_Color1	ギターの色 1
PaperFanSticks	扇子 2
PaperFanLeaf	扇子 1
Stool	スツール
Slipper	スリッパ
Guitar_Color2	ギターの色 2
WinkStar	ウィンクスター
ClownNose	ピエロ 2
Guitar_Color3	ギターの色 3
SideHairA7_Color	横髪 13
PonytailA3_Gradient	ヘアポニーテール 6
SideHairA2_Gradient	横髪 4
SideHairB5_Color	横髪 25
SideHairB3_Gradient	横髪 22
PonytailA2_Outline	髪ポニーテールの概要 3 + 4
PonytailB2_Outline	髪ポニーテールの概要 13 + 14
PonytailB2_Color	ヘアポニーテール 13
Outer7_Outline	服 外側 輪郭 7
Outer1_Outline	服 外側 輪郭 1
Hand_Color	手 1
LaptopLight3	ノートPCライト 3
Finger	こする 1
Scissor	カット（ハサミ）
BoopHand	ブープ
Trophy	トロフィー 1
ProgressBar	プログレスバーコンテナ
Progress	プログレスバーの塗りつぶし
