SpriteName	Es
Horn1_Outline	Cuerno Contorno 1
WingA2_Color	Ala 2
EasterEggBasket	Pascua de Resurrección 4
Mecha4_Outline	Contorno del mecha 4
Antenna2_Color	Antena 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Contorno del Ahoge 3
Main1_Outline	Contorno del Outfit interior 1
Horn2_Color	Cuerno 2
HairBang4_Middle_Gradient	Flequillo >< 8
CapeFront3_Color	Frente del Cabo 3
Notepad	Bloc de notas
Outer5_Color	Traje exterior 5
WingA3_Color	Ala 3
WingB1_Color	Ala 4
Pistol	Pistola
Horn7_Color	Cuerno 7
Bottle	batido de coca cola
Outer6_Color	Traje exterior 6
Laugh2	Efecto Risa 2
FrameHair_B1_Gradient	Mechón frontal 24
Outer5_Outline	Contorno del traje exterior 5
FrameHair_Top_Outline	Mechón frontal top Contorno
WingG1_Inner_Color	Ala 10 .2
HairBang5_Middle_Outline	Flequillo >< Contorno 9 + 10
Beer	Salud
HairBang4_Middle_Color	Flequillo >< 7
TailE1_Outline	Contorno de la cola 12
TailC2_Color	Cola 9
HornF2_Outline	Cuerno Contorno 9
HairBang2_Middle_Outline	Flequillo >< Contorno 3 + 4
Ahoge_B2_Outline	Contorno del Ahoge 6
Bell	Campana 2
FrameHair_Branch_A3_Outline	Rama de cabello Contorno 3
FrameHair_A3_Color	Mechón frontal 5
FrameHair_A3_Gradient	Mechón frontal 6
Horn2_Outline	Cuerno Contorno 2
Outer6_Outline	Contorno del traje exterior 6
WingD2_Upper_Color	Ala 7 .1
Antenna2_Outline	Antena Contorno 2
TailB5_Outline	Contorno de la cola 7
HairBang5_Middle_Gradient	Flequillo >< 10
HairBang1_Middle_Color	Flequillo >< 1
QuestionMark	Signo de interrogación
Horn3_Color	Cuerno 3
SignSquareText1	Texto de la señal cuadrada
Antenna1_Color	Antena 1
FrameHair_A2_Gradient	Mechón frontal 4
HairHighlight1_Outline	Mechas de cabello Contorno 1 << + 1 >>
TailD1_Color	Cola 11
HairBang6_Middle_Outline	Flequillo >< Contorno 11 + 12
HairBang7_Middle_Gradient	Flequillo >< 14
HairBang6_Middle_Color	Flequillo >< 11
HairBang6_Middle_Gradient	Flequillo >< 12
CapeFront4_Outline	Frente del Cabo | Esquema del cabo 4
FrameHair_A2_Color	Mechón frontal 3
FacialHair_A1_Outline	Contorno del vello facial A 1
HairBang1_Middle_Gradient	Flequillo >< 2
HornM1_Color	Frente de bocina >< 1
TailB4_Color	Cola 6
TailB2_Color	Cola 4
Pigtail_B2_Color	Coleta de pelo 19
Fin1_Color	Aleta 1
TailB3_Outline	Contorno de la cola 5
Halo1_Color	Halo 1
TailB2_Outline	Contorno de la cola 4
FrameHair_A3_Outline	Mechón frontal Contorno 5 + 6
FrameHair_B1_Color	Mechón frontal 23
HairClip7_Color	Pinza para el pelo 7
FacialHair_A6_Color	Vello facial A 6
FacialHair_A3_Outline	Vello facial A 3
Halo1_Outline	Contorno del halo 1
Hairband7_Color	Diadema C 1
Keyboard	Escribiendo normal 3
FrameHair_A6_Outline	Mechón frontal Contorno 11 + 12
VolumeOff	Efecto de Volumen 2
PalmarGlove1_Color	Mano 2 .2
FacialHair_A6_Outline	Contorno del vello facial A 6
TailB1_Outline	Contorno de la cola 3
Pigtail_A1_Gradient	Coleta de pelo 2
FrameHair_A4_Gradient	Mechón frontal 8
KitchenKnife	Cuchillo de cocina
Halo2_Color	Halo 2
FrameHair_A6_Gradient	Mechón frontal 12
HairShine5_Color	Brillo del cabello 9 + 10
FrameHair_B2_Color	Mechón frontal 25
FacialHair_B1_Outline	Contorno del vello facial B 1
Main3_Outline	Contorno del Outfit interior 3
Main4_Outline	Contorno del Outfit interior 4
Main7_Outline	Contorno del Outfit interior 7
HatA2_Color	Sombrero 2
Pigtail_C2_Outline	Coleta de pelo Contorno 23 + 24
Main1_Color	Outfit interior 1
Eyepatch2_Outline	Contorno del parche 3 + 4
SideHair_Branch_C2_Color	Rama lateral del cabello C 2
HairHighlight6_Outline	Mechas de cabello >< Contorno 5 + 6
SideHair_Branch_C1_Color	Rama lateral del cabello C 1
Eyepatch1_Outline	Contorno del parche 1 + 2
AlertCoin_Outline	Contorno de la alerta 3
Eye_Dum_Outline	Contorno de ojo (tonto) 1 + 2
FrameHair_Branch_A2_Outline	Rama de cabello Contorno 2
Main5_Color	Outfit interior 5
Pompom	Pompón
HairClip10_Outline	Pinza para el cabello Contorno 10
WaveHand	Mano ondulada
HeartItem	Corazón
FrameHair_Branch_A2_Color	Rama de cabello 2
FrameHair_Branch_A1_Outline	Rama de cabello Contorno 1
Eye_Dum_Color	Ojo blanco
AlertCoin_Color	Color de la alerta 3
Button	Botón
SideHair_Branch_B2_Outline	Rama lateral del cabello B Contorno 2
Face_Shadow	Sombra de la cara
AlertStar_Outline	Contorno de la alerta 5
Pigtail_C1_Outline	Coleta de pelo Contorno 21 + 22
AlertHeart_Outline	Contorno de la alerta 1
AlertLike_Color	Color de la alerta 4
AlertStar_Color	Color de la alerta 5
Sleep	Efecto Dormir
Square	Puerta/Pared | Barrotes de la cárcel | Manta exterior
SideHair_Branch_A2_Color	Rama lateral del cabello A 2
Beverage	Vaso de bebida 3
HairClip8_Outline	Pinza para el cabello Contorno 8
HairClip9_Outline	Pinza para el cabello Contorno 9
GiftBox	Regalo 1
Mecha5_Outline	Contorno del mecha 5
WingC1_Lower_Color	Ala 5 .2
Gill3_Color	Branquia 1 .3
FacialHair_B6_Outline	Contorno del vello facial B 6
HairClip10_Color	Pinza para el pelo 10
SideHair_Branch_B2_Color	Rama lateral del cabello B 2
SideHair_Branch_B1_Color	Rama lateral del cabello B 1
Bowl	Bol
Pigtail_C1_Color	Coleta de pelo 21
Pigtail_C1_Gradient	Coleta de pelo 22
HairClip7_Outline	Pinza para el cabello Contorno 7
HairHighlight5_Color	Mechas de cabello >< 3 + 4
HairClip6_Outline	Pinza para el cabello Contorno 6
Bill1	Billetes 1
LubricantSpray	Pulverización
Ahoge_A1_Outline	Contorno del Ahoge 1
Gill1_Outline	Contorno de la branquia 1 .1
FacialHair_B6_Color	Vello facial B 6 
Heart	Efecto Corazón
Popper	Corchete
Pencil	Lápiz
Ahoge_A3_Color	Ahoge 3
BeverageCup	Vaso de bebida
Mouth_Popcat2	gato pop | Boca 2
HairClip9_Color	Pinza para el pelo 9
AlertBits_Color	Color de la alerta 6
Seven	numero siete
PhoneFront	Teléfono 1
Gill2_Outline	Contorno de la branquia 1 .2
FrameHair_B2_Outline	Mechón frontal Contorno 25 + 26
NeckwearB7_Outline	Contorno del accesorio de cuello B 7
Angry1	Efecto enojado 1
Cup	Taza
Phone	Teléfono 2
Palmar_Outline	Mano 1 .14
FrameHair_B1_Outline	Mechón frontal Contorno 23 + 24
WingD2_Lower_Color	Ala 7 .2
HairClip11_Outline	Pinza para el cabello Contorno 11
RedPacket	Sobre rojo 1
HairClip12_Outline	Pinza para el cabello Contorno 12
Gill1_Color	Branquia 1 .1
Eye1_Dark	Iris Oscuro 1 + 2
NeckwearB3_Outline	Contorno del accesorio de cuello B 3
LightBulb	Vinilo Bombilla
Mecha3_Color	Mecha 3
Mecha6_Outline	Contorno del mecha 6
Ahoge_A1_Color	Ahoge 1
WingA1_Outline	Ala Contorno 1
RedPacketCoin1	Sobre rojo 5
SweatBlue	Gota de Sudor Grande
HornF1_Color	Frente de bocina 1
Sparkle	Destello
Ahoge_A2_Outline	Contorno del Ahoge 
FaceFeatureC2	Característica de la cara C 2
Glove1_Outline	Guante Contorno
PalmGlove1_Color	Mano 2 .3
PalmGlove1_Outline	Mano 2 .4
FacialHair_B2_Outline	Vello facial B 2
Mecha6_Color	Mecha 6
CapeFront1_Color	Frente del Cabo 1
HairClip4_Color	Pinza para el pelo 4
NeckwearB1_Color	Accesorios de cuello B 2
Cheek1	Mejilla 1
Lubricant	Lubricante
Ahoge_A4_Outline	Contorno del Ahoge 4
Angry3	Efecto enojado 3
Microphone	Micrófono
NeckwearB4_Outline	Contorno del accesorio de cuello B 4
WingE1_Middle_Outline	Ala Contorno 8 .2
FacialHair_B2_Color	Vello facial B 2
Collar4_Outline	Contorno del cuello del Outfit 4
TailF3_Outline	Contorno de la cola 17
Donut4	Rosquilla 4
Laugh3	Efecto Risa 3
Tear1	Lágrima del ojo 1
NeckwearA6_Outline	Contorno del accesorio de cuello A 6
Confetti1	Confeti 4
Eye_Dum_Pupil	 Pupila (tonta)
NeckwearB2_Outline	Contorno del accesorio de cuello B 1 + 2
FrameHair_B4_Color	Mechón frontal 29
FrameHair_B4_Gradient	Mechón frontal 30
NeckwearB6_Outline	Contorno del accesorio de cuello B 6
Eye_Popcat_Dark	Tonto 3 | Ojo | Marco de gato pop 2
HairClip2_Outline	Pinza para el cabello Contorno 2
FrameHair_B2_Gradient	Mechón frontal 26
Hand_Outline	Mano 1 .15
Glove1_Color	Guante
NeckwearA1_Outline	Contorno del accesorio de cuello A 1
WingE1_Lower_Outline	Ala Contorno 8 .3
Mouse	Ratón
Collar5_Color	Interior del cuello del traje 5
Tie1_Outline	Contorno del accesorio de cuello C 1
Eyebag	Ojeras
WingG1_Outter_Outline	Ala Contorno 10 .1
Laugh1	Efecto Risa 1
Popcorn	Comer (palomitas de maíz) 2
NeckwearA5_Outline	Contorno del accesorio de cuello A 5
BeverageLiquid	Líquido del vaso
Eye3_HighlightCry	Ojo 3 | Llorar
Eye3_Sparkling	Ojos chispeantes 3
Confetti2	Confeti 5
Eye3_Spiral	Espiral en los ojos 3
FacialHair_B1_Color	Vello facial B 1
PhoneScreenPattern2	Pantalla del teléfono 2
VolumeOn	Efecto de Volumen 3
FacialHair_B4_Outline	Contorno del vello facial B 4
Collar5_Outline	Contorno del cuello del Outfit 5
WingEL_Lower_WeightTransfer	Ala >> 15 .3
NeckwearB1_WeightTransfer	Accesorios de cuello B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	Flequillo >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Anteojos 4
AhogeA_WeightTransfer	Ahoge 7
BackHair_WeightTransfer	Pelo trasero 7
AnimalEarBL_WeightTransfer	Orejas de animal >> 11
EyepatchA_WeightTransfer	parche en el ojo 7
TailD_WeightTransfer	Cola 22
HairBang_Middle_WeightTransfer	Flequillo >< 15
Face_WeightTransfer	Característica de la cara C 3
NeckwearB2_WeightTransfer	Accesorios de cuello B 9
EarringBR_WeightTransfer	Pendiente << 12
EarringBL_WeightTransfer	Pendiente >> 12
NeckwearC_WeightTransfer	Accesorios de cuello C 4
HatC_WeightTransfer	Sombrero 11
TailFSoft_WeightTransfer	Cola 25
TailFHard_WeightTransfer	Cola 24
EarringAR_WeightTransfer	Pendiente << 11
EarringAL_WeightTransfer	Pendiente >> 11
HatA_WeightTransfer	Sombrero 9
LegR_WeightTransfer	Pierna << 2
LegL_WeightTransfer	Pierna >> 2
HatD_WeightTransfer	Sombrero 12
FrameHair_WeightTransfer	Mechón frontal >< 
TailE_WeightTransfer	Cola 23
TailA_WeightTransfer	Cola 19
SideHairB_WeightTransfer	Cabello de los lados trasero 34
SideHairA_WeightTransfer	Cabello de los lados trasero 33
PonytailA_WeightTransfer	Cola de caballo de pelo 15
WingER_Upper_WeightTransfer	Ala << 15 .1
WingER_Middle_WeightTransfer	Ala << 15 .2
OutfitOuter_WeightTransfer	Traje exterior 8
WingAL_WeightTransfer	Ala >> 11
PalmarL_WeightTransfer	Mano >> 3 .5
HeadWingAL_WeightTransfer	Ala de oreja >> 4
BrowL_WeightTransfer	Ceja >> 10
BrowR_WeightTransfer	Ceja << 10
MustacheA_WeightTransfer	Vello facial B 7
TailC_WeightTransfer	Cola 21
FrameHair_BranchL_WeightTransfer	Rama de cabello >> 4
HandL_Middle_WeightTransfer	Mano >> 3 .1
HandL_Thumb_WeightTransfer	Mano >> 3 .2
NeckwearA_WeightTransfer	Accesorios de cuello A 7
WingER_Lower_WeightTransfer	Ala << 15 .3
WingEL_Upper_WeightTransfer	Ala >> 15 .1
WingGL_Outter_WeightTransfer	Ala >> 17 .1
WingCL_Upper_WeightTransfer	Ala >> 13 .1
WingGR_Inner_WeightTransfer	Ala << 17 .2
WingCR_Upper_WeightTransfer	Ala << 13 .1
EarL_WeightTransfer	Oreja 2 >>
EarR_WeightTransfer	Oreja 2 <<
CapeBack_WeightTransfer	Cabo trasero 4
CapeFront_WeightTransfer	Frente del Cabo 7
WingEL_Middle_WeightTransfer	Ala >> 15 .2
WingFR_Upper_WeightTransfer	Ala << 16 .1
AntennaR_WeightTransfer	Antena << 3
AnimalEarAR_WeightTransfer	Orejas de animal << 10
WingDL_WeightTransfer	Ala >> 14
AnimalEarCL_WeightTransfer	Orejas de animal >> 12
WingGL_Inner_WeightTransfer	Ala >> 17 .2
Halo_WeightTransfer	Halo 7
FinR_WeightTransfer	Aleta << 2
HatB_WeightTransfer	Sombrero 10
AnimalEarAL_WeightTransfer	Orejas de animal >> 10
TailB_WeightTransfer	Cola 20
HandL_Little_WeightTransfer	Mano >> 3 .3
HandL_Index_WeightTransfer	Mano >> 3 .4
FinL_WeightTransfer	Aleta >> 2
AntennaL_WeightTransfer	Antena >> 3
PonytailAR_WeightTransfer	Coleta de pelo << 25
OutfitInner_WeightTransfer	Outfit interior 9
MustacheB_WeightTransfer	Vello facial B 8
PonytailB_WeightTransfer	Cola de caballo de pelo 16
HairBandA_WeightTransfer	Diadema A 3
HairBang_SideR_WeightTransfer	Flequillo << 13
EyepatchB_WeightTransfer	parche en el ojo 8
WingFL_Lower_WeightTransfer	Ala >> 16 .2
WingBL_WeightTransfer	Ala >> 12
PonytailCL_WeightTransfer	Coleta de pelo >> 26
HairbandB_WeightTransfer	Diadema B 5
BeardA_WeightTransfer	Vello facial A 9
PonytailAL_WeightTransfer	Coleta de pelo >> 25
AnimalEarBR_WeightTransfer	Orejas de animal << 11
EyelashR_WeightTransfer	Ojo 4 | Pestañas <<
GillR_WeightTransfer	Branquia << 2
PiercingAL_WeightTransfer	Perforación A >> 6
PiercingAR_WeightTransfer	Perforación A << 6
WingFR_Lower_WeightTransfer	Ala << 16 .2
WingFL_Upper_WeightTransfer	Ala >> 16 .1
HairBandC_WeightTransfer	Diadema D 3
HornL_WeightTransfer	Cuerno >> 8
HornR_WeightTransfer	Cuerno << 8
EyelashL_WeightTransfer	Ojo 4 | Pestañas >>
GillL_WeightTransfer	Branquia >> 2
HornFrontL_WeightTransfer	Frente de bocina >> 3
HornFrontR_WeightTransfer	Frente de bocina << 3
WingDR_WeightTransfer	Ala << 14
FrameHair_BranchR_WeightTransfer	Rama de cabello << 4
HeadWingAR_WeightTransfer	Ala de oreja << 4
HornFrontM_WeightTransfer	Frente de bocina >< 2
WingGR_Outter_WeightTransfer	Ala << 17 .1
EyeDollarR_WeightTransfer	Ojos de dinero << 4 + 5
EyeHeartL_WeightTransfer	Ojos de corazón >> 4 + 5
EyeHeartR_WeightTransfer	Ojos de corazón << 4 + 5
EyeHighlightCryL_WeightTransfer	Ojo 4 + 5 >> | Llorar
EyeHighlightCryR_WeightTransfer	Ojo 4 + 5 << | Llorar
EyeL_WeightTransfer	Ojo >> 4 + 5
EyeR_WeightTransfer	Ojo << 4 + 5
EyeSparklingL_WeightTransfer	Ojos chispeantes >> 4 + 5
EyeSparklingR_WeightTransfer	Ojos chispeantes << 4 + 5
EyeSpiralL_WeightTransfer	Espiral en los ojos >> 4 + 5
EyeSpiralR_WeightTransfer	Espiral en los ojos << 4 + 5
AnimalEarCR_WeightTransfer	Orejas de animal << 12
WingAR_WeightTransfer	Ala << 11
PonytailCR_WeightTransfer	Coleta de pelo << 26
PiercingBL_WeightTransfer	Perforación B >> 6
PiercingBR_WeightTransfer	Perforación B << 6
HandL_WeightTransfer	Mano >> 3
HandR_Index_WeightTransfer	Mano << 3 .4
HandR_Little_WeightTransfer	Mano << 3 .3
HandR_Middle_WeightTransfer	Mano << 3 .1
HandR_Thumb_WeightTransfer	Mano << 3 .2
HandR_WeightTransfer	Mano << 3
PalmarR_WeightTransfer	Mano << 3 .5
WingCL_Lower_WeightTransfer	Ala >> 13
WingCR_Lower_WeightTransfer	Ala << 13
WingBR_WeightTransfer	Ala << 12
EyeDollarL_WeightTransfer	Ojos de dinero >> 4 + 5
ClownWig	payaso 1
FireA1	Fuego
ElectricFan	Ventilador eléctrico
Cheese	Queso
ElectricFanBlades	Aspas de ventilador eléctrico
Guitar_Outline	Esquema de guitarra
Guitar_Color1	Color de guitarra 1
PaperFanSticks	Abanico plegable 2
PaperFanLeaf	Abanico plegable 1
Stool	Heces
Slipper	Zapatilla
Guitar_Color2	Color de guitarra 2
WinkStar	guiño estrella
ClownNose	payaso 2
Guitar_Color3	Color de guitarra 3
SideHairA7_Color	Cabello de los lados trasero 13
PonytailA3_Gradient	Cola de caballo de pelo 6
SideHairA2_Gradient	Cabello de los lados trasero 4
SideHairB5_Color	Cabello de los lados trasero 25
SideHairB3_Gradient	Cabello de los lados trasero 22
PonytailA2_Outline	Contorno de cola de caballo de pelo 3 + 4
PonytailB2_Outline	Contorno de cola de caballo de pelo 13 + 14
PonytailB2_Color	Cola de caballo de pelo 13
Outer7_Outline	Contorno del traje exterior 7
Outer1_Outline	Contorno del traje exterior 1
Hand_Color	Mano 1
LaptopLight3	Luz de la computadora portátil 3
Finger	Frotar 1
Scissor	Cortar (tijeras)
BoopHand	Boop
Trophy	Trofeo 1
ProgressBar	Contenedor de barra de progreso
Progress	Relleno de la barra de progreso
