SpriteName	De
WingB1_Color	Flügel 4
Pistol	Pistole
Horn7_Color	Horn 7
Bottle	Cola-Shake
Outer6_Color	Outfit außen 6
Laugh2	Aufkleber Lachen 2
FrameHair_B1_Gradient	Seitensträhnen 24
Outer5_Outline	Outfit außen Umriss 5
FrameHair_Top_Outline	Seitensträhnen Top Umriss
WingG1_Inner_Color	Flügel 10 .2
HairBang5_Middle_Outline	Pony >< Umriss 9 + 10
Beer	Prost
HairBang4_Middle_Color	Pony >< 7
TailE1_Outline	Schwanz Umriss 12
TailC2_Color	Schwanz 9
HornF2_Outline	Horn Umriss 9
HairBang2_Middle_Outline	Pony >< Umriss 3 + 4
Ahoge_B2_Outline	Haare Ahoge Umriss 6
Bell	Glocke 2
FrameHair_Branch_A3_Outline	Haarzweig Umriss 3
FrameHair_A3_Color	Seitensträhnen 5
FrameHair_A3_Gradient	Seitensträhnen 6
Horn2_Outline	Horn Umriss 2
Outer6_Outline	Outfit außen Umriss 6
WingD2_Upper_Color	Flügel 7 .1
Antenna2_Outline	Antenne Umriss 2
TailB5_Outline	Schwanz Umriss 7
HairBang5_Middle_Gradient	Pony >< 10
HairBang1_Middle_Color	Pony >< 1
QuestionMark	Aufkleber Fragezeichen
Horn3_Color	Horn 3
SignSquareText1	Quadratisches Schild Text
Antenna1_Color	Antenne 1
FrameHair_A2_Gradient	Seitensträhnen 4
HairHighlight1_Outline	Haar Highlight Umriss 1 << + 1 >>
TailD1_Color	Schwanz 11
HairBang6_Middle_Outline	Pony >< Umriss 11 + 12
HairBang7_Middle_Gradient	Pony >< 14
HairBang6_Middle_Color	Pony >< 11
HairBang6_Middle_Gradient	Pony >< 12
CapeFront4_Outline	Kapfront | Umriss des Kaps 4
FrameHair_A2_Color	Seitensträhnen 3
FacialHair_A1_Outline	Gesichtsbehaarung A Umriss 1
HairBang1_Middle_Gradient	Pony >< 2
HornM1_Color	Horn vorne >< 1
TailB4_Color	Schwanz 6
TailB2_Color	Schwanz 4
Pigtail_B2_Color	Haarzopf 19
Fin1_Color	Flosse 1
TailB3_Outline	Schwanz Umriss 5
Halo1_Color	Heiligenschein 1
TailB2_Outline	Schwanz Umriss 4
FrameHair_A3_Outline	Seitensträhnen Umriss 5 + 6
FrameHair_B1_Color	Seitensträhnen 23
HairClip7_Color	Haarspange 7
FacialHair_A6_Color	Gesichtsbehaarung A 6
FacialHair_A3_Outline	Gesichtsbehaarung A 3
Halo1_Outline	Heiligenschein Umriss 1
Hairband7_Color	Haarband C 1
Keyboard	Tippen Normal 3
FrameHair_A6_Outline	Seitensträhnen Umriss 11 + 12
VolumeOff	Aufkleber Lautstärke 2
PalmarGlove1_Color	Hand 2 .2
FacialHair_A6_Outline	Gesichtsbehaarung A Umriss 6
TailB1_Outline	Schwanz Umriss 3
Pigtail_A1_Gradient	Haarzopf 2
FrameHair_A4_Gradient	Seitensträhnen 8
KitchenKnife	Küchenmesser
Halo2_Color	Heiligenschein 2
FrameHair_A6_Gradient	Seitensträhnen 12
HairShine5_Color	Haarglanz 9 + 10
FrameHair_B2_Color	Seitensträhnen 25
FacialHair_B1_Outline	Gesichtsbehaarung B Umriss 1
Main3_Outline	Outfit innen Umriss 3
Main4_Outline	Outfit innen Umriss 4
Main7_Outline	Outfit innen Umriss 7
HatA2_Color	Hut 2
Pigtail_C2_Outline	Haarzopf Umriss 23 + 24
Main1_Color	Outfit innen 1
Eyepatch2_Outline	Augenklappen-Umriss 3 + 4
SideHair_Branch_C2_Color	Haarseitenzweig C 2
HairHighlight6_Outline	Haar Highlight >< Umriss 5 + 6
SideHair_Branch_C1_Color	Haarseitenzweig C 1
Eyepatch1_Outline	Augenklappen-Umriss 1 + 2
AlertCoin_Outline	Aufkleber Alert Umriss 3
Eye_Dum_Outline	Augen (Dum) Umriss 1 + 2
FrameHair_Branch_A2_Outline	Haarzweig Umriss 2
Main5_Color	Outfit innen 5
Pompom	Pompon
HairClip10_Outline	Haarspange Umriss 10
WaveHand	Hand winken
HeartItem	Herz
FrameHair_Branch_A2_Color	Haarzweig 2
FrameHair_Branch_A1_Outline	Haarzweig Umriss 1
Eye_Dum_Color	Augenweiß
AlertCoin_Color	Aufkleber Alert 3
Button	Taste
SideHair_Branch_B2_Outline	Haarseitenzweig B Umriss 2
Face_Shadow	Gesichtsschatten
AlertStar_Outline	Aufkleber Alert Umriss 5
Pigtail_C1_Outline	Haarzopf Umriss 21 + 22
AlertHeart_Outline	Aufkleber Alert Umriss 1
AlertLike_Color	Aufkleber Alert 4
AlertStar_Color	Aufkleber Alert 5
Sleep	Aufkleber Schlaf
Square	Tür/Wand | Gefängnis | Decke außen
SideHair_Branch_A2_Color	Haarseitenzweig A 2
Beverage	Getränkebecher 3
HairClip8_Outline	Haarspange Umriss 8
HairClip9_Outline	Haarspange Umriss 9
GiftBox	Geschenk 1
Mecha5_Outline	Mecha Umriss 5
WingC1_Lower_Color	Flügel 5 .2
Gill3_Color	Kieme 1 .3
FacialHair_B6_Outline	Gesichtsbehaarung B Umriss 6
HairClip10_Color	Haarspange 10
SideHair_Branch_B2_Color	Haarseitenzweig B 2
SideHair_Branch_B1_Color	Haarseitenzweig B 1
Bowl	Schüssel
Pigtail_C1_Color	Haarzopf 21
Pigtail_C1_Gradient	Haarzopf 22
HairClip7_Outline	Haarspange Umriss 7
HairHighlight5_Color	Haar Highlight >< 3 + 4
HairClip6_Outline	Haarspange Umriss 6
Bill1	Schnabel 1
LubricantSpray	Spray
Ahoge_A1_Outline	Haare Ahoge Umriss 1
Gill1_Outline	Kiemen Umriss 1 .1
FacialHair_B6_Color	Gesichtsbehaarung B 6 
Heart	Aufkleber Herz
Popper	Konfettikanone
Pencil	Bleistift
Ahoge_A3_Color	Haare Ahoge 3
BeverageCup	Getränkebecher
Mouth_Popcat2	Popcat | Mund 2
HairClip9_Color	Haarspange 9
AlertBits_Color	Aufkleber Alert 6
Seven	Nummer sieben
PhoneFront	Telefon 1
Gill2_Outline	Kiemen Umriss 1 .2
FrameHair_B2_Outline	Seitensträhnen Umriss 25 + 26
NeckwearB7_Outline	Outfit Halsschmuck B Umriss 7
Angry1	Aufkleber Wütend 1
Cup	Tasse
Phone	Telefon 2
Palmar_Outline	Hand 1 .14
FrameHair_B1_Outline	Seitensträhnen Umriss 23 + 24
WingD2_Lower_Color	Flügel 7 .2
HairClip11_Outline	Haarspange Umriss 11
RedPacket	Glücksumschlag 1
HairClip12_Outline	Haarspange Umriss 12
Gill1_Color	Kieme 1 .1
Eye1_Dark	Augeniris dunkel 1 + 2
NeckwearB3_Outline	Outfit Halsschmuck B Umriss 3
LightBulb	Aufkleber Glühbirne
Mecha3_Color	Mecha 3
Mecha6_Outline	Mecha Umriss 6
Ahoge_A1_Color	Haare Ahoge 1
WingA1_Outline	Flügel Umriss 1
RedPacketCoin1	Glücksumschlag 5
SweatBlue	Aufkleber Schweiß Groß
HornF1_Color	Horn vorne 1
Sparkle	Glänzen
Ahoge_A2_Outline	Haare Ahoge Umriss 
FaceFeatureC2	Gesichtsmerkmal C 2
Glove1_Outline	Handschuh Umriss
PalmGlove1_Color	Hand 2 .3
PalmGlove1_Outline	Hand 2 .4
FacialHair_B2_Outline	Gesichtsbehaarung B 2
Mecha6_Color	Mecha 6
CapeFront1_Color	Kapfront 1
HairClip4_Color	Haarspange 4
NeckwearB1_Color	Outfit Halsschmuck B 2
Cheek1	Wange 1
Lubricant	Schmiermittel
Ahoge_A4_Outline	Haare Ahoge Umriss 4
Angry3	Aufkleber Wütend 3
Microphone	Mikrofon
NeckwearB4_Outline	Outfit Halsschmuck B Umriss 4
WingE1_Middle_Outline	Flügel Umriss 8 .2
FacialHair_B2_Color	Gesichtsbehaarung B 2
Collar4_Outline	Outfit Kragen Umriss 4
TailF3_Outline	Schwanz Umriss 17
Donut4	Krapfen 4
Laugh3	Aufkleber Lachen 3
Tear1	Augentränen 1
NeckwearA6_Outline	Outfit Halsschmuck A Umriss 6
Confetti1	Konfetti 4
Eye_Dum_Pupil	Auge (Dum) Pupille
NeckwearB2_Outline	Outfit Halsschmuck B Umriss 1 + 2
FrameHair_B4_Color	Seitensträhnen 29
FrameHair_B4_Gradient	Seitensträhnen 30
NeckwearB6_Outline	Outfit Halsschmuck B Umriss 6
Eye_Popcat_Dark	Dum 3 | Auge | Popcat Standbild 2
HairClip2_Outline	Haarspange Umriss 2
FrameHair_B2_Gradient	Seitensträhnen 26
Hand_Outline	Hand 1 .15
Glove1_Color	Handschuh
NeckwearA1_Outline	Outfit Halsschmuck A Umriss 1
WingE1_Lower_Outline	Flügel Umriss 8 .3
Mouse	Maus
Collar5_Color	Outfit-Kragen innen 5
Tie1_Outline	Outfit Halsschmuck C Umriss 1
Eyebag	Tränensack
WingG1_Outter_Outline	Flügel Umriss 10 .1
Laugh1	Aufkleber Lachen 1
Popcorn	Essen (Popcorn) 2
NeckwearA5_Outline	Outfit Halsschmuck A Umriss 5
BeverageLiquid	Becherflüssigkeit
Eye3_HighlightCry	Auge 3 | Weinen
Eye3_Sparkling	Augenfunkeln 3
Confetti2	Konfetti 5
Eye3_Spiral	Augenspirale 3
FacialHair_B1_Color	Gesichtsbehaarung B 1
PhoneScreenPattern2	Telefonbildschirm 2
VolumeOn	Aufkleber Lautstärke 3
FacialHair_B4_Outline	Gesichtsbehaarung B Umriss 4
Collar5_Outline	Outfit Kragen Umriss 5
WingEL_Lower_WeightTransfer	Flügel >> 15 .3
NeckwearB1_WeightTransfer	Outfit Halsschmuck B 8
FloatingL_WeightTransfer	Mecha >> 7
HairBang_SideL_WeightTransfer	Pony >> 13
FloatingR_WeightTransfer	Mecha << 7
Glasses_WeightTransfer	Brille 4
AhogeA_WeightTransfer	Haare Ahoge 7
BackHair_WeightTransfer	Haare hinten 7
AnimalEarBL_WeightTransfer	Tierohr >> 11
EyepatchA_WeightTransfer	Augenklappe 7
TailD_WeightTransfer	Schwanz 22
HairBang_Middle_WeightTransfer	Pony >< 15
Face_WeightTransfer	Gesichtsmerkmal C 3
NeckwearB2_WeightTransfer	Outfit Halsschmuck B 9
EarringBR_WeightTransfer	Ohrring << 12
EarringBL_WeightTransfer	Ohrring >> 12
NeckwearC_WeightTransfer	Outfit Halsschmuck C 4
HatC_WeightTransfer	Hut 11
TailFSoft_WeightTransfer	Schwanz 25
TailFHard_WeightTransfer	Schwanz 24
EarringAR_WeightTransfer	Ohrring << 11
EarringAL_WeightTransfer	Ohrring >> 11
HatA_WeightTransfer	Hut 9
LegR_WeightTransfer	Bein << 2
LegL_WeightTransfer	Bein >> 2
HatD_WeightTransfer	Hut 12
FrameHair_WeightTransfer	Seitensträhnen >< 
TailE_WeightTransfer	Schwanz 23
TailA_WeightTransfer	Schwanz 19
SideHairB_WeightTransfer	Haare Seite 34
SideHairA_WeightTransfer	Haare Seite 33
PonytailA_WeightTransfer	Haar Pferdeschwanz 15
WingER_Upper_WeightTransfer	Flügel << 15 .1
WingER_Middle_WeightTransfer	Flügel << 15 .2
OutfitOuter_WeightTransfer	Outfit außen 8
WingAL_WeightTransfer	Flügel >> 11
PalmarL_WeightTransfer	Hand >> 3 .5
HeadWingAL_WeightTransfer	Ohrflügel >> 4
BrowL_WeightTransfer	Augenbraue >> 10
BrowR_WeightTransfer	Augenbraue << 10
MustacheA_WeightTransfer	Gesichtsbehaarung B 7
TailC_WeightTransfer	Schwanz 21
FrameHair_BranchL_WeightTransfer	Haarzweig >> 4
HandL_Middle_WeightTransfer	Hand >> 3 .1
HandL_Thumb_WeightTransfer	Hand >> 3 .2
NeckwearA_WeightTransfer	Outfit Halsschmuck A 7
WingER_Lower_WeightTransfer	Flügel << 15 .3
WingEL_Upper_WeightTransfer	Flügel >> 15 .1
WingGL_Outter_WeightTransfer	Flügel >> 17 .1
WingCL_Upper_WeightTransfer	Flügel >> 13 .1
WingGR_Inner_WeightTransfer	Flügel << 17 .2
WingCR_Upper_WeightTransfer	Flügel << 13 .1
EarL_WeightTransfer	Ohr 2 >>
EarR_WeightTransfer	Ohr 2 <<
CapeBack_WeightTransfer	Kap zurück 4
CapeFront_WeightTransfer	Kapfront 7
WingEL_Middle_WeightTransfer	Flügel >> 15 .2
WingFR_Upper_WeightTransfer	Flügel << 16 .1
AntennaR_WeightTransfer	Antenne << 3
AnimalEarAR_WeightTransfer	Tierohr << 10
WingDL_WeightTransfer	Flügel >> 14
AnimalEarCL_WeightTransfer	Tierohr >> 12
WingGL_Inner_WeightTransfer	Flügel >> 17 .2
Halo_WeightTransfer	Heiligenschein 7
FinR_WeightTransfer	Flosse << 2
HatB_WeightTransfer	Hut 10
AnimalEarAL_WeightTransfer	Tierohr >> 10
TailB_WeightTransfer	Schwanz 20
HandL_Little_WeightTransfer	Hand >> 3 .3
HandL_Index_WeightTransfer	Hand >> 3 .4
FinL_WeightTransfer	Flosse >> 2
AntennaL_WeightTransfer	Antenne >> 3
PonytailAR_WeightTransfer	Haarzopf << 25
OutfitInner_WeightTransfer	Outfit innen 9
MustacheB_WeightTransfer	Gesichtsbehaarung B 8
PonytailB_WeightTransfer	Haar Pferdeschwanz 16
HairBandA_WeightTransfer	Haarband A 3
HairBang_SideR_WeightTransfer	Pony << 13
EyepatchB_WeightTransfer	Augenklappe 8
WingFL_Lower_WeightTransfer	Flügel >> 16 .2
WingBL_WeightTransfer	Flügel >> 12
PonytailCL_WeightTransfer	Haarzopf >> 26
HairbandB_WeightTransfer	Haarband B 5
BeardA_WeightTransfer	Gesichtsbehaarung A 9
PonytailAL_WeightTransfer	Haarzopf >> 25
AnimalEarBR_WeightTransfer	Tierohr << 11
EyelashR_WeightTransfer	Auge 4 | Wimpern <<
GillR_WeightTransfer	Kieme << 2
PiercingAL_WeightTransfer	Piercing A >> 6
PiercingAR_WeightTransfer	Piercing A << 6
WingFR_Lower_WeightTransfer	Flügel << 16 .2
WingFL_Upper_WeightTransfer	Flügel >> 16 .1
HairBandC_WeightTransfer	Haarband D 3
HornL_WeightTransfer	Horn >> 8
HornR_WeightTransfer	Horn << 8
EyelashL_WeightTransfer	Auge 4 | Wimpern >>
GillL_WeightTransfer	Kieme >> 2
HornFrontL_WeightTransfer	Horn vorne >> 3
HornFrontR_WeightTransfer	Horn vorne << 3
WingDR_WeightTransfer	Flügel << 14
FrameHair_BranchR_WeightTransfer	Haarzweig << 4
HeadWingAR_WeightTransfer	Ohrflügel << 4
HornFrontM_WeightTransfer	Horn vorne >< 2
WingGR_Outter_WeightTransfer	Flügel << 17 .1
EyeDollarR_WeightTransfer	Augendollar << 4 + 5
EyeHeartL_WeightTransfer	Augenherz >> 4 + 5
EyeHeartR_WeightTransfer	Augenherz << 4 + 5
EyeHighlightCryL_WeightTransfer	Auge 4 + 5 >> | Weinen
EyeHighlightCryR_WeightTransfer	Auge 4 + 5 << | Weinen
EyeL_WeightTransfer	Auge >> 4 + 5
EyeR_WeightTransfer	Auge << 4 + 5
EyeSparklingL_WeightTransfer	Augenfunkeln >> 4 + 5
EyeSparklingR_WeightTransfer	Augenfunkeln << 4 + 5
EyeSpiralL_WeightTransfer	Augenspirale >> 4 + 5
EyeSpiralR_WeightTransfer	Augenspirale << 4 + 5
AnimalEarCR_WeightTransfer	Tierohr << 12
WingAR_WeightTransfer	Flügel << 11
PonytailCR_WeightTransfer	Haarzopf << 26
PiercingBL_WeightTransfer	Piercing B >> 6
PiercingBR_WeightTransfer	Piercing B << 6
HandL_WeightTransfer	Hand >> 3
HandR_Index_WeightTransfer	Hand << 3 .4
HandR_Little_WeightTransfer	Hand << 3 .3
HandR_Middle_WeightTransfer	Hand << 3 .1
HandR_Thumb_WeightTransfer	Hand << 3 .2
HandR_WeightTransfer	Hand << 3
PalmarR_WeightTransfer	Hand << 3 .5
WingCL_Lower_WeightTransfer	Flügel >> 13
WingCR_Lower_WeightTransfer	Flügel << 13
WingBR_WeightTransfer	Flügel << 12
EyeDollarL_WeightTransfer	Augendollar >> 4 + 5
ClownWig	Clown 1
FireA1	Feuer
ElectricFan	Elektrischer Ventilator
Cheese	Käse
ElectricFanBlades	Elektrische Lüfterblätter
Guitar_Outline	Gitarren-Umriss
Guitar_Color1	Gitarrenfarbe 1
PaperFanSticks	Faltfächer 2
PaperFanLeaf	Faltfächer 1
Stool	Hocker
Slipper	Slipper
Guitar_Color2	Gitarrenfarbe 2
WinkStar	Zwinker Stern
ClownNose	Clown 2
Guitar_Color3	Gitarrenfarbe 3
SideHairA7_Color	Haare Seite 13
PonytailA3_Gradient	Haar Pferdeschwanz 6
SideHairA2_Gradient	Haare Seite 4
SideHairB5_Color	Haare Seite 25
SideHairB3_Gradient	Haare Seite 22
PonytailA2_Outline	Haar-Pferdeschwanz-Umriss 3 + 4
PonytailB2_Outline	Haar-Pferdeschwanz-Umriss 13 + 14
PonytailB2_Color	Haar Pferdeschwanz 13
Outer7_Outline	Outfit außen Umriss 7
Outer1_Outline	Outfit außen Umriss 1
Hand_Color	Hand 1
LaptopLight3	Laptop Licht 3
Finger	Reiben Sie 1
Scissor	Schneiden (Schere)
BoopHand	Boop
Trophy	Trophäe 1
ProgressBar	Fortschrittsbalkencontainer
Progress	Fortschrittsbalken füllen
