SpriteName	Uk
Mecha4_Outline	Механічний контур 4
Antenna2_Color	Антена 2
Mecha1_Color	(Механічний) Меха 1
Ahoge_A3_Outline	Контур волосся Ahoge 3
Main1_Outline	Внутрішній контур спорядження 1
Horn2_Color	Ріг 2
HairBang4_Middle_Gradient	Чубчик для волосся >< 8
CapeFront3_Color	Капський фронт 3
Notepad	Блокнот
Outer5_Color	Одяг Зовнішній 5
WingA3_Color	Крило 3
WingB1_Color	Крило 4
Pistol	пістолет
Horn7_Color	Ріг 7
Bottle	Кока-кола шейк
Outer6_Color	Одяг Зовнішній 6
Laugh2	Наклейка Сміх 2
FrameHair_B1_Gradient	Обрамлення волосся 24
Outer5_Outline	(Одяг) Зовнішній контур спорядження 5
FrameHair_Top_Outline	Обрамлення волосся top Контур
WingG1_Inner_Color	Крило 10 .2
HairBang5_Middle_Outline	Чубчик для волосся >< контур 9 + 10
Beer	Ура
HairBang4_Middle_Color	Чубчик для волосся >< 7
TailE1_Outline	Контур хвоста 12
TailC2_Color	хвіст 9
HornF2_Outline	Ріг Контур 9
HairBang2_Middle_Outline	Чубчик для волосся >< контур 3 + 4
Ahoge_B2_Outline	Контур волосся Ahoge 6
Bell	дзвоник 2
FrameHair_Branch_A3_Outline	Контур гілки волосся 3
FrameHair_A3_Color	Обрамлення волосся 5
FrameHair_A3_Gradient	Обрамлення волосся 6
Horn2_Outline	Ріг Контур 2
Outer6_Outline	(Одяг) Зовнішній контур спорядження 6
WingD2_Upper_Color	Крило 7 .1
Antenna2_Outline	Антена Схема 2
TailB5_Outline	Контур хвоста 7
HairBang5_Middle_Gradient	Чубчик для волосся >< 10
HairBang1_Middle_Color	Чубчик для волосся >< 1
QuestionMark	Наклейка знак питання
Horn3_Color	Ріг 3
SignSquareText1	Текст квадратного знака
Antenna1_Color	Антена 1
FrameHair_A2_Gradient	Обрамлення волосся 4
HairHighlight1_Outline	Мелірування волосся Контур 1 << + 1 >>
TailD1_Color	хвіст 11
HairBang6_Middle_Outline	Чубчик для волосся >< контур 11 + 12
HairBang7_Middle_Gradient	Чубчик для волосся >< 14
HairBang6_Middle_Color	Чубчик для волосся >< 11
HairBang6_Middle_Gradient	Чубчик для волосся >< 12
CapeFront4_Outline	Капський фронт | Контур мису 4
FrameHair_A2_Color	Обрамлення волосся 3
FacialHair_A1_Outline	Волосся на обличчі A контур 1
HairBang1_Middle_Gradient	Чубчик для волосся >< 2
HornM1_Color	Ріг спереду >< 1
TailB4_Color	хвіст 6
TailB2_Color	хвіст 4
Pigtail_B2_Color	 Косичка для волосся 19
Fin1_Color	Плавник 1
TailB3_Outline	Контур хвоста 5
Halo1_Color	Ореол 1
TailB2_Outline	Контур хвоста 4
FrameHair_A3_Outline	Обрамлення волосся Контур 5 + 6
FrameHair_B1_Color	Обрамлення волосся 23
HairClip7_Color	Заколка для волосся 7
FacialHair_A6_Color	Волосся на обличчі A 6
FacialHair_A3_Outline	Волосся на обличчі A 3
Halo1_Outline	Контур Halo (Ореол) 1
Hairband7_Color	Гумка для волосся C 1
Keyboard	Тип Нормальний 3
FrameHair_A6_Outline	Обрамлення волосся Контур 11 + 12
VolumeOff	Обсяг наклейки 2
PalmarGlove1_Color	Рука 2 .2
FacialHair_A6_Outline	Волосся на обличчі A контур 6
TailB1_Outline	Контур хвоста 3
Pigtail_A1_Gradient	 Косичка для волосся 2
FrameHair_A4_Gradient	Обрамлення волосся 8
KitchenKnife	Кухонний ніж
Halo2_Color	Ореол 2
FrameHair_A6_Gradient	Обрамлення волосся 12
HairShine5_Color	Блиск волосся 9 + 10
FrameHair_B2_Color	Обрамлення волосся 25
FacialHair_B1_Outline	Волосся на обличчі B контур 1
Main3_Outline	Внутрішній контур спорядження 3
Main4_Outline	Внутрішній контур спорядження 4
Main7_Outline	Внутрішній контур спорядження 7
HatA2_Color	Капелюх 2
Pigtail_C2_Outline	Косичка для волосся Контур 23 + 24
Main1_Color	Наряд Внутрішній 1
Eyepatch2_Outline	Контур пов'язки 3 + 4
SideHair_Branch_C2_Color	Бокова гілка волосся C 2
HairHighlight6_Outline	Мелірування волосся >< Контур 5 + 6
SideHair_Branch_C1_Color	Бокова гілка волосся C 1
Eyepatch1_Outline	Контур пов'язки 1 + 2
AlertCoin_Outline	Схема попередження про наклейку 3
Eye_Dum_Outline	Око (Dum) контур 1 + 2
FrameHair_Branch_A2_Outline	Контур гілки волосся 2
Main5_Color	Наряд Внутрішній 5
Pompom	Помпон
HairClip10_Outline	Заколка для волосся Контур 10
WaveHand	Хвиля рукою
HeartItem	серце
FrameHair_Branch_A2_Color	Волосся Гілка 2
FrameHair_Branch_A1_Outline	Контур гілки волосся 1
Eye_Dum_Color	Біле око
AlertCoin_Color	Сповіщення про наклейку 3
Button	Кнопка
SideHair_Branch_B2_Outline	Бокова гілка волосся B Контур 2
Face_Shadow	Тінь обличчя
AlertStar_Outline	Схема попередження про наклейку 5
Pigtail_C1_Outline	Косичка для волосся Контур 21 + 22
AlertHeart_Outline	Схема попередження про наклейку 1
AlertLike_Color	Сповіщення про наклейку 4
AlertStar_Color	Сповіщення про наклейку 5
Sleep	Наклейка Сон
Square	Двері/Стіна | Тюремний гриль | Ковдра Outter (Зовнішня ковдра)
SideHair_Branch_A2_Color	Бокова гілка волосся A 2
Beverage	Чашка для напоїв 3
HairClip8_Outline	Заколка для волосся Контур 8
HairClip9_Outline	Заколка для волосся Контур 9
GiftBox	Подарунок 1
Mecha5_Outline	Механічний контур 5
WingC1_Lower_Color	Крило 5 .2
Gill3_Color	зябер 1 .3
FacialHair_B6_Outline	Волосся на обличчі B контур 6
HairClip10_Color	Заколка для волосся 10
SideHair_Branch_B2_Color	Бокова гілка волосся B 2
SideHair_Branch_B1_Color	Бокова гілка волосся B 1
Bowl	Чаша
Pigtail_C1_Color	 Косичка для волосся 21
Pigtail_C1_Gradient	 Косичка для волосся 22
HairClip7_Outline	Заколка для волосся Контур 7
HairHighlight5_Color	Мелірування волосся >< 3 + 4
HairClip6_Outline	Заколка для волосся Контур 6
Bill1	Білл 1
LubricantSpray	Спрей
Ahoge_A1_Outline	Контур волосся Ahoge 1
Gill1_Outline	Контур зябер 1 .1
FacialHair_B6_Color	Волосся на обличчі B 6 
Heart	Наклейка Серце
Popper	Поппер
Pencil	Олівець
Ahoge_A3_Color	Волосся Ahoge 3
BeverageCup	Чашка для напоїв
Mouth_Popcat2	Popcat | Рот 2
HairClip9_Color	Заколка для волосся 9
AlertBits_Color	Сповіщення про наклейку 6
Seven	Номер сім
PhoneFront	Телефон 1
Gill2_Outline	Контур зябер 1 .2
FrameHair_B2_Outline	Обрамлення волосся Контур 25 + 26
NeckwearB7_Outline	(Одяг для шиї) Спорядження Neckwear B контур 7
Angry1	Наклейка Angry (Злий) 1
Cup	Кубок
Phone	Телефон 2
Palmar_Outline	Рука 1 .14
FrameHair_B1_Outline	Обрамлення волосся Контур 23 + 24
WingD2_Lower_Color	Крило 7 .2
HairClip11_Outline	Заколка для волосся Контур 11
RedPacket	RedPacket (Червоний пакет) 1
HairClip12_Outline	Заколка для волосся Контур 12
Gill1_Color	зябер 1 .1
Eye1_Dark	Райдужна оболонка очей темна 1 + 2
NeckwearB3_Outline	(Одяг для шиї) Спорядження Neckwear B контур 3
LightBulb	Наклейка лампочки
Mecha3_Color	(Механічний) Меха 3
Mecha6_Outline	Механічний контур 6
Ahoge_A1_Color	Волосся Ahoge 1
WingA1_Outline	Крило Контур 1
RedPacketCoin1	RedPacket (Червоний пакет) 5
SweatBlue	Наклейка Піт велика
HornF1_Color	Ріговий фронт 1
Sparkle	блиск
Ahoge_A2_Outline	Контур волосся Ahoge 
FaceFeatureC2	Риса обличчя C 2
Glove1_Outline	Рукавичка Контур
PalmGlove1_Color	Рука 2 .3
PalmGlove1_Outline	Рука 2 .4
FacialHair_B2_Outline	Волосся на обличчі B 2
Mecha6_Color	(Механічний) Меха 6
CapeFront1_Color	Капський фронт 1
HairClip4_Color	Заколка для волосся 4
NeckwearB1_Color	Одяг для шиї B 2
Cheek1	щока 1
Lubricant	мастило
Ahoge_A4_Outline	Контур волосся Ahoge 4
Angry3	Наклейка Angry (Злий) 3
Microphone	мікрофон
NeckwearB4_Outline	(Одяг для шиї) Спорядження Neckwear B контур 4
WingE1_Middle_Outline	Крило Контур 8 .2
FacialHair_B2_Color	Волосся на обличчі B 2
Collar4_Outline	Контур коміра одягу 4
TailF3_Outline	Контур хвоста 17
Donut4	Пончик 4
Laugh3	Наклейка Сміх 3
Tear1	Сльоза очей 1
NeckwearA6_Outline	(Одяг для шиї) Спорядження Neckwear A контур 6
Confetti1	Конфетті 4
Eye_Dum_Pupil	Око (Dum) Зіниця
NeckwearB2_Outline	(Одяг для шиї) Спорядження Neckwear B контур 1 + 2
FrameHair_B4_Color	Обрамлення волосся 29
FrameHair_B4_Gradient	Обрамлення волосся 30
NeckwearB6_Outline	(Одяг для шиї) Спорядження Neckwear B контур 6
Eye_Popcat_Dark	Думка 3 | Око | Рамка Popcat 2
HairClip2_Outline	Заколка для волосся Контур 2
FrameHair_B2_Gradient	Обрамлення волосся 26
Hand_Outline	Рука 1 .15
Glove1_Color	Рукавичка
NeckwearA1_Outline	(Одяг для шиї) Спорядження Neckwear A контур 1
WingE1_Lower_Outline	Крило Контур 8 .3
Mouse	миша
Collar5_Color	Внутрішній комір наряду 5
Tie1_Outline	(Одяг для шиї) Спорядження Neckwear C контур 1
Eyebag	Очний мішок
WingG1_Outter_Outline	Крило Контур 10 .1
Laugh1	Наклейка Сміх 1
Popcorn	Їсти (попкорн) 2
NeckwearA5_Outline	(Одяг для шиї) Спорядження Neckwear A контур 5
BeverageLiquid	Рідина для напоїв
Eye3_HighlightCry	Око 3 | Плакати
Eye3_Sparkling	Блискучі очі 3
Confetti2	Конфетті 5
Eye3_Spiral	Очна спіраль 3
FacialHair_B1_Color	Волосся на обличчі B 1
PhoneScreenPattern2	Екран телефону 2
VolumeOn	Обсяг наклейки 3
FacialHair_B4_Outline	Волосся на обличчі B контур 4
Collar5_Outline	Контур коміра одягу 5
WingEL_Lower_WeightTransfer	Крило >> 15 .3
NeckwearB1_WeightTransfer	Одяг для шиї B 8
FloatingL_WeightTransfer	(Механічний) Меха >> 7
HairBang_SideL_WeightTransfer	Чубчик для волосся >> 13
FloatingR_WeightTransfer	(Механічний) Меха << 7
Glasses_WeightTransfer	Окуляри 4
AhogeA_WeightTransfer	Волосся Ahoge 7
BackHair_WeightTransfer	Волосся ззаду 7
AnimalEarBL_WeightTransfer	Вухо тварин >> 11
EyepatchA_WeightTransfer	Пов'язка на око 7
TailD_WeightTransfer	хвіст 22
HairBang_Middle_WeightTransfer	Чубчик для волосся >< 15
Face_WeightTransfer	Риса обличчя C 3
NeckwearB2_WeightTransfer	Одяг для шиї B 9
EarringBR_WeightTransfer	Сережка << 12
EarringBL_WeightTransfer	Сережка >> 12
NeckwearC_WeightTransfer	Одяг для шиї C 4
HatC_WeightTransfer	Капелюх 11
TailFSoft_WeightTransfer	хвіст 25
TailFHard_WeightTransfer	хвіст 24
EarringAR_WeightTransfer	Сережка << 11
EarringAL_WeightTransfer	Сережка >> 11
HatA_WeightTransfer	Капелюх 9
LegR_WeightTransfer	Нога << 2
LegL_WeightTransfer	Нога >> 2
HatD_WeightTransfer	Капелюх 12
FrameHair_WeightTransfer	Обрамлення волосся >< 
TailE_WeightTransfer	хвіст 23
TailA_WeightTransfer	хвіст 19
SideHairB_WeightTransfer	Сторона волосся 34
SideHairA_WeightTransfer	Сторона волосся 33
PonytailA_WeightTransfer	Хвіст для волосся 15
WingER_Upper_WeightTransfer	Крило << 15 .1
WingER_Middle_WeightTransfer	Крило << 15 .2
OutfitOuter_WeightTransfer	Одяг Зовнішній 8
WingAL_WeightTransfer	Крило >> 11
PalmarL_WeightTransfer	Рука >> 3 .5
HeadWingAL_WeightTransfer	Вухо Крило >> 4
BrowL_WeightTransfer	Брова >> 10
BrowR_WeightTransfer	Брова << 10
MustacheA_WeightTransfer	Волосся на обличчі B 7
TailC_WeightTransfer	хвіст 21
FrameHair_BranchL_WeightTransfer	Волосся Гілка >> 4
HandL_Middle_WeightTransfer	Рука >> 3 .1
HandL_Thumb_WeightTransfer	Рука >> 3 .2
NeckwearA_WeightTransfer	Одяг для шиї A 7
WingER_Lower_WeightTransfer	Крило << 15 .3
WingEL_Upper_WeightTransfer	Крило >> 15 .1
WingGL_Outter_WeightTransfer	Крило >> 17 .1
WingCL_Upper_WeightTransfer	Крило >> 13 .1
WingGR_Inner_WeightTransfer	Крило << 17 .2
WingCR_Upper_WeightTransfer	Крило << 13 .1
EarL_WeightTransfer	вухо 2 >>
EarR_WeightTransfer	вухо 2 <<
CapeBack_WeightTransfer	Мис Назад 4
CapeFront_WeightTransfer	Капський фронт 7
WingEL_Middle_WeightTransfer	Крило >> 15 .2
WingFR_Upper_WeightTransfer	Крило << 16 .1
AntennaR_WeightTransfer	Антена << 3
AnimalEarAR_WeightTransfer	Вухо тварин << 10
WingDL_WeightTransfer	Крило >> 14
AnimalEarCL_WeightTransfer	Вухо тварин >> 12
WingGL_Inner_WeightTransfer	Крило >> 17 .2
Halo_WeightTransfer	Ореол 7
FinR_WeightTransfer	Плавник << 2
HatB_WeightTransfer	Капелюх 10
AnimalEarAL_WeightTransfer	Вухо тварин >> 10
TailB_WeightTransfer	хвіст 20
HandL_Little_WeightTransfer	Рука >> 3 .3
HandL_Index_WeightTransfer	Рука >> 3 .4
FinL_WeightTransfer	Плавник >> 2
AntennaL_WeightTransfer	Антена >> 3
PonytailAR_WeightTransfer	 Косичка для волосся << 25
OutfitInner_WeightTransfer	Наряд Внутрішній 9
MustacheB_WeightTransfer	Волосся на обличчі B 8
PonytailB_WeightTransfer	Хвіст для волосся 16
HairBandA_WeightTransfer	Гумка для волосся A 3
HairBang_SideR_WeightTransfer	Чубчик для волосся << 13
EyepatchB_WeightTransfer	Пов'язка на око 8
WingFL_Lower_WeightTransfer	Крило >> 16 .2
WingBL_WeightTransfer	Крило >> 12
PonytailCL_WeightTransfer	 Косичка для волосся >> 26
HairbandB_WeightTransfer	Гумка для волосся B 5
BeardA_WeightTransfer	Волосся на обличчі A 9
PonytailAL_WeightTransfer	 Косичка для волосся >> 25
AnimalEarBR_WeightTransfer	Вухо тварин << 11
EyelashR_WeightTransfer	Око 4 | вії <<
GillR_WeightTransfer	зябер << 2
PiercingAL_WeightTransfer	Пірсинг A >> 6
PiercingAR_WeightTransfer	Пірсинг A << 6
WingFR_Lower_WeightTransfer	Крило << 16 .2
WingFL_Upper_WeightTransfer	Крило >> 16 .1
HairBandC_WeightTransfer	Гумка для волосся D 3
HornL_WeightTransfer	Ріг >> 8
HornR_WeightTransfer	Ріг << 8
EyelashL_WeightTransfer	Око 4 | вії >>
GillL_WeightTransfer	зябер >> 2
HornFrontL_WeightTransfer	Ріговий фронт >> 3
HornFrontR_WeightTransfer	Ріговий фронт << 3
WingDR_WeightTransfer	Крило << 14
FrameHair_BranchR_WeightTransfer	Волосся Гілка << 4
HeadWingAR_WeightTransfer	Вухо Крило << 4
HornFrontM_WeightTransfer	Ріг спереду >< 2
WingGR_Outter_WeightTransfer	Крило << 17 .1
EyeDollarR_WeightTransfer	Око Долар << 4 + 5
EyeHeartL_WeightTransfer	Око Серце >> 4 + 5
EyeHeartR_WeightTransfer	Око Серце << 4 + 5
EyeHighlightCryL_WeightTransfer	Око 4 + 5 >> | Плакати
EyeHighlightCryR_WeightTransfer	Око 4 + 5 << | Плакати
EyeL_WeightTransfer	Око >> 4 + 5
EyeR_WeightTransfer	Око << 4 + 5
EyeSparklingL_WeightTransfer	Блискучі очі >> 4 + 5
EyeSparklingR_WeightTransfer	Блискучі очі << 4 + 5
EyeSpiralL_WeightTransfer	Очна спіраль >> 4 + 5
EyeSpiralR_WeightTransfer	Очна спіраль << 4 + 5
AnimalEarCR_WeightTransfer	Вухо тварин << 12
WingAR_WeightTransfer	Крило << 11
PonytailCR_WeightTransfer	 Косичка для волосся << 26
PiercingBL_WeightTransfer	Пірсинг B >> 6
PiercingBR_WeightTransfer	Пірсинг B << 6
HandL_WeightTransfer	Рука >> 3
HandR_Index_WeightTransfer	Рука << 3 .4
HandR_Little_WeightTransfer	Рука << 3 .3
HandR_Middle_WeightTransfer	Рука << 3 .1
HandR_Thumb_WeightTransfer	Рука << 3 .2
HandR_WeightTransfer	Рука << 3
PalmarR_WeightTransfer	Рука << 3 .5
WingCL_Lower_WeightTransfer	Крило >> 13
WingCR_Lower_WeightTransfer	Крило << 13
WingBR_WeightTransfer	Крило << 12
EyeDollarL_WeightTransfer	Око Долар >> 4 + 5
ClownWig	Клоун 1
FireA1	Пожежа
ElectricFan	Електричний вентилятор
Cheese	Сир
ElectricFanBlades	Електричні лопаті вентилятора
Guitar_Outline	План гітари
Guitar_Color1	Колір гітари 1
PaperFanSticks	Складний вентилятор 2
PaperFanLeaf	Складний вентилятор 1
Stool	Табурет
Slipper	Тапочки
Guitar_Color2	Колір гітари 2
WinkStar	Wink Star (Підморгування Зірка)
ClownNose	Клоун 2
Guitar_Color3	Колір гітари 3
SideHairA7_Color	Сторона волосся 13
PonytailA3_Gradient	Хвіст для волосся 6
SideHairA2_Gradient	Сторона волосся 4
SideHairB5_Color	Сторона волосся 25
SideHairB3_Gradient	Сторона волосся 22
PonytailA2_Outline	Контур зачіски в хвіст 3 + 4
PonytailB2_Outline	Контур зачіски в хвіст 13 + 14
PonytailB2_Color	Хвіст для волосся 13
Outer7_Outline	(Одяг) Зовнішній контур спорядження 7
Outer1_Outline	(Одяг) Зовнішній контур спорядження 1
Hand_Color	Рука 1
LaptopLight3	Світло ноутбука 3
Finger	Руб 1
Scissor	Вирізати (Ножиці)
BoopHand	Буп
Trophy	Трофей 1
ProgressBar	Контейнер індикатора прогресу
Progress	Заповнення панелі прогресу
